 &plot nbnd= 101, nks=    71 /
            0.000000  0.000000  0.000000
  -48.236  -48.234  -48.233  -48.231  -22.750  -22.729  -22.615  -22.608  -22.549  -22.549
  -22.542  -22.542  -22.466  -22.466  -22.461  -22.461  -21.481  -21.442  -21.438  -21.420
   -6.478   -6.399   -6.159   -5.707   -5.485   -5.438   -5.248   -5.248   -4.906   -4.876
   -4.692   -4.692   -3.827   -3.796   -3.796   -3.534   -3.534   -3.483   -3.483   -3.480
   -3.383   -3.032   -3.032   -2.935    5.268    5.329    5.731    5.754    5.903    5.930
    6.138    6.520    6.520    6.886    7.728    7.728    7.736    7.736    8.256    8.256
    8.268    8.268    8.385    8.423    8.821    9.002    9.002    9.297    9.535    9.535
    9.707   10.064   10.064   10.308   10.335   10.335   10.739   10.795   10.795   10.842
   12.235   12.235   12.237   12.499   15.013   15.013   15.319   15.319   15.805   16.087
   16.175   16.182   16.212   16.335   16.335   16.350   16.411   16.857   17.606   17.806
   17.806
            0.000000  0.050000  0.000000
  -48.236  -48.234  -48.233  -48.231  -22.749  -22.729  -22.615  -22.608  -22.549  -22.548
  -22.542  -22.542  -22.467  -22.467  -22.461  -22.461  -21.481  -21.442  -21.438  -21.420
   -6.470   -6.400   -6.166   -5.703   -5.484   -5.434   -5.249   -5.246   -4.911   -4.883
   -4.713   -4.697   -3.812   -3.794   -3.784   -3.531   -3.528   -3.485   -3.479   -3.476
   -3.384   -3.036   -3.034   -2.939    5.269    5.329    5.748    5.771    5.920    5.945
    6.155    6.512    6.522    6.892    7.653    7.701    7.742    7.744    8.237    8.249
    8.251    8.266    8.420    8.459    8.855    8.994    9.003    9.300    9.502    9.535
    9.682   10.024   10.039   10.292   10.295   10.309   10.729   10.783   10.790   10.827
   12.256   12.265   12.285   12.540   14.996   15.001   15.320   15.320   15.786   16.109
   16.152   16.226   16.255   16.318   16.324   16.372   16.436   16.877   17.641   17.824
   17.831
            0.000000  0.100000  0.000000
  -48.236  -48.234  -48.233  -48.231  -22.749  -22.729  -22.615  -22.608  -22.548  -22.547
  -22.540  -22.540  -22.469  -22.468  -22.463  -22.463  -21.479  -21.442  -21.438  -21.420
   -6.445   -6.405   -6.185   -5.692   -5.479   -5.421   -5.253   -5.241   -4.928   -4.905
   -4.771   -4.713   -3.789   -3.773   -3.748   -3.525   -3.510   -3.491   -3.478   -3.456
   -3.386   -3.048   -3.041   -2.949    5.274    5.328    5.799    5.822    5.963    5.996
    6.204    6.492    6.531    6.912    7.487    7.630    7.759    7.767    8.183    8.202
    8.227    8.260    8.412    8.621    8.947    8.969    9.006    9.309    9.406    9.535
    9.612    9.911    9.971   10.176   10.238   10.259   10.702   10.750   10.773   10.781
   12.316   12.350   12.415   12.657   14.946   14.963   15.321   15.324   15.731   16.084
   16.176   16.271   16.293   16.349   16.382   16.440   16.508   16.938   17.739   17.871
   17.878
            0.000000  0.150000  0.000000
  -48.236  -48.234  -48.233  -48.231  -22.748  -22.729  -22.615  -22.608  -22.546  -22.544
  -22.538  -22.538  -22.473  -22.471  -22.465  -22.465  -21.477  -21.442  -21.438  -21.421
   -6.412   -6.406   -6.213   -5.673   -5.471   -5.401   -5.259   -5.236   -4.953   -4.937
   -4.859   -4.738   -3.780   -3.717   -3.694   -3.513   -3.501   -3.482   -3.476   -3.426
   -3.389   -3.067   -3.051   -2.965    5.280    5.326    5.882    5.904    6.025    6.090
    6.285    6.460    6.546    6.945    7.294    7.532    7.786    7.805    8.097    8.125
    8.187    8.242    8.398    8.810    8.933    9.010    9.078    9.257    9.324    9.505
    9.531    9.740    9.873   10.010   10.136   10.203   10.656   10.697   10.707   10.746
   12.412   12.481   12.603   12.832   14.863   14.901   15.325   15.332   15.639   15.979
   16.202   16.243   16.283   16.507   16.584   16.591   16.616   17.043   17.863   17.886
   17.964
            0.000000  0.200000  0.000000
  -48.236  -48.234  -48.234  -48.231  -22.747  -22.730  -22.614  -22.608  -22.544  -22.541
  -22.535  -22.535  -22.477  -22.474  -22.469  -22.468  -21.474  -21.443  -21.438  -21.423
   -6.421   -6.350   -6.247   -5.646   -5.460   -5.374   -5.268   -5.234   -4.983   -4.974
   -4.967   -4.772   -3.767   -3.652   -3.629   -3.514   -3.497   -3.472   -3.445   -3.394
   -3.389   -3.093   -3.065   -2.989    5.287    5.324    5.995    6.018    6.106    6.222
    6.396    6.420    6.567    6.995    7.100    7.423    7.822    7.858    7.981    8.026
    8.124    8.204    8.378    8.889    9.002    9.017    9.068    9.232    9.347    9.372
    9.518    9.526    9.767    9.816   10.028   10.132   10.596   10.611   10.627   10.707
   12.538   12.647   12.824   13.049   14.751   14.815   15.334   15.345   15.513   15.844
   16.119   16.175   16.427   16.657   16.744   16.847   16.850   17.193   17.845   18.061
   18.078
            0.000000  0.250000  0.000000
  -48.236  -48.234  -48.234  -48.231  -22.745  -22.731  -22.614  -22.609  -22.541  -22.537
  -22.531  -22.531  -22.483  -22.479  -22.473  -22.473  -21.470  -21.443  -21.437  -21.424
