 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.00976 |   -0.09495     -0.10371     -0.11622 |    0.94275      0.95778      0.97536 |           2.87589 | -39807.51633 | -39780.55481      0.00000      0.00000      6.74355
  1 |    0.00976 |   -0.09670     -0.10231     -0.10997 |    0.95804      0.96993      0.98000 |           2.90798 | -39774.85085 | -39780.55481      1.58758      7.77509      6.74355
  2 |   -0.02183 |   -0.09692     -0.09866     -0.10333 |    0.95611      0.96413      0.96795 |           2.88819 | -39775.27999 | -39780.55481      1.60632      7.66214      6.74355
  3 |   -0.05927 |   -0.09544     -0.09736     -0.10205 |    0.95168      0.96018      0.96257 |           2.87443 | -39775.64650 | -39780.55481      1.58410      7.58457      6.74355
  4 |   -0.08643 |   -0.09434     -0.09629     -0.10148 |    0.94731      0.95702      0.95877 |           2.86310 | -39775.88368 | -39780.55481      1.56866      7.51950      6.74355
  5 |   -0.10471 |   -0.09334     -0.09587     -0.10099 |    0.94603      0.95250      0.95778 |           2.85631 | -39776.07304 | -39780.55481      1.56128      7.46834      6.74355
  6 |   -0.11776 |   -0.09291     -0.09540     -0.10081 |    0.94106      0.95216      0.95662 |           2.84984 | -39776.18477 | -39780.55481      1.55304      7.45174      6.74355
  7 |   -0.12669 |   -0.09256     -0.09530     -0.10064 |    0.94186      0.95072      0.95476 |           2.84734 | -39776.26280 | -39780.55481      1.54771      7.43020      6.74355
  8 |   -0.13307 |   -0.09225     -0.09493     -0.10046 |    0.93918      0.95015      0.95497 |           2.84430 | -39776.33735 | -39780.55481      1.53882      7.42151      6.74355
  9 |   -0.13798 |   -0.09223     -0.09508     -0.10028 |    0.93970      0.94833      0.95462 |           2.84265 | -39776.38826 | -39780.55481      1.53722      7.38960      6.74355
 10 |   -0.14101 |   -0.09206     -0.09493     -0.10028 |    0.93887      0.94917      0.95208 |           2.84012 | -39776.39184 | -39780.55481      1.54235      7.39574      6.74355
 11 |   -0.14269 |   -0.09201     -0.09468     -0.10026 |    0.94128      0.94849      0.95438 |           2.84415 | -39776.40711 | -39780.55481      1.53673      7.39709      6.74355
 12 |   -0.14462 |   -0.09182     -0.09469     -0.10028 |    0.93806      0.94807      0.95199 |           2.83812 | -39776.43013 | -39780.55481      1.54046      7.39423      6.74355
 13 |   -0.14514 |   -0.09172     -0.09462     -0.10007 |    0.93736      0.94722      0.95313 |           2.83772 | -39776.42683 | -39780.55481      1.53940      7.39087      6.74355
 14 |   -0.14555 |   -0.09182     -0.09475     -0.10012 |    0.93746      0.94802      0.95277 |           2.83824 | -39776.44413 | -39780.55481      1.53587      7.39031      6.74355
 15 |   -0.14643 |   -0.09167     -0.09462     -0.10020 |    0.93875      0.94832      0.95363 |           2.84069 | -39776.45212 | -39780.55481      1.53754      7.38199      6.74355
