 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.00976 |   -0.09491     -0.10356     -0.11641 |    0.94290      0.95759      0.97550 |           2.87599 | -39807.51633 | -39780.55481      0.00000      0.00000      6.74418
  1 |    0.00976 |   -0.09647     -0.10231     -0.11018 |    0.95714      0.96921      0.98143 |           2.90778 | -39774.85085 | -39780.55481      1.58758      7.77808      6.74418
  2 |   -0.02183 |   -0.09656     -0.09872     -0.10354 |    0.95653      0.96589      0.96798 |           2.89040 | -39775.27999 | -39780.55481      1.60632      7.65928      6.74418
  3 |   -0.05927 |   -0.09528     -0.09736     -0.10217 |    0.95118      0.96064      0.96257 |           2.87439 | -39775.64650 | -39780.55481      1.58410      7.57111      6.74418
  4 |   -0.08643 |   -0.09417     -0.09650     -0.10165 |    0.94673      0.95722      0.95924 |           2.86318 | -39775.88368 | -39780.55481      1.56866      7.52163      6.74418
  5 |   -0.10471 |   -0.09357     -0.09583     -0.10115 |    0.94490      0.95388      0.95895 |           2.85773 | -39776.07304 | -39780.55481      1.56128      7.46678      6.74418
  6 |   -0.11776 |   -0.09290     -0.09551     -0.10102 |    0.94211      0.95209      0.95682 |           2.85103 | -39776.18477 | -39780.55481      1.55304      7.44442      6.74418
  7 |   -0.12669 |   -0.09246     -0.09523     -0.10054 |    0.94078      0.95081      0.95621 |           2.84780 | -39776.26280 | -39780.55481      1.54771      7.42939      6.74418
  8 |   -0.13307 |   -0.09223     -0.09501     -0.10035 |    0.93970      0.95086      0.95496 |           2.84552 | -39776.33735 | -39780.55481      1.53882      7.41449      6.74418
  9 |   -0.13798 |   -0.09212     -0.09482     -0.10041 |    0.93872      0.94940      0.95322 |           2.84134 | -39776.38826 | -39780.55481      1.53722      7.39361      6.74418
 10 |   -0.14101 |   -0.09180     -0.09472     -0.10032 |    0.93831      0.94843      0.95459 |           2.84134 | -39776.39184 | -39780.55481      1.54235      7.40329      6.74418
 11 |   -0.14269 |   -0.09199     -0.09462     -0.10026 |    0.93815      0.94940      0.95306 |           2.84060 | -39776.40711 | -39780.55481      1.53673      7.38824      6.74418
 12 |   -0.14462 |   -0.09177     -0.09469     -0.10037 |    0.93783      0.94698      0.95297 |           2.83779 | -39776.43013 | -39780.55481      1.54046      7.38538      6.74418
 13 |   -0.14514 |   -0.09171     -0.09452     -0.10017 |    0.93701      0.94774      0.95287 |           2.83762 | -39776.42683 | -39780.55481      1.53940      7.38520      6.74418
 14 |   -0.14555 |   -0.09164     -0.09458     -0.10032 |    0.93926      0.94822      0.95302 |           2.84050 | -39776.44413 | -39780.55481      1.53587      7.38730      6.74418
 15 |   -0.14643 |   -0.09168     -0.09454     -0.10027 |    0.93674      0.94860      0.95199 |           2.83732 | -39776.45212 | -39780.55481      1.53754      7.38838      6.74418
