 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.00976 |   -0.09450     -0.10375     -0.11664 |    0.94187      0.95758      0.97459 |           2.87404 | -39807.51633 | -39780.55481      0.00000      0.00000      6.73256
  1 |    0.00976 |   -0.09638     -0.10228     -0.11033 |    0.95686      0.96828      0.97892 |           2.90406 | -39774.85085 | -39780.55481      1.58758      7.76063      6.73256
  2 |   -0.02183 |   -0.09688     -0.09859     -0.10361 |    0.95522      0.96556      0.96804 |           2.88883 | -39775.27999 | -39780.55481      1.60632      7.64992      6.73256
  3 |   -0.05927 |   -0.09533     -0.09729     -0.10224 |    0.95122      0.95900      0.96193 |           2.87215 | -39775.64650 | -39780.55481      1.58410      7.55809      6.73256
  4 |   -0.08643 |   -0.09423     -0.09643     -0.10163 |    0.94605      0.95519      0.95911 |           2.86036 | -39775.88368 | -39780.55481      1.56866      7.50686      6.73256
  5 |   -0.10471 |   -0.09337     -0.09591     -0.10131 |    0.94257      0.95195      0.95760 |           2.85212 | -39776.07304 | -39780.55481      1.56128      7.46901      6.73256
  6 |   -0.11776 |   -0.09277     -0.09562     -0.10102 |    0.94166      0.95116      0.95450 |           2.84731 | -39776.18477 | -39780.55481      1.55304      7.43732      6.73256
  7 |   -0.12669 |   -0.09251     -0.09517     -0.10060 |    0.93920      0.95109      0.95491 |           2.84520 | -39776.26280 | -39780.55481      1.54771      7.41612      6.73256
  8 |   -0.13307 |   -0.09213     -0.09503     -0.10049 |    0.93897      0.95005      0.95424 |           2.84326 | -39776.33735 | -39780.55481      1.53882      7.39744      6.73256
  9 |   -0.13798 |   -0.09212     -0.09513     -0.10050 |    0.93768      0.94935      0.95428 |           2.84131 | -39776.38826 | -39780.55481      1.53722      7.40093      6.73256
 10 |   -0.14101 |   -0.09201     -0.09486     -0.10041 |    0.93782      0.94825      0.95104 |           2.83712 | -39776.39184 | -39780.55481      1.54235      7.38853      6.73256
 11 |   -0.14269 |   -0.09197     -0.09475     -0.10017 |    0.93679      0.95036      0.95205 |           2.83921 | -39776.40711 | -39780.55481      1.53673      7.38817      6.73256
 12 |   -0.14462 |   -0.09177     -0.09467     -0.10051 |    0.93811      0.94690      0.95102 |           2.83602 | -39776.43013 | -39780.55481      1.54046      7.37877      6.73256
 13 |   -0.14514 |   -0.09169     -0.09464     -0.10016 |    0.93901      0.94757      0.95200 |           2.83858 | -39776.42683 | -39780.55481      1.53940      7.38545      6.73256
 14 |   -0.14555 |   -0.09166     -0.09469     -0.10021 |    0.93826      0.94826      0.95293 |           2.83945 | -39776.44413 | -39780.55481      1.53587      7.37319      6.73256
 15 |   -0.14643 |   -0.09161     -0.09462     -0.10020 |    0.93650      0.94735      0.95034 |           2.83420 | -39776.45212 | -39780.55481      1.53754      7.37562      6.73256
