 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.00976 |   -0.09477     -0.10358     -0.11661 |    0.94280      0.95771      0.97499 |           2.87550 | -39807.51633 | -39780.55481      0.00000      0.00000      6.74124
  1 |    0.00976 |   -0.09648     -0.10234     -0.11048 |    0.95634      0.97089      0.98028 |           2.90751 | -39774.85085 | -39780.55481      1.58758      7.76411      6.74124
  2 |   -0.02183 |   -0.09671     -0.09856     -0.10366 |    0.95755      0.96403      0.96623 |           2.88781 | -39775.27999 | -39780.55481      1.60632      7.65870      6.74124
  3 |   -0.05927 |   -0.09518     -0.09738     -0.10217 |    0.95195      0.96124      0.96297 |           2.87617 | -39775.64650 | -39780.55481      1.58410      7.57196      6.74124
  4 |   -0.08643 |   -0.09421     -0.09650     -0.10174 |    0.94733      0.95555      0.95809 |           2.86096 | -39775.88368 | -39780.55481      1.56866      7.51601      6.74124
  5 |   -0.10471 |   -0.09333     -0.09585     -0.10122 |    0.94247      0.95423      0.95640 |           2.85310 | -39776.07304 | -39780.55481      1.56128      7.47789      6.74124
  6 |   -0.11776 |   -0.09288     -0.09557     -0.10093 |    0.94186      0.95270      0.95418 |           2.84874 | -39776.18477 | -39780.55481      1.55304      7.44504      6.74124
  7 |   -0.12669 |   -0.09233     -0.09535     -0.10051 |    0.93977      0.95051      0.95404 |           2.84432 | -39776.26280 | -39780.55481      1.54771      7.43010      6.74124
  8 |   -0.13307 |   -0.09206     -0.09505     -0.10058 |    0.93901      0.95117      0.95550 |           2.84567 | -39776.33735 | -39780.55481      1.53882      7.40672      6.74124
  9 |   -0.13798 |   -0.09204     -0.09493     -0.10043 |    0.93983      0.94873      0.95374 |           2.84230 | -39776.38826 | -39780.55481      1.53722      7.40672      6.74124
 10 |   -0.14101 |   -0.09183     -0.09480     -0.10044 |    0.93762      0.94846      0.95368 |           2.83976 | -39776.39184 | -39780.55481      1.54235      7.39458      6.74124
 11 |   -0.14269 |   -0.09172     -0.09480     -0.10005 |    0.93700      0.94924      0.95270 |           2.83893 | -39776.40711 | -39780.55481      1.53673      7.39899      6.74124
 12 |   -0.14462 |   -0.09173     -0.09474     -0.10033 |    0.93800      0.94848      0.95359 |           2.84006 | -39776.43013 | -39780.55481      1.54046      7.38736      6.74124
 13 |   -0.14514 |   -0.09170     -0.09463     -0.10029 |    0.93774      0.94840      0.95181 |           2.83795 | -39776.42683 | -39780.55481      1.53940      7.38858      6.74124
 14 |   -0.14555 |   -0.09167     -0.09467     -0.10039 |    0.93868      0.94735      0.95231 |           2.83835 | -39776.44413 | -39780.55481      1.53587      7.38553      6.74124
 15 |   -0.14643 |   -0.09164     -0.09461     -0.10024 |    0.93886      0.94710      0.95180 |           2.83776 | -39776.45212 | -39780.55481      1.53754      7.38068      6.74124
