 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.01415e-02   1.12095e-02   9.36976e-03 | 3.07207e-02 | 3.88446e-02 | 2.13398e-01 | 7.39607e-01 | 3.26369e+01
  2 | 3.12147e-02 | 3.87525e-03   5.61851e-03   1.03680e-02 | 1.98617e-02 | 1.11880e-02 | 1.32925e-03 | 1.18279e-01 | 4.21844e-01
  3 | 3.52412e-02 | 4.98879e-03   4.18447e-03   5.14223e-03 | 1.43155e-02 | 7.69973e-03 | 1.04352e-03 | 1.24050e-01 | 3.37750e-01
  4 | 2.46137e-02 | 2.75069e-03   3.60348e-03   3.37821e-03 | 9.73239e-03 | 5.33413e-03 | 7.41104e-04 | 9.77998e-02 | 2.50372e-01
  5 | 1.72952e-02 | 2.24662e-03   2.29502e-03   2.89871e-03 | 7.44035e-03 | 3.68842e-03 | 5.25488e-04 | 6.50519e-02 | 1.20045e-01
  6 | 1.17325e-02 | 9.25223e-04   1.36641e-03   7.48033e-04 | 3.03967e-03 | 2.53253e-03 | 3.57516e-04 | 8.89853e-02 | 1.20639e-01
  7 | 8.20730e-03 | 3.17169e-03   1.31302e-03   1.61610e-05 | 4.46854e-03 | 1.76259e-03 | 2.49116e-04 | 1.26277e-01 | 6.45954e-02
  8 | 5.82678e-03 | 1.47299e-04   1.19990e-03   1.78602e-03 | 7.33415e-04 | 1.30148e-03 | 1.81495e-04 | 1.13754e-01 | 5.81933e-02
  9 | 3.79402e-03 | 2.39377e-04   6.98652e-04   1.51265e-03 | 2.45068e-03 | 8.07630e-04 | 1.17088e-04 | 8.05324e-02 | 5.54015e-02
 10 | 2.72845e-03 | 5.12658e-04   1.33077e-03   7.52732e-05 | 1.76816e-03 | 7.49867e-04 | 8.60997e-05 | 1.12570e-01 | 2.46719e-02
 11 | 1.74284e-03 | 2.90628e-04   1.94723e-03   1.75682e-03 | 4.81040e-04 | 4.83913e-04 | 5.28229e-05 | 1.03684e-01 | 1.70686e-03
 12 | 1.25566e-03 | 2.70997e-04   6.49857e-04   1.73974e-03 | 1.36088e-03 | 4.38806e-04 | 3.75880e-05 | 7.23195e-02 | 1.51600e-03
 13 | 9.70478e-04 | 3.40012e-04   1.29411e-04   1.13021e-03 | 1.34081e-03 | 4.42562e-04 | 3.25461e-05 | 1.10727e-01 | 2.82972e-02
 14 | 1.07982e-03 | 2.90361e-04   1.83364e-03   1.76464e-03 | 3.59360e-04 | 4.60355e-04 | 3.06436e-05 | 1.52743e-01 | 2.28843e-02
 15 | 9.04800e-04 | 1.59970e-04   8.93127e-04   1.04245e-03 | 3.09292e-04 | 4.70506e-04 | 2.96541e-05 | 1.69788e-01 | 1.61496e-02
