 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01256 |   -0.09403     -0.09567     -0.11657 |    0.94901      0.95048      0.97359 |           2.87308 | -39807.60269 | -39780.69889      0.00000      0.00000      6.72690
  1 |    0.01256 |   -0.09371     -0.09511     -0.11102 |    0.95969      0.95999      0.98170 |           2.90138 | -39774.96574 | -39780.69889      1.54661      7.77495      6.72690
  2 |   -0.01866 |   -0.09088     -0.09176     -0.10204 |    0.95644      0.95561      0.97188 |           2.88394 | -39775.38758 | -39780.69889      1.56673      7.66117      6.72690
  3 |   -0.05390 |   -0.08979     -0.09070     -0.10088 |    0.94888      0.95239      0.96694 |           2.86820 | -39775.72533 | -39780.69889      1.55010      7.57868      6.72690
  4 |   -0.07851 |   -0.08920     -0.08985     -0.10029 |    0.94596      0.94863      0.96600 |           2.86059 | -39775.97570 | -39780.69889      1.53455      7.52771      6.72690
  5 |   -0.09581 |   -0.08858     -0.08964     -0.10012 |    0.94397      0.94679      0.96205 |           2.85281 | -39776.09575 | -39780.69889      1.52718      7.49070      6.72690
  6 |   -0.10754 |   -0.08822     -0.08917     -0.09969 |    0.94314      0.94438      0.96058 |           2.84809 | -39776.21639 | -39780.69889      1.51906      7.47018      6.72690
  7 |   -0.11575 |   -0.08811     -0.08906     -0.09959 |    0.94418      0.94422      0.95893 |           2.84733 | -39776.28098 | -39780.69889      1.51783      7.44751      6.72690
  8 |   -0.12157 |   -0.08806     -0.08872     -0.09951 |    0.94254      0.94175      0.95836 |           2.84266 | -39776.33918 | -39780.69889      1.51683      7.43360      6.72690
  9 |   -0.12537 |   -0.08783     -0.08884     -0.09941 |    0.94067      0.94231      0.95851 |           2.84149 | -39776.39458 | -39780.69889      1.51132      7.42765      6.72690
 10 |   -0.12810 |   -0.08774     -0.08867     -0.09945 |    0.94009      0.94185      0.95720 |           2.83913 | -39776.41925 | -39780.69889      1.51065      7.42177      6.72690
 11 |   -0.12984 |   -0.08769     -0.08852     -0.09924 |    0.94138      0.94030      0.95695 |           2.83864 | -39776.42096 | -39780.69889      1.51045      7.42314      6.72690
 12 |   -0.13109 |   -0.08751     -0.08858     -0.09915 |    0.94018      0.94047      0.95784 |           2.83848 | -39776.41944 | -39780.69889      1.51020      7.41375      6.72690
 13 |   -0.13206 |   -0.08767     -0.08845     -0.09921 |    0.94085      0.94201      0.95776 |           2.84062 | -39776.44774 | -39780.69889      1.50171      7.40899      6.72690
 14 |   -0.13314 |   -0.08748     -0.08841     -0.09912 |    0.94112      0.94314      0.95809 |           2.84235 | -39776.47062 | -39780.69889      1.50320      7.41044      6.72690
 15 |   -0.13405 |   -0.08755     -0.08854     -0.09907 |    0.93884      0.94264      0.95697 |           2.83845 | -39776.45447 | -39780.69889      1.50723      7.41871      6.72690
