 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.11134e-02   9.26080e-03   8.96927e-03 | 2.93434e-02 | 3.88646e-02 | 2.13303e-01 | 7.48947e-01 | 3.26369e+01
  2 | 3.12147e-02 | 4.04504e-03   4.37434e-03   1.04740e-02 | 1.88934e-02 | 1.11840e-02 | 1.32736e-03 | 9.28003e-02 | 4.21844e-01
  3 | 3.52412e-02 | 4.63349e-03   3.18491e-03   5.66665e-03 | 1.34851e-02 | 7.72424e-03 | 1.04198e-03 | 8.42009e-02 | 3.37750e-01
  4 | 2.46137e-02 | 3.45060e-03   3.74162e-03   1.57073e-03 | 8.76295e-03 | 5.31360e-03 | 7.41741e-04 | 9.37528e-02 | 2.50372e-01
  5 | 1.72952e-02 | 2.78428e-03   2.78542e-03   3.17716e-03 | 8.74686e-03 | 3.68122e-03 | 5.23694e-04 | 6.35659e-02 | 1.20045e-01
  6 | 1.17325e-02 | 1.84103e-03   2.27439e-03   9.54930e-04 | 5.07034e-03 | 2.46302e-03 | 3.57263e-04 | 5.62093e-02 | 1.20639e-01
  7 | 8.20730e-03 | 5.19582e-04   1.49860e-03   1.46464e-03 | 4.85617e-04 | 1.86077e-03 | 2.52562e-04 | 1.02283e-01 | 6.45954e-02
  8 | 5.82678e-03 | 2.57427e-03   2.28609e-03   6.31950e-05 | 4.79717e-03 | 1.30295e-03 | 1.77652e-04 | 1.31673e-01 | 5.81933e-02
  9 | 3.79402e-03 | 1.09770e-03   9.48670e-04   8.07820e-04 | 1.23855e-03 | 8.39434e-04 | 1.18529e-04 | 1.25714e-01 | 5.54015e-02
 10 | 2.72845e-03 | 1.93440e-03   1.34985e-03   5.86372e-04 | 3.87062e-03 | 6.44194e-04 | 7.96276e-05 | 1.00436e-01 | 2.46719e-02
 11 | 1.74284e-03 | 2.07081e-03   9.28798e-04   1.02839e-03 | 1.13622e-04 | 4.60979e-04 | 5.79201e-05 | 7.37960e-02 | 1.70686e-03
 12 | 1.25566e-03 | 5.84126e-04   1.39723e-03   3.22883e-04 | 1.13599e-03 | 4.20661e-04 | 3.98587e-05 | 8.31737e-02 | 1.51600e-03
 13 | 9.70478e-04 | 3.61809e-04   1.79303e-04   1.23406e-05 | 5.53453e-04 | 4.39626e-04 | 3.04353e-05 | 1.27983e-01 | 2.82972e-02
 14 | 1.07982e-03 | 1.28383e-04   1.04333e-03   3.67022e-04 | 1.53874e-03 | 4.21720e-04 | 3.09968e-05 | 1.01673e-01 | 2.28843e-02
 15 | 9.04800e-04 | 3.16980e-04   7.99396e-04   1.48155e-04 | 9.68221e-04 | 3.32642e-04 | 2.95619e-05 | 4.66376e-02 | 1.61496e-02
