 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01256 |   -0.09412     -0.09556     -0.11652 |    0.94907      0.95071      0.97245 |           2.87223 | -39807.60269 | -39780.69889      0.00000      0.00000      6.72185
  1 |    0.01256 |   -0.09363     -0.09500     -0.11088 |    0.95921      0.96192      0.98182 |           2.90295 | -39774.96574 | -39780.69889      1.54661      7.77274      6.72185
  2 |   -0.01866 |   -0.09106     -0.09183     -0.10200 |    0.95533      0.95630      0.97145 |           2.88309 | -39775.38758 | -39780.69889      1.56673      7.66007      6.72185
  3 |   -0.05390 |   -0.08991     -0.09058     -0.10069 |    0.95034      0.95212      0.96631 |           2.86877 | -39775.72533 | -39780.69889      1.55010      7.57782      6.72185
  4 |   -0.07851 |   -0.08914     -0.09010     -0.10027 |    0.94759      0.94852      0.96293 |           2.85904 | -39775.97570 | -39780.69889      1.53455      7.51448      6.72185
  5 |   -0.09581 |   -0.08871     -0.08938     -0.10005 |    0.94535      0.94622      0.96003 |           2.85160 | -39776.09575 | -39780.69889      1.52718      7.48675      6.72185
  6 |   -0.10754 |   -0.08846     -0.08927     -0.09965 |    0.94442      0.94486      0.95929 |           2.84856 | -39776.21639 | -39780.69889      1.51906      7.45717      6.72185
  7 |   -0.11575 |   -0.08829     -0.08901     -0.09956 |    0.94125      0.94354      0.95930 |           2.84409 | -39776.28098 | -39780.69889      1.51783      7.44594      6.72185
  8 |   -0.12157 |   -0.08799     -0.08877     -0.09938 |    0.94110      0.94474      0.95752 |           2.84336 | -39776.33918 | -39780.69889      1.51683      7.43028      6.72185
  9 |   -0.12537 |   -0.08778     -0.08863     -0.09937 |    0.94086      0.94404      0.95600 |           2.84091 | -39776.39458 | -39780.69889      1.51132      7.42540      6.72185
 10 |   -0.12810 |   -0.08793     -0.08861     -0.09932 |    0.94035      0.94271      0.95608 |           2.83914 | -39776.41925 | -39780.69889      1.51065      7.41383      6.72185
 11 |   -0.12984 |   -0.08782     -0.08866     -0.09919 |    0.94006      0.94077      0.95784 |           2.83866 | -39776.42096 | -39780.69889      1.51045      7.41548      6.72185
 12 |   -0.13109 |   -0.08755     -0.08835     -0.09919 |    0.93979      0.94142      0.95610 |           2.83730 | -39776.41944 | -39780.69889      1.51020      7.41102      6.72185
 13 |   -0.13206 |   -0.08761     -0.08849     -0.09921 |    0.94013      0.94129      0.95723 |           2.83864 | -39776.44774 | -39780.69889      1.50171      7.41053      6.72185
 14 |   -0.13314 |   -0.08758     -0.08844     -0.09933 |    0.94042      0.94312      0.95546 |           2.83900 | -39776.47062 | -39780.69889      1.50320      7.40227      6.72185
 15 |   -0.13405 |   -0.08768     -0.08848     -0.09922 |    0.94058      0.94223      0.95650 |           2.83931 | -39776.45447 | -39780.69889      1.50723      7.40946      6.72185
