 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01256 |   -0.09415     -0.09564     -0.11657 |    0.94902      0.95074      0.97268 |           2.87243 | -39807.60269 | -39780.69889      0.00000      0.00000      6.72304
  1 |    0.01256 |   -0.09399     -0.09509     -0.11132 |    0.95884      0.96150      0.98105 |           2.90139 | -39774.96574 | -39780.69889      1.54661      7.76231      6.72304
  2 |   -0.01866 |   -0.09124     -0.09181     -0.10198 |    0.95645      0.95647      0.97061 |           2.88353 | -39775.38758 | -39780.69889      1.56673      7.66618      6.72304
  3 |   -0.05390 |   -0.08999     -0.09070     -0.10077 |    0.95086      0.95183      0.96588 |           2.86857 | -39775.72533 | -39780.69889      1.55010      7.57949      6.72304
  4 |   -0.07851 |   -0.08933     -0.09021     -0.10041 |    0.94748      0.94913      0.96260 |           2.85922 | -39775.97570 | -39780.69889      1.53455      7.52556      6.72304
  5 |   -0.09581 |   -0.08889     -0.08945     -0.09992 |    0.94519      0.94643      0.96140 |           2.85302 | -39776.09575 | -39780.69889      1.52718      7.48834      6.72304
  6 |   -0.10754 |   -0.08849     -0.08908     -0.09972 |    0.94532      0.94307      0.95974 |           2.84814 | -39776.21639 | -39780.69889      1.51906      7.46512      6.72304
  7 |   -0.11575 |   -0.08828     -0.08898     -0.09942 |    0.94210      0.94193      0.95845 |           2.84249 | -39776.28098 | -39780.69889      1.51783      7.45384      6.72304
  8 |   -0.12157 |   -0.08826     -0.08881     -0.09950 |    0.94124      0.94239      0.95754 |           2.84117 | -39776.33918 | -39780.69889      1.51683      7.43655      6.72304
  9 |   -0.12537 |   -0.08794     -0.08872     -0.09938 |    0.94135      0.94233      0.95578 |           2.83945 | -39776.39458 | -39780.69889      1.51132      7.41411      6.72304
 10 |   -0.12810 |   -0.08794     -0.08862     -0.09933 |    0.94136      0.94111      0.95882 |           2.84128 | -39776.41925 | -39780.69889      1.51065      7.41348      6.72304
 11 |   -0.12984 |   -0.08786     -0.08865     -0.09940 |    0.94147      0.94210      0.95679 |           2.84036 | -39776.42096 | -39780.69889      1.51045      7.41244      6.72304
 12 |   -0.13109 |   -0.08769     -0.08860     -0.09932 |    0.94116      0.94170      0.95745 |           2.84031 | -39776.41944 | -39780.69889      1.51020      7.41575      6.72304
 13 |   -0.13206 |   -0.08776     -0.08855     -0.09934 |    0.93994      0.94224      0.95646 |           2.83865 | -39776.44774 | -39780.69889      1.50171      7.40786      6.72304
 14 |   -0.13314 |   -0.08787     -0.08861     -0.09923 |    0.93968      0.94113      0.95806 |           2.83887 | -39776.47062 | -39780.69889      1.50320      7.40676      6.72304
 15 |   -0.13405 |   -0.08767     -0.08848     -0.09929 |    0.93922      0.93986      0.95600 |           2.83508 | -39776.45447 | -39780.69889      1.50723      7.39829      6.72304
