 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01256 |   -0.09407     -0.09567     -0.11659 |    0.94950      0.95092      0.97353 |           2.87394 | -39807.60269 | -39780.69889      0.00000      0.00000      6.73201
  1 |    0.01256 |   -0.09379     -0.09508     -0.11121 |    0.96061      0.96018      0.98250 |           2.90329 | -39774.96574 | -39780.69889      1.54661      7.78034      6.73201
  2 |   -0.01866 |   -0.09113     -0.09178     -0.10208 |    0.95657      0.95580      0.97202 |           2.88439 | -39775.38758 | -39780.69889      1.56673      7.66096      6.73201
  3 |   -0.05390 |   -0.08994     -0.09077     -0.10084 |    0.95193      0.95262      0.96636 |           2.87091 | -39775.72533 | -39780.69889      1.55010      7.59126      6.73201
  4 |   -0.07851 |   -0.08920     -0.08988     -0.10015 |    0.94848      0.94888      0.96478 |           2.86215 | -39775.97570 | -39780.69889      1.53455      7.52468      6.73201
  5 |   -0.09581 |   -0.08869     -0.08955     -0.09991 |    0.94570      0.94609      0.96161 |           2.85340 | -39776.09575 | -39780.69889      1.52718      7.51397      6.73201
  6 |   -0.10754 |   -0.08850     -0.08926     -0.09982 |    0.94386      0.94382      0.96065 |           2.84833 | -39776.21639 | -39780.69889      1.51906      7.47478      6.73201
  7 |   -0.11575 |   -0.08805     -0.08899     -0.09956 |    0.94334      0.94532      0.95919 |           2.84784 | -39776.28098 | -39780.69889      1.51783      7.45658      6.73201
  8 |   -0.12157 |   -0.08793     -0.08893     -0.09950 |    0.94076      0.94303      0.95925 |           2.84305 | -39776.33918 | -39780.69889      1.51683      7.44625      6.73201
  9 |   -0.12537 |   -0.08786     -0.08879     -0.09932 |    0.94186      0.94398      0.95844 |           2.84428 | -39776.39458 | -39780.69889      1.51132      7.42964      6.73201
 10 |   -0.12810 |   -0.08779     -0.08867     -0.09941 |    0.93993      0.94263      0.95786 |           2.84041 | -39776.41925 | -39780.69889      1.51065      7.42371      6.73201
 11 |   -0.12984 |   -0.08775     -0.08856     -0.09929 |    0.94200      0.94170      0.95683 |           2.84053 | -39776.42096 | -39780.69889      1.51045      7.42022      6.73201
 12 |   -0.13109 |   -0.08762     -0.08874     -0.09902 |    0.94141      0.94310      0.95715 |           2.84166 | -39776.41944 | -39780.69889      1.51020      7.43252      6.73201
 13 |   -0.13206 |   -0.08782     -0.08871     -0.09923 |    0.94105      0.94292      0.95714 |           2.84111 | -39776.44774 | -39780.69889      1.50171      7.42585      6.73201
 14 |   -0.13314 |   -0.08783     -0.08866     -0.09934 |    0.94092      0.94187      0.95677 |           2.83957 | -39776.47062 | -39780.69889      1.50320      7.40939      6.73201
 15 |   -0.13405 |   -0.08775     -0.08864     -0.09942 |    0.94124      0.94267      0.95662 |           2.84054 | -39776.45447 | -39780.69889      1.50723      7.41452      6.73201
