 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.44725e-02   1.02646e-02   4.61484e-03 | 2.93519e-02 | 4.46462e-02 | 2.13346e-01 | 7.64781e-01 | 3.26785e+01
  2 | 3.15144e-02 | 1.43399e-03   3.00538e-03   1.07326e-02 | 1.51719e-02 | 1.29127e-02 | 1.33558e-03 | 1.47854e-01 | 4.27645e-01
  3 | 3.73026e-02 | 4.96698e-03   5.69094e-03   6.12190e-03 | 1.67798e-02 | 9.12478e-03 | 1.10044e-03 | 1.38806e-01 | 3.62259e-01
  4 | 2.64463e-02 | 3.01641e-03   2.49096e-03   3.15994e-03 | 8.66731e-03 | 6.39675e-03 | 7.95064e-04 | 1.62254e-01 | 2.56503e-01
  5 | 1.87420e-02 | 1.19063e-03   4.48676e-03   2.92706e-03 | 8.60445e-03 | 4.45751e-03 | 5.66817e-04 | 1.20932e-01 | 1.81840e-01
  6 | 1.28946e-02 | 3.77999e-03   8.16427e-04   6.99823e-04 | 5.29624e-03 | 2.99862e-03 | 3.92072e-04 | 1.32478e-01 | 8.80594e-02
  7 | 9.38182e-03 | 2.45970e-03   1.84837e-03   1.67102e-03 | 5.97909e-03 | 2.27607e-03 | 2.88246e-04 | 1.08092e-01 | 1.15906e-01
  8 | 6.36656e-03 | 1.58271e-03   9.07068e-04   5.64190e-04 | 1.23983e-03 | 2.22187e-03 | 1.93254e-04 | 3.75134e-01 | 4.84967e-02
  9 | 4.26536e-03 | 2.22906e-03   2.29938e-03   9.44776e-04 | 8.74457e-04 | 1.87322e-03 | 1.34123e-04 | 3.76227e-01 | 2.91061e-02
 10 | 3.35543e-03 | 1.55081e-03   4.22533e-04   2.64174e-03 | 3.77002e-03 | 8.50645e-04 | 9.96138e-05 | 1.17288e-01 | 5.01195e-02
 11 | 1.87011e-03 | 1.19494e-03   9.45655e-04   1.77816e-03 | 1.52887e-03 | 5.65942e-04 | 6.11289e-05 | 1.37345e-01 | 8.06667e-03
 12 | 1.68394e-03 | 1.27131e-03   2.36174e-03   1.22650e-03 | 2.31693e-03 | 5.80330e-04 | 5.27433e-05 | 9.55919e-02 | 4.54051e-02
 13 | 1.10397e-03 | 2.39131e-03   8.30718e-04   1.01296e-03 | 5.47633e-04 | 5.63711e-04 | 3.44391e-05 | 2.53207e-01 | 6.53788e-03
 14 | 1.14067e-03 | 1.14935e-03   4.85665e-04   1.32079e-03 | 6.57097e-04 | 4.07941e-04 | 3.37768e-05 | 1.09484e-01 | 1.34956e-03
 15 | 2.06901e-04 | 6.75129e-04   1.87899e-03   1.98814e-04 | 1.00505e-03 | 3.94855e-04 | 1.20543e-05 | 1.77374e-01 | 8.81610e-03
