 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.00975 |   -0.09429     -0.10377     -0.11679 |    0.94194      0.95727      0.97514 |           2.87436 | -39807.52562 | -39780.55481      0.00000      0.00000      6.73446
  1 |    0.00975 |   -0.09626     -0.10230     -0.11048 |    0.95807      0.96916      0.98020 |           2.90744 | -39774.84708 | -39780.55481      1.58491      7.75525      6.73446
  2 |   -0.02176 |   -0.09666     -0.09867     -0.10392 |    0.95583      0.96275      0.96745 |           2.88603 | -39775.27472 | -39780.55481      1.61129      7.64281      6.73446
  3 |   -0.05906 |   -0.09540     -0.09744     -0.10231 |    0.94950      0.95919      0.96392 |           2.87260 | -39775.63698 | -39780.55481      1.59132      7.56225      6.73446
  4 |   -0.08551 |   -0.09426     -0.09657     -0.10180 |    0.94712      0.95401      0.95836 |           2.85950 | -39775.89349 | -39780.55481      1.56873      7.50876      6.73446
  5 |   -0.10425 |   -0.09318     -0.09597     -0.10143 |    0.94253      0.95244      0.95736 |           2.85232 | -39776.07533 | -39780.55481      1.55931      7.46862      6.73446
  6 |   -0.11715 |   -0.09284     -0.09547     -0.10101 |    0.94208      0.95084      0.95570 |           2.84862 | -39776.16338 | -39780.55481      1.54992      7.44419      6.73446
  7 |   -0.12653 |   -0.09238     -0.09545     -0.10094 |    0.94146      0.94961      0.95455 |           2.84563 | -39776.27929 | -39780.55481      1.54661      7.41453      6.73446
  8 |   -0.13289 |   -0.09231     -0.09497     -0.10052 |    0.93817      0.95018      0.95332 |           2.84166 | -39776.32779 | -39780.55481      1.54590      7.41214      6.73446
  9 |   -0.13716 |   -0.09193     -0.09491     -0.10060 |    0.93919      0.94878      0.95307 |           2.84104 | -39776.35689 | -39780.55481      1.53790      7.40133      6.73446
 10 |   -0.14051 |   -0.09201     -0.09478     -0.10057 |    0.93998      0.94690      0.95197 |           2.83884 | -39776.40701 | -39780.55481      1.53924      7.38343      6.73446
 11 |   -0.14238 |   -0.09183     -0.09480     -0.10039 |    0.93768      0.94673      0.95380 |           2.83821 | -39776.39895 | -39780.55481      1.53961      7.38526      6.73446
 12 |   -0.14407 |   -0.09164     -0.09464     -0.10025 |    0.93803      0.94656      0.95361 |           2.83819 | -39776.44435 | -39780.55481      1.53667      7.38256      6.73446
 13 |   -0.14517 |   -0.09171     -0.09459     -0.10038 |    0.93837      0.94745      0.95429 |           2.84011 | -39776.45089 | -39780.55481      1.53691      7.37876      6.73446
 14 |   -0.14631 |   -0.09168     -0.09444     -0.10048 |    0.93881      0.94781      0.95320 |           2.83983 | -39776.45224 | -39780.55481      1.53372      7.38055      6.73446
 15 |   -0.14652 |   -0.09164     -0.09465     -0.10028 |    0.93815      0.94870      0.95305 |           2.83990 | -39776.46105 | -39780.55481      1.53103      7.37305      6.73446
