 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.00975 |   -0.09439     -0.10372     -0.11672 |    0.94216      0.95784      0.97541 |           2.87541 | -39807.52562 | -39780.55481      0.00000      0.00000      6.74071
  1 |    0.00975 |   -0.09624     -0.10209     -0.11032 |    0.95664      0.96810      0.98002 |           2.90476 | -39774.84708 | -39780.55481      1.58491      7.77500      6.74071
  2 |   -0.02176 |   -0.09659     -0.09863     -0.10380 |    0.95520      0.96510      0.96929 |           2.88959 | -39775.27472 | -39780.55481      1.61129      7.66390      6.74071
  3 |   -0.05906 |   -0.09520     -0.09731     -0.10213 |    0.95023      0.95941      0.96317 |           2.87281 | -39775.63698 | -39780.55481      1.59132      7.57217      6.74071
  4 |   -0.08551 |   -0.09400     -0.09648     -0.10190 |    0.94722      0.95692      0.96001 |           2.86414 | -39775.89349 | -39780.55481      1.56873      7.51739      6.74071
  5 |   -0.10425 |   -0.09325     -0.09594     -0.10131 |    0.94603      0.95243      0.95708 |           2.85554 | -39776.07533 | -39780.55481      1.55931      7.46800      6.74071
  6 |   -0.11715 |   -0.09285     -0.09534     -0.10106 |    0.94225      0.95161      0.95638 |           2.85024 | -39776.16338 | -39780.55481      1.54992      7.44506      6.74071
  7 |   -0.12653 |   -0.09237     -0.09513     -0.10059 |    0.93979      0.94976      0.95471 |           2.84426 | -39776.27929 | -39780.55481      1.54661      7.41932      6.74071
  8 |   -0.13289 |   -0.09214     -0.09499     -0.10050 |    0.93821      0.95067      0.95415 |           2.84302 | -39776.32779 | -39780.55481      1.54590      7.40707      6.74071
  9 |   -0.13716 |   -0.09201     -0.09478     -0.10035 |    0.94043      0.94837      0.95509 |           2.84390 | -39776.35689 | -39780.55481      1.53790      7.39855      6.74071
 10 |   -0.14051 |   -0.09171     -0.09479     -0.10040 |    0.93888      0.94879      0.95245 |           2.84013 | -39776.40701 | -39780.55481      1.53924      7.39677      6.74071
 11 |   -0.14238 |   -0.09165     -0.09459     -0.10043 |    0.93769      0.94974      0.95423 |           2.84166 | -39776.39895 | -39780.55481      1.53961      7.39352      6.74071
 12 |   -0.14407 |   -0.09157     -0.09458     -0.10034 |    0.93896      0.94738      0.95300 |           2.83934 | -39776.44435 | -39780.55481      1.53667      7.37580      6.74071
 13 |   -0.14517 |   -0.09174     -0.09452     -0.10037 |    0.93657      0.94821      0.95401 |           2.83879 | -39776.45089 | -39780.55481      1.53691      7.38175      6.74071
 14 |   -0.14631 |   -0.09167     -0.09464     -0.10052 |    0.93772      0.94772      0.95269 |           2.83813 | -39776.45224 | -39780.55481      1.53372      7.38636      6.74071
 15 |   -0.14652 |   -0.09151     -0.09458     -0.10031 |    0.93704      0.94960      0.95249 |           2.83914 | -39776.46105 | -39780.55481      1.53103      7.38129      6.74071
