 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.00975 |   -0.09464     -0.10372     -0.11653 |    0.94274      0.95832      0.97518 |           2.87624 | -39807.52562 | -39780.55481      0.00000      0.00000      6.74564
  1 |    0.00975 |   -0.09646     -0.10226     -0.11032 |    0.95771      0.96773      0.98121 |           2.90666 | -39774.84708 | -39780.55481      1.58491      7.78204      6.74564
  2 |   -0.02176 |   -0.09668     -0.09863     -0.10378 |    0.95539      0.96745      0.96823 |           2.89107 | -39775.27472 | -39780.55481      1.61129      7.66441      6.74564
  3 |   -0.05906 |   -0.09510     -0.09732     -0.10212 |    0.94953      0.96003      0.96347 |           2.87302 | -39775.63698 | -39780.55481      1.59132      7.58052      6.74564
  4 |   -0.08551 |   -0.09409     -0.09644     -0.10147 |    0.94670      0.95749      0.95964 |           2.86383 | -39775.89349 | -39780.55481      1.56873      7.51177      6.74564
  5 |   -0.10425 |   -0.09345     -0.09597     -0.10134 |    0.94455      0.95376      0.95763 |           2.85594 | -39776.07533 | -39780.55481      1.55931      7.47782      6.74564
  6 |   -0.11715 |   -0.09270     -0.09567     -0.10086 |    0.94146      0.95257      0.95652 |           2.85054 | -39776.16338 | -39780.55481      1.54992      7.45545      6.74564
  7 |   -0.12653 |   -0.09237     -0.09521     -0.10066 |    0.94106      0.95209      0.95517 |           2.84833 | -39776.27929 | -39780.55481      1.54661      7.42886      6.74564
  8 |   -0.13289 |   -0.09207     -0.09505     -0.10038 |    0.93814      0.95164      0.95516 |           2.84493 | -39776.32779 | -39780.55481      1.54590      7.41615      6.74564
  9 |   -0.13716 |   -0.09199     -0.09493     -0.10038 |    0.93981      0.95151      0.95408 |           2.84540 | -39776.35689 | -39780.55481      1.53790      7.41655      6.74564
 10 |   -0.14051 |   -0.09205     -0.09495     -0.10031 |    0.93794      0.94891      0.95336 |           2.84021 | -39776.40701 | -39780.55481      1.53924      7.39494      6.74564
 11 |   -0.14238 |   -0.09178     -0.09478     -0.10024 |    0.93779      0.94940      0.95190 |           2.83910 | -39776.39895 | -39780.55481      1.53961      7.39779      6.74564
 12 |   -0.14407 |   -0.09154     -0.09478     -0.10035 |    0.93867      0.94889      0.95319 |           2.84075 | -39776.44435 | -39780.55481      1.53667      7.39618      6.74564
 13 |   -0.14517 |   -0.09143     -0.09456     -0.10031 |    0.93716      0.94787      0.95237 |           2.83740 | -39776.45089 | -39780.55481      1.53691      7.38802      6.74564
 14 |   -0.14631 |   -0.09159     -0.09477     -0.10017 |    0.93727      0.94675      0.95306 |           2.83708 | -39776.45224 | -39780.55481      1.53372      7.38984      6.74564
 15 |   -0.14652 |   -0.09151     -0.09463     -0.10008 |    0.93730      0.94992      0.95436 |           2.84158 | -39776.46105 | -39780.55481      1.53103      7.38647      6.74564
