 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01265 |   -0.09412     -0.09690     -0.11683 |    0.94811      0.95125      0.97315 |           2.87252 | -39807.58916 | -39780.69198      0.00000      0.00000      6.72355
  1 |    0.01265 |   -0.09386     -0.09627     -0.11105 |    0.95807      0.96181      0.98070 |           2.90058 | -39774.95835 | -39780.69198      1.56106      7.76822      6.72355
  2 |   -0.01774 |   -0.09143     -0.09292     -0.10217 |    0.95514      0.96053      0.96927 |           2.88494 | -39775.40837 | -39780.69198      1.56938      7.65281      6.72355
  3 |   -0.05399 |   -0.09048     -0.09180     -0.10119 |    0.95016      0.95213      0.96637 |           2.86866 | -39775.73379 | -39780.69198      1.55142      7.57660      6.72355
  4 |   -0.07930 |   -0.08954     -0.09096     -0.10067 |    0.94665      0.94971      0.96353 |           2.85989 | -39775.95924 | -39780.69198      1.53670      7.52225      6.72355
  5 |   -0.09744 |   -0.08901     -0.09058     -0.10017 |    0.94553      0.94784      0.96047 |           2.85384 | -39776.13275 | -39780.69198      1.53110      7.48375      6.72355
  6 |   -0.10939 |   -0.08867     -0.09017     -0.10007 |    0.94168      0.94654      0.95927 |           2.84750 | -39776.23945 | -39780.69198      1.52489      7.44808      6.72355
  7 |   -0.11776 |   -0.08848     -0.08991     -0.09978 |    0.94304      0.94427      0.95804 |           2.84535 | -39776.31472 | -39780.69198      1.51994      7.44219      6.72355
  8 |   -0.12325 |   -0.08824     -0.08959     -0.09956 |    0.94092      0.94370      0.95748 |           2.84210 | -39776.36838 | -39780.69198      1.51839      7.42161      6.72355
  9 |   -0.12717 |   -0.08814     -0.08961     -0.09963 |    0.94033      0.94263      0.95741 |           2.84036 | -39776.40445 | -39780.69198      1.51464      7.41277      6.72355
 10 |   -0.12978 |   -0.08820     -0.08961     -0.09962 |    0.94022      0.94438      0.95706 |           2.84166 | -39776.44858 | -39780.69198      1.51308      7.41115      6.72355
 11 |   -0.13192 |   -0.08821     -0.08957     -0.09960 |    0.93924      0.94326      0.95537 |           2.83787 | -39776.44487 | -39780.69198      1.51477      7.39925      6.72355
 12 |   -0.13285 |   -0.08797     -0.08949     -0.09940 |    0.93938      0.94182      0.95672 |           2.83791 | -39776.44259 | -39780.69198      1.51509      7.40110      6.72355
 13 |   -0.13376 |   -0.08793     -0.08941     -0.09958 |    0.94023      0.94244      0.95469 |           2.83736 | -39776.46207 | -39780.69198      1.51320      7.39675      6.72355
 14 |   -0.13428 |   -0.08800     -0.08931     -0.09940 |    0.94012      0.94097      0.95703 |           2.83812 | -39776.47396 | -39780.69198      1.51291      7.40567      6.72355
