 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01265 |   -0.09370     -0.09717     -0.11695 |    0.94766      0.95129      0.97261 |           2.87156 | -39807.58916 | -39780.69198      0.00000      0.00000      6.71786
  1 |    0.01265 |   -0.09358     -0.09646     -0.11117 |    0.95742      0.96183      0.98140 |           2.90065 | -39774.95835 | -39780.69198      1.56106      7.76582      6.71786
  2 |   -0.01774 |   -0.09130     -0.09322     -0.10234 |    0.95569      0.95908      0.97115 |           2.88591 | -39775.40837 | -39780.69198      1.56938      7.64836      6.71786
  3 |   -0.05399 |   -0.09032     -0.09193     -0.10105 |    0.95125      0.95398      0.96441 |           2.86964 | -39775.73379 | -39780.69198      1.55142      7.56341      6.71786
  4 |   -0.07930 |   -0.08930     -0.09106     -0.10058 |    0.94754      0.95052      0.96234 |           2.86040 | -39775.95924 | -39780.69198      1.53670      7.51683      6.71786
  5 |   -0.09744 |   -0.08886     -0.09063     -0.10030 |    0.94276      0.94752      0.95985 |           2.85013 | -39776.13275 | -39780.69198      1.53110      7.47934      6.71786
  6 |   -0.10939 |   -0.08864     -0.09041     -0.09989 |    0.94214      0.94396      0.95965 |           2.84574 | -39776.23945 | -39780.69198      1.52489      7.45852      6.71786
  7 |   -0.11776 |   -0.08833     -0.09022     -0.09994 |    0.94185      0.94513      0.95716 |           2.84414 | -39776.31472 | -39780.69198      1.51994      7.42951      6.71786
  8 |   -0.12325 |   -0.08815     -0.09001     -0.09977 |    0.94190      0.94269      0.95613 |           2.84072 | -39776.36838 | -39780.69198      1.51839      7.42510      6.71786
  9 |   -0.12717 |   -0.08783     -0.08995     -0.09981 |    0.94081      0.94221      0.95593 |           2.83894 | -39776.40445 | -39780.69198      1.51464      7.40961      6.71786
 10 |   -0.12978 |   -0.08788     -0.08969     -0.09961 |    0.93937      0.94338      0.95538 |           2.83812 | -39776.44858 | -39780.69198      1.51308      7.38834      6.71786
 11 |   -0.13192 |   -0.08782     -0.08978     -0.09952 |    0.94010      0.94303      0.95391 |           2.83704 | -39776.44487 | -39780.69198      1.51477      7.39644      6.71786
 12 |   -0.13285 |   -0.08772     -0.08964     -0.09949 |    0.94042      0.94249      0.95527 |           2.83818 | -39776.44259 | -39780.69198      1.51509      7.40275      6.71786
 13 |   -0.13376 |   -0.08770     -0.08976     -0.09937 |    0.93761      0.94200      0.95521 |           2.83482 | -39776.46207 | -39780.69198      1.51320      7.40245      6.71786
 14 |   -0.13428 |   -0.08773     -0.08960     -0.09948 |    0.93900      0.94122      0.95627 |           2.83649 | -39776.47396 | -39780.69198      1.51291      7.39305      6.71786
