 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01265 |   -0.09395     -0.09682     -0.11696 |    0.94866      0.95147      0.97397 |           2.87410 | -39807.58916 | -39780.69198      0.00000      0.00000      6.73293
  1 |    0.01265 |   -0.09367     -0.09612     -0.11124 |    0.95821      0.96223      0.98047 |           2.90091 | -39774.95835 | -39780.69198      1.56106      7.77412      6.73293
  2 |   -0.01774 |   -0.09152     -0.09291     -0.10229 |    0.95606      0.95828      0.97105 |           2.88538 | -39775.40837 | -39780.69198      1.56938      7.65849      6.73293
  3 |   -0.05399 |   -0.09041     -0.09164     -0.10139 |    0.95056      0.95439      0.96718 |           2.87213 | -39775.73379 | -39780.69198      1.55142      7.58960      6.73293
  4 |   -0.07930 |   -0.08960     -0.09092     -0.10068 |    0.95008      0.94982      0.96364 |           2.86354 | -39775.95924 | -39780.69198      1.53670      7.52787      6.73293
  5 |   -0.09744 |   -0.08913     -0.09054     -0.10028 |    0.94582      0.94740      0.96202 |           2.85524 | -39776.13275 | -39780.69198      1.53110      7.48819      6.73293
  6 |   -0.10939 |   -0.08869     -0.09015     -0.10007 |    0.94406      0.94641      0.95999 |           2.85046 | -39776.23945 | -39780.69198      1.52489      7.46083      6.73293
  7 |   -0.11776 |   -0.08833     -0.08997     -0.09984 |    0.94050      0.94597      0.95945 |           2.84592 | -39776.31472 | -39780.69198      1.51994      7.44632      6.73293
  8 |   -0.12325 |   -0.08820     -0.08978     -0.09986 |    0.94326      0.94442      0.95652 |           2.84420 | -39776.36838 | -39780.69198      1.51839      7.43379      6.73293
  9 |   -0.12717 |   -0.08816     -0.08967     -0.09985 |    0.94083      0.94251      0.95727 |           2.84061 | -39776.40445 | -39780.69198      1.51464      7.42840      6.73293
 10 |   -0.12978 |   -0.08816     -0.08953     -0.09961 |    0.94065      0.94336      0.95708 |           2.84109 | -39776.44858 | -39780.69198      1.51308      7.41761      6.73293
 11 |   -0.13192 |   -0.08814     -0.08942     -0.09967 |    0.93979      0.94310      0.95781 |           2.84070 | -39776.44487 | -39780.69198      1.51477      7.41766      6.73293
 12 |   -0.13285 |   -0.08812     -0.08942     -0.09957 |    0.93964      0.94354      0.95642 |           2.83960 | -39776.44259 | -39780.69198      1.51509      7.41858      6.73293
 13 |   -0.13376 |   -0.08799     -0.08942     -0.09989 |    0.94053      0.94325      0.95874 |           2.84253 | -39776.46207 | -39780.69198      1.51320      7.41479      6.73293
 14 |   -0.13428 |   -0.08797     -0.08941     -0.09949 |    0.94101      0.94275      0.95673 |           2.84048 | -39776.47396 | -39780.69198      1.51291      7.40828      6.73293
