 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 9.76075e-03   1.05459e-02   8.78825e-03 | 2.90949e-02 | 3.97955e-02 | 2.13467e-01 | 7.73333e-01 | 3.26308e+01
  2 | 3.03883e-02 | 1.73495e-03   2.75756e-03   1.02461e-02 | 1.47386e-02 | 1.13200e-02 | 1.31919e-03 | 1.22680e-01 | 4.50018e-01
  3 | 3.62488e-02 | 4.43302e-03   5.09141e-03   6.74563e-03 | 1.62701e-02 | 8.01224e-03 | 1.06991e-03 | 1.08630e-01 | 3.25420e-01
  4 | 2.53101e-02 | 3.71621e-03   3.46338e-03   2.06943e-03 | 9.24903e-03 | 5.52378e-03 | 7.62504e-04 | 1.49762e-01 | 2.25458e-01
  5 | 1.81438e-02 | 4.77276e-03   2.99859e-03   2.48971e-03 | 1.02611e-02 | 3.98887e-03 | 5.50696e-04 | 1.01314e-01 | 1.73503e-01
  6 | 1.19510e-02 | 6.25983e-04   3.56140e-03   2.03081e-04 | 4.39047e-03 | 2.57115e-03 | 3.66136e-04 | 1.26193e-01 | 1.06707e-01
  7 | 8.36888e-03 | 2.91972e-04   1.17399e-03   2.48880e-03 | 1.60679e-03 | 1.88673e-03 | 2.56603e-04 | 7.74882e-02 | 7.52630e-02
  8 | 5.49035e-03 | 5.52077e-05   2.44251e-03   1.02950e-03 | 3.41680e-03 | 1.22725e-03 | 1.68721e-04 | 8.30714e-02 | 5.36672e-02
  9 | 3.92385e-03 | 1.09201e-03   4.83759e-04   2.02182e-04 | 1.77795e-03 | 8.98821e-04 | 1.20334e-04 | 7.77180e-02 | 3.60617e-02
 10 | 2.60741e-03 | 1.43886e-03   1.16790e-03   5.47764e-04 | 8.18730e-04 | 6.11677e-04 | 8.20041e-05 | 1.10927e-01 | 4.41353e-02
 11 | 2.13910e-03 | 7.26727e-04   3.49243e-04   1.46643e-03 | 1.08895e-03 | 5.91703e-04 | 6.52681e-05 | 1.48279e-01 | 3.71066e-03
 12 | 9.29876e-04 | 3.21998e-04   5.34088e-04   1.35994e-03 | 1.14785e-03 | 4.54788e-04 | 3.04547e-05 | 1.47472e-01 | 2.28117e-03
 13 | 9.05280e-04 | 2.81098e-03   4.90197e-04   5.96952e-05 | 3.36087e-03 | 5.63291e-04 | 2.98357e-05 | 1.19253e-01 | 1.94836e-02
 14 | 5.21410e-04 | 1.39109e-03   7.85623e-04   1.06288e-03 | 1.66835e-03 | 3.56998e-04 | 1.82693e-05 | 1.25100e-01 | 1.18918e-02
