 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 9.95301e-03   1.05548e-02   7.55105e-03 | 2.80589e-02 | 3.97092e-02 | 2.13413e-01 | 7.81500e-01 | 3.26308e+01
  2 | 3.03883e-02 | 2.92364e-03   1.27644e-03   1.14336e-02 | 1.56337e-02 | 1.12883e-02 | 1.31832e-03 | 1.11608e-01 | 4.50018e-01
  3 | 3.62488e-02 | 4.98082e-03   8.40365e-03   2.89529e-03 | 1.62798e-02 | 8.08958e-03 | 1.07049e-03 | 1.32270e-01 | 3.25420e-01
  4 | 2.53101e-02 | 3.51251e-03   2.41342e-03   2.84641e-03 | 8.77234e-03 | 5.57730e-03 | 7.62271e-04 | 8.08584e-02 | 2.25458e-01
  5 | 1.81438e-02 | 1.11403e-03   1.87877e-03   3.06093e-03 | 6.05373e-03 | 3.91222e-03 | 5.46901e-04 | 1.72998e-01 | 1.73503e-01
  6 | 1.19510e-02 | 3.85218e-03   1.29688e-03   1.19278e-03 | 6.34184e-03 | 2.66636e-03 | 3.69274e-04 | 2.11817e-01 | 1.06707e-01
  7 | 8.36888e-03 | 1.35914e-03   2.26946e-03   1.23206e-03 | 2.14238e-03 | 1.82081e-03 | 2.54963e-04 | 1.34503e-01 | 7.52630e-02
  8 | 5.49035e-03 | 2.12117e-03   5.65541e-04   5.62040e-04 | 3.24875e-03 | 1.22639e-03 | 1.71356e-04 | 1.48631e-01 | 5.36672e-02
  9 | 3.92385e-03 | 5.95198e-04   1.07699e-03   7.35051e-05 | 1.74570e-03 | 8.97810e-04 | 1.19868e-04 | 1.24369e-01 | 3.60617e-02
 10 | 2.60741e-03 | 1.05195e-04   1.75541e-03   3.47061e-04 | 1.30315e-03 | 7.63997e-04 | 8.11941e-05 | 1.32994e-01 | 4.41353e-02
 11 | 2.13910e-03 | 9.81838e-04   1.12728e-03   1.68677e-03 | 3.79588e-03 | 5.90466e-04 | 6.34704e-05 | 1.60390e-01 | 3.71066e-03
 12 | 9.29876e-04 | 1.40193e-04   1.43801e-03   1.34612e-03 | 4.83043e-05 | 3.83738e-04 | 3.36057e-05 | 1.10485e-01 | 2.28117e-03
 13 | 9.05280e-04 | 8.53864e-04   6.18831e-04   2.02912e-03 | 5.56430e-04 | 3.88006e-04 | 2.70305e-05 | 1.11689e-01 | 1.94836e-02
 14 | 5.21410e-04 | 1.13647e-04   1.46663e-03   2.34043e-03 | 7.60150e-04 | 4.06773e-04 | 1.98560e-05 | 1.50139e-01 | 1.18918e-02
