 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01265 |   -0.09380     -0.09705     -0.11698 |    0.94809      0.95126      0.97305 |           2.87240 | -39807.58916 | -39780.69198      0.00000      0.00000      6.72283
  1 |    0.01265 |   -0.09370     -0.09631     -0.11131 |    0.95768      0.96077      0.98165 |           2.90009 | -39774.95835 | -39780.69198      1.56106      7.76160      6.72283
  2 |   -0.01774 |   -0.09133     -0.09300     -0.10235 |    0.95486      0.95766      0.97009 |           2.88261 | -39775.40837 | -39780.69198      1.56938      7.65176      6.72283
  3 |   -0.05399 |   -0.09005     -0.09177     -0.10138 |    0.95014      0.95385      0.96560 |           2.86958 | -39775.73379 | -39780.69198      1.55142      7.57434      6.72283
  4 |   -0.07930 |   -0.08938     -0.09122     -0.10083 |    0.94695      0.95153      0.96299 |           2.86147 | -39775.95924 | -39780.69198      1.53670      7.52626      6.72283
  5 |   -0.09744 |   -0.08885     -0.09057     -0.10031 |    0.94413      0.94607      0.96075 |           2.85095 | -39776.13275 | -39780.69198      1.53110      7.47403      6.72283
  6 |   -0.10939 |   -0.08853     -0.09027     -0.10024 |    0.94338      0.94502      0.95986 |           2.84826 | -39776.23945 | -39780.69198      1.52489      7.45738      6.72283
  7 |   -0.11776 |   -0.08815     -0.08982     -0.10000 |    0.94169      0.94396      0.95524 |           2.84089 | -39776.31472 | -39780.69198      1.51994      7.43647      6.72283
  8 |   -0.12325 |   -0.08809     -0.08982     -0.09985 |    0.94116      0.94286      0.95801 |           2.84203 | -39776.36838 | -39780.69198      1.51839      7.42188      6.72283
  9 |   -0.12717 |   -0.08793     -0.08970     -0.09986 |    0.94064      0.94266      0.95839 |           2.84168 | -39776.40445 | -39780.69198      1.51464      7.41930      6.72283
 10 |   -0.12978 |   -0.08791     -0.08956     -0.09970 |    0.94081      0.94314      0.95628 |           2.84022 | -39776.44858 | -39780.69198      1.51308      7.41039      6.72283
 11 |   -0.13192 |   -0.08782     -0.08964     -0.09972 |    0.93893      0.94179      0.95640 |           2.83712 | -39776.44487 | -39780.69198      1.51477      7.41618      6.72283
 12 |   -0.13285 |   -0.08779     -0.08960     -0.09956 |    0.94099      0.94161      0.95517 |           2.83776 | -39776.44259 | -39780.69198      1.51509      7.40904      6.72283
 13 |   -0.13376 |   -0.08764     -0.08949     -0.09948 |    0.93956      0.94125      0.95532 |           2.83613 | -39776.46207 | -39780.69198      1.51320      7.39990      6.72283
 14 |   -0.13428 |   -0.08768     -0.08948     -0.09952 |    0.93804      0.94210      0.95512 |           2.83526 | -39776.47396 | -39780.69198      1.51291      7.39528      6.72283
