 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01213 |   -0.09337     -0.09911     -0.11720 |    0.94708      0.95328      0.97340 |           2.87377 | -39807.61025 | -39780.67244      0.00000      0.00000      6.73095
  1 |    0.01213 |   -0.09371     -0.09822     -0.11115 |    0.95915      0.96286      0.98169 |           2.90370 | -39774.94807 | -39780.67244      1.56013      7.76769      6.73095
  2 |   -0.01882 |   -0.09220     -0.09461     -0.10269 |    0.95731      0.96011      0.96906 |           2.88648 | -39775.38423 | -39780.67244      1.57328      7.66706      6.73095
  3 |   -0.05552 |   -0.09083     -0.09322     -0.10162 |    0.95123      0.95477      0.96578 |           2.87178 | -39775.73066 | -39780.67244      1.55971      7.58046      6.73095
  4 |   -0.08110 |   -0.09006     -0.09259     -0.10100 |    0.94754      0.95106      0.96243 |           2.86103 | -39775.95820 | -39780.67244      1.54644      7.51620      6.73095
  5 |   -0.09834 |   -0.08942     -0.09199     -0.10058 |    0.94545      0.94916      0.95896 |           2.85357 | -39776.11828 | -39780.67244      1.53418      7.48295      6.73095
  6 |   -0.11116 |   -0.08900     -0.09174     -0.10056 |    0.94295      0.94705      0.95779 |           2.84779 | -39776.25866 | -39780.67244      1.53318      7.44658      6.73095
  7 |   -0.11954 |   -0.08877     -0.09137     -0.10020 |    0.94145      0.94712      0.95799 |           2.84656 | -39776.32537 | -39780.67244      1.52781      7.43579      6.73095
  8 |   -0.12542 |   -0.08860     -0.09135     -0.10003 |    0.94099      0.94532      0.95775 |           2.84406 | -39776.36582 | -39780.67244      1.52546      7.41898      6.73095
  9 |   -0.12946 |   -0.08853     -0.09126     -0.09992 |    0.94269      0.94402      0.95597 |           2.84268 | -39776.39616 | -39780.67244      1.51988      7.42806      6.73095
 10 |   -0.13237 |   -0.08837     -0.09114     -0.09991 |    0.93971      0.94433      0.95485 |           2.83888 | -39776.43160 | -39780.67244      1.52025      7.41015      6.73095
 11 |   -0.13419 |   -0.08841     -0.09097     -0.09990 |    0.93964      0.94344      0.95448 |           2.83757 | -39776.43900 | -39780.67244      1.51608      7.41311      6.73095
 12 |   -0.13548 |   -0.08809     -0.09104     -0.09991 |    0.93869      0.94648      0.95410 |           2.83928 | -39776.47765 | -39780.67244      1.51635      7.39650      6.73095
 13 |   -0.13617 |   -0.08815     -0.09087     -0.10001 |    0.93971      0.94324      0.95444 |           2.83739 | -39776.46662 | -39780.67244      1.51717      7.40324      6.73095
 14 |   -0.13684 |   -0.08812     -0.09091     -0.09981 |    0.93996      0.94348      0.95386 |           2.83729 | -39776.47179 | -39780.67244      1.51953      7.40248      6.73095
 15 |   -0.13737 |   -0.08805     -0.09107     -0.09972 |    0.93913      0.94461      0.95428 |           2.83802 | -39776.49149 | -39780.67244      1.51960      7.40285      6.73095
