 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.20707e-02   9.57936e-03   8.28663e-03 | 2.99367e-02 | 4.09736e-02 | 2.13373e-01 | 7.69503e-01 | 3.26622e+01
  2 | 3.09525e-02 | 1.83937e-03   2.74681e-03   1.26314e-02 | 1.72176e-02 | 1.18244e-02 | 1.33118e-03 | 1.08647e-01 | 4.36159e-01
  3 | 3.67030e-02 | 6.08541e-03   5.34320e-03   3.27639e-03 | 1.47050e-02 | 8.32173e-03 | 1.08038e-03 | 7.14470e-02 | 3.46432e-01
  4 | 2.55813e-02 | 3.68761e-03   3.71235e-03   3.34890e-03 | 1.07489e-02 | 5.69815e-03 | 7.70697e-04 | 7.72675e-02 | 2.27546e-01
  5 | 1.72400e-02 | 2.09372e-03   1.89687e-03   3.47084e-03 | 7.46144e-03 | 3.86303e-03 | 5.26284e-04 | 7.77925e-02 | 1.60076e-01
  6 | 1.28165e-02 | 2.50119e-03   2.10707e-03   1.17073e-03 | 5.77899e-03 | 2.82018e-03 | 3.86040e-04 | 9.70279e-02 | 1.40379e-01
  7 | 8.38374e-03 | 1.49395e-03   6.26542e-05   1.99819e-04 | 1.23148e-03 | 1.89747e-03 | 2.60025e-04 | 8.56590e-02 | 6.67140e-02
  8 | 5.87732e-03 | 4.62063e-04   1.79699e-03   2.43265e-04 | 2.50231e-03 | 1.37875e-03 | 1.81031e-04 | 1.27053e-01 | 4.04509e-02
  9 | 4.03426e-03 | 1.69756e-03   1.29542e-03   1.78182e-03 | 1.37968e-03 | 9.72661e-04 | 1.25019e-04 | 1.77600e-01 | 3.03315e-02
 10 | 2.91900e-03 | 2.97851e-03   3.03025e-04   1.11863e-03 | 3.79411e-03 | 7.32840e-04 | 8.75011e-05 | 7.15865e-02 | 3.54421e-02
 11 | 1.81836e-03 | 6.44523e-05   8.81873e-04   3.64867e-04 | 1.31119e-03 | 5.48124e-04 | 5.68201e-05 | 9.25117e-02 | 7.40600e-03
 12 | 1.28922e-03 | 9.52530e-04   3.03521e-03   3.78166e-04 | 1.70452e-03 | 4.79065e-04 | 4.01339e-05 | 1.59404e-01 | 3.86503e-02
 13 | 6.88105e-04 | 1.01452e-03   3.23453e-03   3.38157e-04 | 1.88185e-03 | 4.67206e-04 | 2.47415e-05 | 1.79507e-01 | 1.10329e-02
 14 | 6.74415e-04 | 2.50343e-04   2.34584e-04   5.86495e-04 | 1.01568e-04 | 3.38122e-04 | 1.94194e-05 | 1.10403e-01 | 5.16821e-03
 15 | 5.21418e-04 | 8.26906e-04   1.12625e-03   4.28519e-04 | 7.27865e-04 | 3.52945e-04 | 1.87886e-05 | 8.39388e-02 | 1.97030e-02
