 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01213 |   -0.09350     -0.09915     -0.11708 |    0.94645      0.95294      0.97329 |           2.87269 | -39807.61025 | -39780.67244      0.00000      0.00000      6.72455
  1 |    0.01213 |   -0.09404     -0.09820     -0.11119 |    0.95881      0.96340      0.97945 |           2.90166 | -39774.94807 | -39780.67244      1.56013      7.76592      6.72455
  2 |   -0.01882 |   -0.09216     -0.09461     -0.10280 |    0.95499      0.95945      0.96923 |           2.88368 | -39775.38423 | -39780.67244      1.57328      7.64760      6.72455
  3 |   -0.05552 |   -0.09093     -0.09338     -0.10144 |    0.95170      0.95506      0.96467 |           2.87144 | -39775.73066 | -39780.67244      1.55971      7.56880      6.72455
  4 |   -0.08110 |   -0.09013     -0.09266     -0.10105 |    0.94643      0.95041      0.95984 |           2.85668 | -39775.95820 | -39780.67244      1.54644      7.51299      6.72455
  5 |   -0.09834 |   -0.08938     -0.09196     -0.10054 |    0.94426      0.94916      0.96009 |           2.85351 | -39776.11828 | -39780.67244      1.53418      7.47532      6.72455
  6 |   -0.11116 |   -0.08901     -0.09181     -0.10055 |    0.94220      0.94628      0.95786 |           2.84634 | -39776.25866 | -39780.67244      1.53318      7.44558      6.72455
  7 |   -0.11954 |   -0.08876     -0.09154     -0.10016 |    0.94110      0.94549      0.95644 |           2.84303 | -39776.32537 | -39780.67244      1.52781      7.42259      6.72455
  8 |   -0.12542 |   -0.08847     -0.09144     -0.10004 |    0.93973      0.94494      0.95642 |           2.84109 | -39776.36582 | -39780.67244      1.52546      7.42026      6.72455
  9 |   -0.12946 |   -0.08845     -0.09135     -0.09998 |    0.93947      0.94422      0.95514 |           2.83884 | -39776.39616 | -39780.67244      1.51988      7.40968      6.72455
 10 |   -0.13237 |   -0.08843     -0.09118     -0.10004 |    0.93902      0.94441      0.95596 |           2.83939 | -39776.43160 | -39780.67244      1.52025      7.40722      6.72455
 11 |   -0.13419 |   -0.08830     -0.09111     -0.09984 |    0.93940      0.94429      0.95444 |           2.83813 | -39776.43900 | -39780.67244      1.51608      7.41085      6.72455
 12 |   -0.13548 |   -0.08828     -0.09099     -0.09986 |    0.93752      0.94433      0.95423 |           2.83608 | -39776.47765 | -39780.67244      1.51635      7.40079      6.72455
 13 |   -0.13617 |   -0.08812     -0.09106     -0.09991 |    0.93767      0.94557      0.95568 |           2.83892 | -39776.46662 | -39780.67244      1.51717      7.39012      6.72455
 14 |   -0.13684 |   -0.08817     -0.09096     -0.09974 |    0.93993      0.94441      0.95425 |           2.83858 | -39776.47179 | -39780.67244      1.51953      7.39500      6.72455
 15 |   -0.13737 |   -0.08827     -0.09093     -0.09972 |    0.93934      0.94394      0.95493 |           2.83821 | -39776.49149 | -39780.67244      1.51960      7.39207      6.72455
