 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.23563e-02   1.04596e-02   6.16145e-03 | 2.89773e-02 | 4.08205e-02 | 2.13435e-01 | 7.42705e-01 | 3.26622e+01
  2 | 3.09525e-02 | 3.81883e-03   3.94898e-03   1.02206e-02 | 1.79884e-02 | 1.17363e-02 | 1.32647e-03 | 1.10589e-01 | 4.36159e-01
  3 | 3.67030e-02 | 3.29176e-03   4.38867e-03   4.55746e-03 | 1.22379e-02 | 8.43042e-03 | 1.08428e-03 | 1.20770e-01 | 3.46432e-01
  4 | 2.55813e-02 | 5.26502e-03   4.65288e-03   4.83738e-03 | 1.47553e-02 | 5.70559e-03 | 7.71226e-04 | 1.35707e-01 | 2.27546e-01
  5 | 1.72400e-02 | 2.17445e-03   1.25262e-03   2.51183e-04 | 3.17589e-03 | 3.87897e-03 | 5.27079e-04 | 1.35767e-01 | 1.60076e-01
  6 | 1.28165e-02 | 2.05644e-03   2.88061e-03   2.22977e-03 | 7.16682e-03 | 2.80638e-03 | 3.86454e-04 | 1.18443e-01 | 1.40379e-01
  7 | 8.38374e-03 | 1.10209e-03   7.89593e-04   1.42256e-03 | 3.31424e-03 | 1.91989e-03 | 2.60489e-04 | 1.21959e-01 | 6.67140e-02
  8 | 5.87732e-03 | 1.37185e-03   5.51543e-04   1.07934e-05 | 1.93419e-03 | 1.35556e-03 | 1.79092e-04 | 7.46977e-02 | 4.04509e-02
  9 | 4.03426e-03 | 2.59137e-04   7.15430e-04   1.27979e-03 | 2.25436e-03 | 9.84218e-04 | 1.24372e-04 | 7.91743e-02 | 3.03315e-02
 10 | 2.91900e-03 | 4.52501e-04   1.93662e-04   8.16293e-04 | 5.57454e-04 | 7.23174e-04 | 8.74947e-05 | 1.00732e-01 | 3.54421e-02
 11 | 1.81836e-03 | 3.82663e-04   1.24601e-04   1.52318e-03 | 1.26512e-03 | 5.72371e-04 | 5.87469e-05 | 1.26448e-01 | 7.40600e-03
 12 | 1.28922e-03 | 1.87896e-03   3.56376e-05   2.09235e-04 | 2.05256e-03 | 4.69144e-04 | 4.05627e-05 | 1.28433e-01 | 3.86503e-02
 13 | 6.88105e-04 | 1.48900e-04   1.24225e-03   1.44893e-03 | 2.84008e-03 | 4.46290e-04 | 2.31650e-05 | 8.80222e-02 | 1.10329e-02
 14 | 6.74415e-04 | 2.25549e-03   1.16204e-03   1.42569e-03 | 3.32242e-04 | 4.17292e-04 | 2.06422e-05 | 1.15896e-01 | 5.16821e-03
 15 | 5.21418e-04 | 5.81188e-04   4.68360e-04   6.79978e-04 | 3.69570e-04 | 4.21566e-04 | 1.94856e-05 | 9.72896e-02 | 1.97030e-02
