 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01213 |   -0.09371     -0.09910     -0.11671 |    0.94704      0.95399      0.97416 |           2.87519 | -39807.61025 | -39780.67244      0.00000      0.00000      6.73939
  1 |    0.01213 |   -0.09395     -0.09820     -0.11088 |    0.95869      0.96335      0.98288 |           2.90492 | -39774.94807 | -39780.67244      1.56013      7.78372      6.73939
  2 |   -0.01882 |   -0.09215     -0.09439     -0.10267 |    0.95585      0.96173      0.97176 |           2.88935 | -39775.38423 | -39780.67244      1.57328      7.66625      6.73939
  3 |   -0.05552 |   -0.09093     -0.09323     -0.10139 |    0.95010      0.95556      0.96544 |           2.87110 | -39775.73066 | -39780.67244      1.55971      7.57877      6.73939
  4 |   -0.08110 |   -0.09023     -0.09256     -0.10084 |    0.94761      0.95205      0.96247 |           2.86213 | -39775.95820 | -39780.67244      1.54644      7.53288      6.73939
  5 |   -0.09834 |   -0.08957     -0.09206     -0.10050 |    0.94423      0.95116      0.96128 |           2.85667 | -39776.11828 | -39780.67244      1.53418      7.49852      6.73939
  6 |   -0.11116 |   -0.08931     -0.09171     -0.10035 |    0.94259      0.94926      0.95899 |           2.85084 | -39776.25866 | -39780.67244      1.53318      7.46208      6.73939
  7 |   -0.11954 |   -0.08901     -0.09129     -0.09994 |    0.94210      0.94628      0.95807 |           2.84645 | -39776.32537 | -39780.67244      1.52781      7.45001      6.73939
  8 |   -0.12542 |   -0.08865     -0.09117     -0.09980 |    0.93982      0.94503      0.95673 |           2.84158 | -39776.36582 | -39780.67244      1.52546      7.43935      6.73939
  9 |   -0.12946 |   -0.08869     -0.09112     -0.09971 |    0.93987      0.94658      0.95531 |           2.84176 | -39776.39616 | -39780.67244      1.51988      7.42470      6.73939
 10 |   -0.13237 |   -0.08847     -0.09102     -0.09965 |    0.94066      0.94627      0.95479 |           2.84172 | -39776.43160 | -39780.67244      1.52025      7.42171      6.73939
 11 |   -0.13419 |   -0.08842     -0.09108     -0.09964 |    0.94056      0.94547      0.95698 |           2.84301 | -39776.43900 | -39780.67244      1.51608      7.41431      6.73939
 12 |   -0.13548 |   -0.08835     -0.09102     -0.09938 |    0.93860      0.94496      0.95669 |           2.84025 | -39776.47765 | -39780.67244      1.51635      7.41390      6.73939
 13 |   -0.13617 |   -0.08836     -0.09105     -0.09963 |    0.93863      0.94608      0.95548 |           2.84020 | -39776.46662 | -39780.67244      1.51717      7.41283      6.73939
 14 |   -0.13684 |   -0.08831     -0.09097     -0.09945 |    0.94043      0.94344      0.95606 |           2.83993 | -39776.47179 | -39780.67244      1.51953      7.40308      6.73939
 15 |   -0.13737 |   -0.08837     -0.09088     -0.09964 |    0.94037      0.94525      0.95603 |           2.84164 | -39776.49149 | -39780.67244      1.51960      7.39835      6.73939
