 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01213 |   -0.09363     -0.09887     -0.11693 |    0.94719      0.95418      0.97442 |           2.87578 | -39807.61025 | -39780.67244      0.00000      0.00000      6.74292
  1 |    0.01213 |   -0.09403     -0.09802     -0.11095 |    0.95859      0.96400      0.98413 |           2.90672 | -39774.94807 | -39780.67244      1.56013      7.78472      6.74292
  2 |   -0.01882 |   -0.09214     -0.09442     -0.10273 |    0.95634      0.96187      0.97186 |           2.89008 | -39775.38423 | -39780.67244      1.57328      7.67184      6.74292
  3 |   -0.05552 |   -0.09107     -0.09328     -0.10151 |    0.95043      0.95608      0.96604 |           2.87256 | -39775.73066 | -39780.67244      1.55971      7.59185      6.74292
  4 |   -0.08110 |   -0.09006     -0.09242     -0.10074 |    0.94739      0.95245      0.96188 |           2.86172 | -39775.95820 | -39780.67244      1.54644      7.54354      6.74292
  5 |   -0.09834 |   -0.08950     -0.09193     -0.10040 |    0.94547      0.95145      0.96093 |           2.85784 | -39776.11828 | -39780.67244      1.53418      7.50100      6.74292
  6 |   -0.11116 |   -0.08922     -0.09151     -0.10018 |    0.94246      0.94840      0.96013 |           2.85099 | -39776.25866 | -39780.67244      1.53318      7.46417      6.74292
  7 |   -0.11954 |   -0.08882     -0.09134     -0.10006 |    0.94111      0.94720      0.95908 |           2.84738 | -39776.32537 | -39780.67244      1.52781      7.44868      6.74292
  8 |   -0.12542 |   -0.08854     -0.09126     -0.09993 |    0.94170      0.94780      0.95742 |           2.84691 | -39776.36582 | -39780.67244      1.52546      7.44038      6.74292
  9 |   -0.12946 |   -0.08834     -0.09114     -0.09984 |    0.94022      0.94836      0.95682 |           2.84541 | -39776.39616 | -39780.67244      1.51988      7.43177      6.74292
 10 |   -0.13237 |   -0.08840     -0.09100     -0.09990 |    0.94040      0.94548      0.95723 |           2.84311 | -39776.43160 | -39780.67244      1.52025      7.41933      6.74292
 11 |   -0.13419 |   -0.08831     -0.09084     -0.09978 |    0.93887      0.94631      0.95561 |           2.84079 | -39776.43900 | -39780.67244      1.51608      7.41690      6.74292
 12 |   -0.13548 |   -0.08836     -0.09099     -0.09971 |    0.93815      0.94592      0.95693 |           2.84100 | -39776.47765 | -39780.67244      1.51635      7.40507      6.74292
 13 |   -0.13617 |   -0.08829     -0.09081     -0.09967 |    0.93950      0.94494      0.95581 |           2.84025 | -39776.46662 | -39780.67244      1.51717      7.42028      6.74292
 14 |   -0.13684 |   -0.08843     -0.09085     -0.09963 |    0.93928      0.94575      0.95540 |           2.84043 | -39776.47179 | -39780.67244      1.51953      7.41837      6.74292
 15 |   -0.13737 |   -0.08830     -0.09086     -0.09966 |    0.93827      0.94472      0.95482 |           2.83781 | -39776.49149 | -39780.67244      1.51960      7.40589      6.74292
