 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01241 |   -0.09434     -0.09477     -0.11627 |    0.94992      0.94992      0.97335 |           2.87320 | -39807.61329 | -39780.70016      0.00000      0.00000      6.72758
  1 |    0.01241 |   -0.09394     -0.09442     -0.11080 |    0.95994      0.95910      0.98078 |           2.89982 | -39774.93927 | -39780.70016      1.54979      7.77784      6.72758
  2 |   -0.01820 |   -0.09096     -0.09120     -0.10185 |    0.95686      0.95612      0.97148 |           2.88447 | -39775.40527 | -39780.70016      1.55866      7.65829      6.72758
  3 |   -0.05416 |   -0.08982     -0.08996     -0.10076 |    0.95121      0.95157      0.96778 |           2.87055 | -39775.74796 | -39780.70016      1.53943      7.57700      6.72758
  4 |   -0.07909 |   -0.08922     -0.08944     -0.10025 |    0.94733      0.94934      0.96316 |           2.85983 | -39775.94429 | -39780.70016      1.53238      7.52504      6.72758
  5 |   -0.09581 |   -0.08877     -0.08895     -0.09977 |    0.94566      0.94613      0.96191 |           2.85370 | -39776.10204 | -39780.70016      1.51940      7.49772      6.72758
  6 |   -0.10788 |   -0.08852     -0.08859     -0.09960 |    0.94321      0.94492      0.95976 |           2.84790 | -39776.20948 | -39780.70016      1.51678      7.45912      6.72758
  7 |   -0.11581 |   -0.08805     -0.08843     -0.09928 |    0.94173      0.94313      0.96110 |           2.84597 | -39776.26906 | -39780.70016      1.50877      7.44989      6.72758
  8 |   -0.12162 |   -0.08802     -0.08814     -0.09924 |    0.94241      0.94331      0.96008 |           2.84579 | -39776.33689 | -39780.70016      1.50399      7.44532      6.72758
  9 |   -0.12598 |   -0.08790     -0.08823     -0.09914 |    0.94286      0.94239      0.95684 |           2.84209 | -39776.38070 | -39780.70016      1.50434      7.42513      6.72758
 10 |   -0.12867 |   -0.08777     -0.08800     -0.09918 |    0.94003      0.94147      0.95711 |           2.83862 | -39776.37888 | -39780.70016      1.50865      7.43564      6.72758
 11 |   -0.12965 |   -0.08767     -0.08805     -0.09887 |    0.94266      0.94153      0.95708 |           2.84127 | -39776.41762 | -39780.70016      1.50600      7.41769      6.72758
 12 |   -0.13101 |   -0.08773     -0.08799     -0.09896 |    0.94014      0.94056      0.95820 |           2.83891 | -39776.41988 | -39780.70016      1.50901      7.41754      6.72758
 13 |   -0.13128 |   -0.08769     -0.08788     -0.09892 |    0.94126      0.94128      0.95680 |           2.83934 | -39776.43709 | -39780.70016      1.50815      7.41219      6.72758
 14 |   -0.13176 |   -0.08762     -0.08797     -0.09894 |    0.94001      0.94080      0.95664 |           2.83745 | -39776.41923 | -39780.70016      1.50710      7.42089      6.72758
 15 |   -0.13202 |   -0.08759     -0.08791     -0.09899 |    0.94198      0.94098      0.95733 |           2.84029 | -39776.44088 | -39780.70016      1.50327      7.42167      6.72758
