 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01241 |   -0.09475     -0.09435     -0.11627 |    0.95013      0.94945      0.97262 |           2.87221 | -39807.61329 | -39780.70016      0.00000      0.00000      6.72172
  1 |    0.01241 |   -0.09432     -0.09408     -0.11101 |    0.95874      0.95819      0.98065 |           2.89758 | -39774.93927 | -39780.70016      1.54979      7.77777      6.72172
  2 |   -0.01820 |   -0.09109     -0.09088     -0.10174 |    0.95742      0.95638      0.97177 |           2.88556 | -39775.40527 | -39780.70016      1.55866      7.65453      6.72172
  3 |   -0.05416 |   -0.09006     -0.08985     -0.10070 |    0.95101      0.94942      0.96763 |           2.86806 | -39775.74796 | -39780.70016      1.53943      7.56955      6.72172
  4 |   -0.07909 |   -0.08932     -0.08921     -0.10032 |    0.94713      0.94782      0.96287 |           2.85782 | -39775.94429 | -39780.70016      1.53238      7.53182      6.72172
  5 |   -0.09581 |   -0.08891     -0.08861     -0.09988 |    0.94722      0.94604      0.96065 |           2.85391 | -39776.10204 | -39780.70016      1.51940      7.49283      6.72172
  6 |   -0.10788 |   -0.08873     -0.08842     -0.09952 |    0.94347      0.94417      0.95978 |           2.84742 | -39776.20948 | -39780.70016      1.51678      7.46448      6.72172
  7 |   -0.11581 |   -0.08821     -0.08813     -0.09924 |    0.94205      0.94401      0.95806 |           2.84413 | -39776.26906 | -39780.70016      1.50877      7.45947      6.72172
  8 |   -0.12162 |   -0.08816     -0.08803     -0.09924 |    0.94267      0.94170      0.95974 |           2.84412 | -39776.33689 | -39780.70016      1.50399      7.43288      6.72172
  9 |   -0.12598 |   -0.08806     -0.08782     -0.09915 |    0.94123      0.94148      0.95704 |           2.83975 | -39776.38070 | -39780.70016      1.50434      7.42593      6.72172
 10 |   -0.12867 |   -0.08809     -0.08781     -0.09900 |    0.94184      0.93944      0.95772 |           2.83900 | -39776.37888 | -39780.70016      1.50865      7.42761      6.72172
 11 |   -0.12965 |   -0.08800     -0.08771     -0.09907 |    0.94108      0.94078      0.95674 |           2.83860 | -39776.41762 | -39780.70016      1.50600      7.41907      6.72172
 12 |   -0.13101 |   -0.08803     -0.08770     -0.09890 |    0.94056      0.93989      0.95621 |           2.83666 | -39776.41988 | -39780.70016      1.50901      7.41569      6.72172
 13 |   -0.13128 |   -0.08794     -0.08764     -0.09889 |    0.94145      0.93907      0.95611 |           2.83663 | -39776.43709 | -39780.70016      1.50815      7.40564      6.72172
 14 |   -0.13176 |   -0.08793     -0.08779     -0.09915 |    0.94072      0.94083      0.95575 |           2.83730 | -39776.41923 | -39780.70016      1.50710      7.41714      6.72172
 15 |   -0.13202 |   -0.08792     -0.08769     -0.09907 |    0.94122      0.94240      0.95634 |           2.83995 | -39776.44088 | -39780.70016      1.50327      7.40015      6.72172
