 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 8.61026e-03   8.73612e-03   8.02313e-03 | 2.53695e-02 | 3.82605e-02 | 2.13387e-01 | 7.64630e-01 | 3.26740e+01
  2 | 3.06103e-02 | 1.32379e-03   1.81012e-03   8.88259e-03 | 1.20165e-02 | 1.09648e-02 | 1.31800e-03 | 1.87796e-01 | 4.66002e-01
  3 | 3.59591e-02 | 6.40706e-03   6.95678e-03   4.13974e-03 | 1.75036e-02 | 7.75115e-03 | 1.05787e-03 | 1.87286e-01 | 3.42695e-01
  4 | 2.49324e-02 | 3.88458e-03   1.59982e-03   4.75357e-03 | 1.02380e-02 | 5.32589e-03 | 7.52243e-04 | 6.01677e-02 | 1.96329e-01
  5 | 1.67195e-02 | 9.05406e-05   1.77712e-03   2.22302e-03 | 3.90959e-03 | 3.59418e-03 | 5.10251e-04 | 1.15317e-01 | 1.57746e-01
  6 | 1.20680e-02 | 3.74605e-03   1.86862e-03   8.72624e-04 | 6.48729e-03 | 2.56966e-03 | 3.67564e-04 | 9.15169e-02 | 1.07446e-01
  7 | 7.93882e-03 | 1.41971e-03   1.67519e-04   1.71134e-03 | 3.29857e-03 | 1.60458e-03 | 2.42678e-04 | 1.10835e-01 | 5.95769e-02
  8 | 5.80320e-03 | 6.15879e-04   2.30368e-03   1.67857e-03 | 9.22506e-06 | 1.31179e-03 | 1.79444e-04 | 1.38756e-01 | 6.78330e-02
  9 | 4.36585e-03 | 1.43926e-03   2.26169e-04   2.70513e-03 | 4.37056e-03 | 9.92739e-04 | 1.32445e-04 | 1.69998e-01 | 4.38112e-02
 10 | 2.68763e-03 | 6.07102e-04   2.03336e-03   6.85002e-04 | 7.41253e-04 | 7.04123e-04 | 8.53698e-05 | 1.55691e-01 | 1.82700e-03
 11 | 9.74477e-04 | 7.57914e-04   1.33537e-03   9.83129e-04 | 4.05676e-04 | 3.84511e-04 | 3.24847e-05 | 9.86533e-02 | 3.87446e-02
 12 | 1.36022e-03 | 5.21294e-04   8.85493e-04   5.32454e-04 | 1.93924e-03 | 4.50084e-04 | 4.47117e-05 | 9.68306e-02 | 2.25414e-03
 13 | 2.75655e-04 | 8.87294e-04   8.19359e-04   9.75520e-05 | 2.96167e-05 | 2.71902e-04 | 1.47142e-05 | 6.44408e-02 | 1.72175e-02
 14 | 4.78513e-04 | 7.24827e-04   1.76002e-03   3.64616e-04 | 6.70575e-04 | 3.58647e-04 | 1.68279e-05 | 8.23684e-02 | 1.78628e-02
 15 | 2.62462e-04 | 4.96502e-04   1.56131e-03   5.93654e-04 | 2.65146e-03 | 3.65582e-04 | 9.29245e-06 | 1.45763e-01 | 2.16473e-02
