 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01241 |   -0.09463     -0.09440     -0.11630 |    0.95085      0.95040      0.97265 |           2.87390 | -39807.61329 | -39780.70016      0.00000      0.00000      6.73175
  1 |    0.01241 |   -0.09423     -0.09398     -0.11110 |    0.96077      0.96143      0.98259 |           2.90479 | -39774.93927 | -39780.70016      1.54979      7.77662      6.73175
  2 |   -0.01820 |   -0.09113     -0.09091     -0.10172 |    0.95746      0.95761      0.97281 |           2.88788 | -39775.40527 | -39780.70016      1.55866      7.67572      6.73175
  3 |   -0.05416 |   -0.09002     -0.08990     -0.10069 |    0.95265      0.95242      0.96846 |           2.87353 | -39775.74796 | -39780.70016      1.53943      7.58532      6.73175
  4 |   -0.07909 |   -0.08929     -0.08928     -0.09999 |    0.94754      0.94875      0.96517 |           2.86145 | -39775.94429 | -39780.70016      1.53238      7.53633      6.73175
  5 |   -0.09581 |   -0.08880     -0.08866     -0.09961 |    0.94634      0.94623      0.96251 |           2.85508 | -39776.10204 | -39780.70016      1.51940      7.50003      6.73175
  6 |   -0.10788 |   -0.08854     -0.08844     -0.09952 |    0.94557      0.94497      0.96075 |           2.85129 | -39776.20948 | -39780.70016      1.51678      7.47793      6.73175
  7 |   -0.11581 |   -0.08827     -0.08819     -0.09927 |    0.94407      0.94442      0.96050 |           2.84898 | -39776.26906 | -39780.70016      1.50877      7.45796      6.73175
  8 |   -0.12162 |   -0.08814     -0.08793     -0.09929 |    0.94326      0.94309      0.95850 |           2.84485 | -39776.33689 | -39780.70016      1.50399      7.45051      6.73175
  9 |   -0.12598 |   -0.08813     -0.08789     -0.09932 |    0.94279      0.94240      0.95780 |           2.84299 | -39776.38070 | -39780.70016      1.50434      7.43904      6.73175
 10 |   -0.12867 |   -0.08791     -0.08797     -0.09911 |    0.94208      0.94196      0.95855 |           2.84259 | -39776.37888 | -39780.70016      1.50865      7.43057      6.73175
 11 |   -0.12965 |   -0.08785     -0.08774     -0.09896 |    0.94233      0.94167      0.95732 |           2.84131 | -39776.41762 | -39780.70016      1.50600      7.42553      6.73175
 12 |   -0.13101 |   -0.08773     -0.08768     -0.09908 |    0.94134      0.94044      0.95756 |           2.83934 | -39776.41988 | -39780.70016      1.50901      7.42822      6.73175
 13 |   -0.13128 |   -0.08782     -0.08775     -0.09884 |    0.94230      0.94131      0.95604 |           2.83965 | -39776.43709 | -39780.70016      1.50815      7.42777      6.73175
 14 |   -0.13176 |   -0.08775     -0.08759     -0.09888 |    0.94078      0.94213      0.95636 |           2.83927 | -39776.41923 | -39780.70016      1.50710      7.42634      6.73175
 15 |   -0.13202 |   -0.08787     -0.08768     -0.09900 |    0.94131      0.94193      0.95731 |           2.84056 | -39776.44088 | -39780.70016      1.50327      7.42399      6.73175
