 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 9.91712e-03   1.10346e-02   9.94097e-03 | 3.08927e-02 | 3.83416e-02 | 2.13291e-01 | 7.47173e-01 | 3.26740e+01
  2 | 3.06103e-02 | 3.30443e-03   3.82149e-03   9.78624e-03 | 1.69122e-02 | 1.08785e-02 | 1.31265e-03 | 1.10667e-01 | 4.66002e-01
  3 | 3.59591e-02 | 4.81375e-03   5.19223e-03   4.34451e-03 | 1.43505e-02 | 7.83226e-03 | 1.06016e-03 | 1.07684e-01 | 3.42695e-01
  4 | 2.49324e-02 | 5.11216e-03   3.66914e-03   3.29420e-03 | 1.20755e-02 | 5.31550e-03 | 7.49581e-04 | 8.85040e-02 | 1.96329e-01
  5 | 1.67195e-02 | 1.19618e-03   2.51555e-03   2.66313e-03 | 6.37487e-03 | 3.55567e-03 | 5.10922e-04 | 8.02706e-02 | 1.57746e-01
  6 | 1.20680e-02 | 7.76931e-04   1.26440e-03   1.75258e-03 | 3.79391e-03 | 2.54991e-03 | 3.65269e-04 | 7.53931e-02 | 1.07446e-01
  7 | 7.93882e-03 | 1.49717e-03   5.51173e-04   2.55388e-04 | 2.30373e-03 | 1.70492e-03 | 2.44418e-04 | 1.04311e-01 | 5.95769e-02
  8 | 5.80320e-03 | 8.06174e-04   1.32986e-03   1.99382e-03 | 4.12986e-03 | 1.30377e-03 | 1.76567e-04 | 6.99016e-02 | 6.78330e-02
  9 | 4.36585e-03 | 4.67761e-04   6.87501e-04   7.03960e-04 | 1.85922e-03 | 9.67432e-04 | 1.32964e-04 | 1.12473e-01 | 4.38112e-02
 10 | 2.68763e-03 | 7.14018e-04   4.41784e-04   7.54095e-04 | 4.01707e-04 | 5.82757e-04 | 8.46485e-05 | 1.22157e-01 | 1.82700e-03
 11 | 9.74477e-04 | 2.47436e-04   2.90623e-04   1.23566e-03 | 1.27885e-03 | 4.99869e-04 | 3.55209e-05 | 1.05776e-01 | 3.87446e-02
 12 | 1.36022e-03 | 9.85752e-04   1.22503e-03   2.40386e-04 | 1.97040e-03 | 5.81932e-04 | 4.01162e-05 | 9.79514e-02 | 2.25414e-03
 13 | 2.75655e-04 | 9.56366e-04   8.70547e-04   1.52020e-03 | 3.06709e-04 | 4.52595e-04 | 1.67022e-05 | 8.44950e-02 | 1.72175e-02
 14 | 4.78513e-04 | 1.51939e-03   8.18241e-04   3.17832e-04 | 3.83321e-04 | 4.11941e-04 | 1.47177e-05 | 1.61256e-01 | 1.78628e-02
 15 | 2.62462e-04 | 5.35308e-04   1.95543e-04   9.51633e-04 | 1.29140e-03 | 3.64653e-04 | 8.81387e-06 | 5.54861e-02 | 2.16473e-02
