 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01256 |   -0.09407     -0.09564     -0.11656 |    0.94955      0.95094      0.97346 |           2.87396 | -39807.63696 | -39780.69889      0.00000      0.00000      6.73209
  1 |    0.01256 |   -0.09396     -0.09503     -0.11117 |    0.96068      0.96198      0.98252 |           2.90517 | -39774.96199 | -39780.69889      1.54831      7.77614      6.73209
  2 |   -0.01846 |   -0.09112     -0.09164     -0.10195 |    0.95700      0.95731      0.97058 |           2.88488 | -39775.39352 | -39780.69889      1.56357      7.66543      6.73209
  3 |   -0.05399 |   -0.08998     -0.09078     -0.10067 |    0.95208      0.95299      0.96666 |           2.87173 | -39775.71615 | -39780.69889      1.54954      7.60038      6.73209
  4 |   -0.07885 |   -0.08924     -0.09011     -0.10026 |    0.94723      0.94854      0.96342 |           2.85919 | -39775.95485 | -39780.69889      1.53718      7.52681      6.73209
  5 |   -0.09579 |   -0.08871     -0.08947     -0.10011 |    0.94603      0.94666      0.96145 |           2.85414 | -39776.12006 | -39780.69889      1.52249      7.49682      6.73209
  6 |   -0.10785 |   -0.08838     -0.08928     -0.09983 |    0.94363      0.94547      0.95949 |           2.84858 | -39776.23344 | -39780.69889      1.51785      7.46759      6.73209
  7 |   -0.11605 |   -0.08810     -0.08891     -0.09962 |    0.94307      0.94495      0.95810 |           2.84612 | -39776.29226 | -39780.69889      1.51662      7.45741      6.73209
  8 |   -0.12185 |   -0.08791     -0.08888     -0.09941 |    0.94044      0.94324      0.95785 |           2.84153 | -39776.35174 | -39780.69889      1.51484      7.43514      6.73209
  9 |   -0.12521 |   -0.08775     -0.08856     -0.09928 |    0.94266      0.94166      0.95823 |           2.84255 | -39776.37487 | -39780.69889      1.51415      7.43448      6.73209
 10 |   -0.12792 |   -0.08776     -0.08852     -0.09935 |    0.94128      0.94255      0.95664 |           2.84047 | -39776.39625 | -39780.69889      1.51187      7.42991      6.73209
 11 |   -0.12978 |   -0.08759     -0.08861     -0.09917 |    0.94018      0.94144      0.95840 |           2.84002 | -39776.42592 | -39780.69889      1.51085      7.42653      6.73209
 12 |   -0.13139 |   -0.08772     -0.08849     -0.09914 |    0.94137      0.94214      0.95698 |           2.84049 | -39776.44950 | -39780.69889      1.50480      7.42505      6.73209
 13 |   -0.13286 |   -0.08770     -0.08857     -0.09926 |    0.94009      0.94142      0.95602 |           2.83752 | -39776.46664 | -39780.69889      1.50754      7.41767      6.73209
 14 |   -0.13286 |   -0.08766     -0.08858     -0.09917 |    0.94056      0.94135      0.95803 |           2.83993 | -39776.45016 | -39780.69889      1.50226      7.41984      6.73209
