 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01256 |   -0.09410     -0.09557     -0.11651 |    0.94986      0.95145      0.97365 |           2.87496 | -39807.63696 | -39780.69889      0.00000      0.00000      6.73804
  1 |    0.01256 |   -0.09394     -0.09516     -0.11118 |    0.95965      0.96055      0.98191 |           2.90212 | -39774.96199 | -39780.69889      1.54831      7.78583      6.73804
  2 |   -0.01846 |   -0.09119     -0.09175     -0.10199 |    0.95698      0.95776      0.97125 |           2.88600 | -39775.39352 | -39780.69889      1.56357      7.67978      6.73804
  3 |   -0.05399 |   -0.08982     -0.09067     -0.10091 |    0.95120      0.95449      0.96707 |           2.87276 | -39775.71615 | -39780.69889      1.54954      7.58977      6.73804
  4 |   -0.07885 |   -0.08934     -0.08982     -0.10041 |    0.94816      0.94942      0.96387 |           2.86145 | -39775.95485 | -39780.69889      1.53718      7.54135      6.73804
  5 |   -0.09579 |   -0.08875     -0.08936     -0.09982 |    0.94546      0.94644      0.96312 |           2.85503 | -39776.12006 | -39780.69889      1.52249      7.49954      6.73804
  6 |   -0.10785 |   -0.08841     -0.08912     -0.09949 |    0.94447      0.94485      0.96140 |           2.85072 | -39776.23344 | -39780.69889      1.51785      7.47731      6.73804
  7 |   -0.11605 |   -0.08819     -0.08900     -0.09940 |    0.94234      0.94427      0.95955 |           2.84616 | -39776.29226 | -39780.69889      1.51662      7.46120      6.73804
  8 |   -0.12185 |   -0.08810     -0.08855     -0.09939 |    0.94290      0.94183      0.95932 |           2.84405 | -39776.35174 | -39780.69889      1.51484      7.44786      6.73804
  9 |   -0.12521 |   -0.08802     -0.08856     -0.09911 |    0.94132      0.94618      0.95691 |           2.84441 | -39776.37487 | -39780.69889      1.51415      7.44561      6.73804
 10 |   -0.12792 |   -0.08789     -0.08864     -0.09897 |    0.94265      0.94137      0.95785 |           2.84187 | -39776.39625 | -39780.69889      1.51187      7.43224      6.73804
 11 |   -0.12978 |   -0.08770     -0.08849     -0.09937 |    0.94040      0.94470      0.95870 |           2.84380 | -39776.42592 | -39780.69889      1.51085      7.42445      6.73804
 12 |   -0.13139 |   -0.08782     -0.08850     -0.09931 |    0.94170      0.94335      0.95804 |           2.84309 | -39776.44950 | -39780.69889      1.50480      7.42344      6.73804
 13 |   -0.13286 |   -0.08783     -0.08846     -0.09924 |    0.94038      0.94331      0.95767 |           2.84135 | -39776.46664 | -39780.69889      1.50754      7.42207      6.73804
 14 |   -0.13286 |   -0.08762     -0.08838     -0.09915 |    0.93996      0.94190      0.95818 |           2.84004 | -39776.45016 | -39780.69889      1.50226      7.42311      6.73804
