 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01256 |   -0.09440     -0.09537     -0.11649 |    0.94975      0.95076      0.97338 |           2.87389 | -39807.63696 | -39780.69889      0.00000      0.00000      6.73167
  1 |    0.01256 |   -0.09403     -0.09476     -0.11112 |    0.95858      0.96018      0.98357 |           2.90233 | -39774.96199 | -39780.69889      1.54831      7.77489      6.73167
  2 |   -0.01846 |   -0.09127     -0.09172     -0.10196 |    0.95590      0.95966      0.97155 |           2.88712 | -39775.39352 | -39780.69889      1.56357      7.65633      6.73167
  3 |   -0.05399 |   -0.09003     -0.09057     -0.10077 |    0.94981      0.95216      0.96783 |           2.86980 | -39775.71615 | -39780.69889      1.54954      7.59415      6.73167
  4 |   -0.07885 |   -0.08943     -0.08973     -0.10031 |    0.94749      0.94864      0.96421 |           2.86035 | -39775.95485 | -39780.69889      1.53718      7.53553      6.73167
  5 |   -0.09579 |   -0.08891     -0.08943     -0.09994 |    0.94547      0.94699      0.96210 |           2.85455 | -39776.12006 | -39780.69889      1.52249      7.49761      6.73167
  6 |   -0.10785 |   -0.08857     -0.08900     -0.09980 |    0.94306      0.94544      0.96028 |           2.84878 | -39776.23344 | -39780.69889      1.51785      7.46622      6.73167
  7 |   -0.11605 |   -0.08832     -0.08880     -0.09956 |    0.94378      0.94496      0.95981 |           2.84854 | -39776.29226 | -39780.69889      1.51662      7.44951      6.73167
  8 |   -0.12185 |   -0.08820     -0.08875     -0.09944 |    0.94290      0.94255      0.95835 |           2.84380 | -39776.35174 | -39780.69889      1.51484      7.44466      6.73167
  9 |   -0.12521 |   -0.08802     -0.08863     -0.09935 |    0.94147      0.94332      0.95788 |           2.84267 | -39776.37487 | -39780.69889      1.51415      7.43109      6.73167
 10 |   -0.12792 |   -0.08807     -0.08869     -0.09935 |    0.94141      0.94281      0.95888 |           2.84310 | -39776.39625 | -39780.69889      1.51187      7.43633      6.73167
 11 |   -0.12978 |   -0.08800     -0.08840     -0.09925 |    0.94261      0.94225      0.95668 |           2.84154 | -39776.42592 | -39780.69889      1.51085      7.42694      6.73167
 12 |   -0.13139 |   -0.08794     -0.08840     -0.09921 |    0.94096      0.94254      0.95773 |           2.84122 | -39776.44950 | -39780.69889      1.50480      7.41157      6.73167
 13 |   -0.13286 |   -0.08799     -0.08837     -0.09933 |    0.94042      0.94229      0.95717 |           2.83988 | -39776.46664 | -39780.69889      1.50754      7.41466      6.73167
 14 |   -0.13286 |   -0.08776     -0.08829     -0.09911 |    0.94128      0.94277      0.95751 |           2.84156 | -39776.45016 | -39780.69889      1.50226      7.41903      6.73167
