 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01256 |   -0.09414     -0.09548     -0.11655 |    0.94986      0.95102      0.97379 |           2.87466 | -39807.63696 | -39780.69889      0.00000      0.00000      6.73627
  1 |    0.01256 |   -0.09395     -0.09490     -0.11105 |    0.96018      0.96082      0.98185 |           2.90285 | -39774.96199 | -39780.69889      1.54831      7.78979      6.73627
  2 |   -0.01846 |   -0.09111     -0.09183     -0.10208 |    0.95759      0.95620      0.97152 |           2.88531 | -39775.39352 | -39780.69889      1.56357      7.67833      6.73627
  3 |   -0.05399 |   -0.08984     -0.09067     -0.10085 |    0.95167      0.95394      0.96531 |           2.87092 | -39775.71615 | -39780.69889      1.54954      7.58697      6.73627
  4 |   -0.07885 |   -0.08916     -0.08994     -0.10026 |    0.94876      0.94999      0.96343 |           2.86218 | -39775.95485 | -39780.69889      1.53718      7.54124      6.73627
  5 |   -0.09579 |   -0.08873     -0.08948     -0.09988 |    0.94545      0.94762      0.96311 |           2.85619 | -39776.12006 | -39780.69889      1.52249      7.50043      6.73627
  6 |   -0.10785 |   -0.08822     -0.08913     -0.09960 |    0.94453      0.94590      0.96100 |           2.85143 | -39776.23344 | -39780.69889      1.51785      7.47455      6.73627
  7 |   -0.11605 |   -0.08822     -0.08901     -0.09944 |    0.94313      0.94392      0.95963 |           2.84668 | -39776.29226 | -39780.69889      1.51662      7.45995      6.73627
  8 |   -0.12185 |   -0.08801     -0.08871     -0.09951 |    0.94365      0.94169      0.95786 |           2.84320 | -39776.35174 | -39780.69889      1.51484      7.44271      6.73627
  9 |   -0.12521 |   -0.08782     -0.08858     -0.09926 |    0.94167      0.94200      0.95782 |           2.84149 | -39776.37487 | -39780.69889      1.51415      7.43676      6.73627
 10 |   -0.12792 |   -0.08786     -0.08862     -0.09928 |    0.94152      0.94219      0.95749 |           2.84120 | -39776.39625 | -39780.69889      1.51187      7.43035      6.73627
 11 |   -0.12978 |   -0.08782     -0.08850     -0.09920 |    0.94151      0.94292      0.95723 |           2.84165 | -39776.42592 | -39780.69889      1.51085      7.42226      6.73627
 12 |   -0.13139 |   -0.08785     -0.08847     -0.09916 |    0.94167      0.94340      0.95831 |           2.84338 | -39776.44950 | -39780.69889      1.50480      7.42260      6.73627
 13 |   -0.13286 |   -0.08780     -0.08856     -0.09919 |    0.94024      0.94234      0.95544 |           2.83802 | -39776.46664 | -39780.69889      1.50754      7.40837      6.73627
 14 |   -0.13286 |   -0.08777     -0.08846     -0.09929 |    0.94107      0.94212      0.95827 |           2.84146 | -39776.45016 | -39780.69889      1.50226      7.42256      6.73627
