 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.11242e-02   1.10368e-02   9.05657e-03 | 3.12176e-02 | 3.86956e-02 | 2.13299e-01 | 7.43906e-01 | 3.26750e+01
  2 | 3.10138e-02 | 3.67962e-03   4.67097e-03   1.19416e-02 | 2.02922e-02 | 1.11288e-02 | 1.32258e-03 | 8.36084e-02 | 4.31527e-01
  3 | 3.55331e-02 | 4.92286e-03   4.31956e-03   3.91199e-03 | 1.31544e-02 | 7.81502e-03 | 1.04954e-03 | 8.69244e-02 | 3.22635e-01
  4 | 2.48574e-02 | 4.84873e-03   4.44578e-03   3.24641e-03 | 1.25409e-02 | 5.30175e-03 | 7.48291e-04 | 1.14121e-01 | 2.38695e-01
  5 | 1.69397e-02 | 1.19464e-03   1.88645e-03   1.96797e-03 | 5.04906e-03 | 3.58266e-03 | 5.14513e-04 | 1.34888e-01 | 1.65218e-01
  6 | 1.20618e-02 | 2.40545e-03   1.19022e-03   1.95720e-03 | 5.55288e-03 | 2.64122e-03 | 3.67353e-04 | 1.31156e-01 | 1.13376e-01
  7 | 8.20471e-03 | 5.55257e-04   5.15316e-04   1.39007e-03 | 2.46064e-03 | 1.72791e-03 | 2.50681e-04 | 1.12510e-01 | 5.88253e-02
  8 | 5.79506e-03 | 2.63310e-03   1.71237e-03   2.52339e-04 | 4.59781e-03 | 1.30115e-03 | 1.78931e-04 | 1.47913e-01 | 5.94776e-02
  9 | 3.36388e-03 | 2.21750e-03   1.57610e-03   3.78712e-04 | 1.02011e-03 | 8.22943e-04 | 1.05067e-04 | 1.27040e-01 | 2.31254e-02
 10 | 2.71002e-03 | 1.37971e-03   8.92829e-04   1.58942e-03 | 2.07631e-03 | 6.44555e-04 | 8.28110e-05 | 1.16707e-01 | 2.13841e-02
 11 | 1.85562e-03 | 1.09693e-03   1.11516e-03   1.76126e-03 | 4.50823e-04 | 5.41989e-04 | 5.69800e-05 | 1.32391e-01 | 2.96701e-02
 12 | 1.60712e-03 | 1.18995e-03   7.00718e-04   1.41724e-03 | 4.73426e-04 | 4.99989e-04 | 4.84206e-05 | 1.30603e-01 | 2.35737e-02
 13 | 1.47356e-03 | 1.28113e-03   7.22944e-04   9.64602e-04 | 2.96868e-03 | 5.04378e-04 | 4.50492e-05 | 1.01424e-01 | 1.71468e-02
 14 | 0.00000e+00 | 4.73440e-04   7.17509e-05   2.00959e-03 | 2.41128e-03 | 4.05001e-04 | 1.13869e-05 | 1.35575e-01 | 1.64866e-02
