 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 2.42773e-02   2.29898e-02   2.17002e-02 | 6.89672e-02 | 1.44114e-01 | 4.56789e-01 | 1.17857e+00 | 1.16875e+01
  2 | 1.70905e-02 | 1.93892e-03   7.64325e-03   8.13459e-03 | 1.44758e-03 | 2.05182e-02 | 7.30930e-03 | 1.22453e+00 | 4.68773e-02
  3 | 3.26282e-02 | 4.04555e-03   9.04945e-03   1.19435e-02 | 2.50385e-02 | 1.14189e-02 | 3.72946e-03 | 1.74618e+00 | 1.81087e-01
  4 | 2.47823e-02 | 8.94421e-03   3.22967e-03   2.57718e-03 | 9.59670e-03 | 8.27895e-03 | 3.01279e-03 | 2.08722e+00 | 1.47771e-01
  5 | 2.32581e-02 | 1.36279e-02   1.37171e-02   2.46428e-03 | 2.48807e-02 | 7.29285e-03 | 2.79022e-03 | 2.45430e+00 | 1.33801e-01
  6 | 1.48544e-02 | 1.14892e-03   1.13895e-03   3.32133e-03 | 1.03346e-03 | 5.22367e-03 | 1.90495e-03 | 1.33942e+00 | 8.80177e-02
  7 | 1.28206e-02 | 6.56139e-03   4.99812e-03   3.09225e-03 | 1.46518e-02 | 4.01656e-03 | 1.57358e-03 | 6.80534e-01 | 8.08360e-02
  8 | 6.57788e-03 | 1.80977e-04   4.42031e-03   1.12750e-03 | 3.47379e-03 | 2.77754e-03 | 8.98389e-04 | 1.17213e+00 | 3.32070e-02
  9 | 7.44746e-03 | 3.80490e-03   1.00090e-03   9.28637e-03 | 1.40922e-02 | 2.61792e-03 | 9.04517e-04 | 1.72674e+00 | 4.75758e-02
 10 | 2.67033e-03 | 1.79852e-03   5.67267e-03   8.55712e-03 | 4.68296e-03 | 1.97435e-03 | 3.93054e-04 | 1.58032e+00 | 1.49160e-02
 11 | 4.42271e-03 | 7.13295e-04   5.43100e-03   4.98818e-03 | 1.11325e-02 | 2.07611e-03 | 5.31621e-04 | 1.80450e+00 | 2.24691e-02
 12 | 1.62801e-03 | 3.57780e-03   2.99375e-03   1.51143e-02 | 1.45302e-02 | 1.47072e-03 | 2.29150e-04 | 2.67824e+00 | 1.01834e-02
 13 | 2.94867e-03 | 5.03709e-03   3.64677e-04   1.35954e-02 | 8.92303e-03 | 1.62074e-03 | 3.55403e-04 | 2.49890e+00 | 1.35479e-02
 14 | 4.95991e-03 | 5.11031e-04   3.29110e-03   1.00439e-02 | 1.28239e-02 | 2.00739e-03 | 5.77548e-04 | 1.64901e+00 | 2.90337e-02
 15 | 0.00000e+00 | 2.54500e-03   1.55560e-03   2.33630e-03 | 3.32571e-03 | 1.29671e-03 | 8.77772e-05 | 1.63588e+00 | 4.67512e-03
 16 | 4.03327e-03 | 2.77207e-03   1.28404e-03   6.70850e-03 | 2.65239e-03 | 1.41065e-03 | 2.44016e-04 | 1.47040e+00 | 7.81434e-01
 17 | 1.51346e-03 | 5.44085e-03   2.55445e-03   4.20147e-03 | 1.31507e-03 | 1.50133e-03 | 2.18759e-04 | 1.50689e+00 | 1.41971e-02
