 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 2.61824e-02   1.40703e-02   2.22627e-02 | 6.25154e-02 | 1.44119e-01 | 4.56744e-01 | 1.69041e+00 | 1.16875e+01
  2 | 1.70905e-02 | 2.90782e-03   1.20822e-03   1.37327e-03 | 3.26328e-04 | 2.08073e-02 | 7.31012e-03 | 1.22059e+00 | 4.68773e-02
  3 | 3.26282e-02 | 4.62811e-03   6.11070e-03   4.93555e-04 | 1.12324e-02 | 1.10773e-02 | 3.70192e-03 | 5.70000e-01 | 1.81087e-01
  4 | 2.47823e-02 | 6.39078e-03   1.13052e-02   3.49265e-03 | 8.40711e-03 | 8.40388e-03 | 3.03135e-03 | 1.78640e+00 | 1.47771e-01
  5 | 2.32581e-02 | 1.12996e-02   4.54273e-04   4.28345e-03 | 1.51288e-02 | 7.31439e-03 | 2.78166e-03 | 1.79833e+00 | 1.33801e-01
  6 | 1.48544e-02 | 5.65146e-04   7.59293e-04   2.08137e-03 | 3.40581e-03 | 5.08641e-03 | 1.89710e-03 | 1.08374e+00 | 8.80177e-02
  7 | 1.28206e-02 | 1.42095e-03   1.51354e-03   2.58445e-04 | 1.65852e-04 | 4.22242e-03 | 1.58326e-03 | 1.18409e+00 | 8.08360e-02
  8 | 6.57788e-03 | 3.16750e-04   8.91614e-03   3.25017e-04 | 8.92440e-03 | 2.66944e-03 | 8.94912e-04 | 9.49173e-01 | 3.32070e-02
  9 | 7.44746e-03 | 9.38117e-03   3.61210e-04   4.12615e-03 | 1.38685e-02 | 2.64981e-03 | 8.89974e-04 | 1.48847e+00 | 4.75758e-02
 10 | 2.67033e-03 | 3.67701e-03   1.69658e-04   3.01134e-03 | 8.35325e-04 | 1.85953e-03 | 4.24610e-04 | 1.32368e+00 | 1.49160e-02
 11 | 4.42271e-03 | 1.89451e-03   1.62839e-03   5.02888e-03 | 8.55178e-03 | 1.71501e-03 | 5.13332e-04 | 1.62164e+00 | 2.24691e-02
 12 | 1.62801e-03 | 2.29985e-03   8.91520e-04   7.87795e-03 | 9.28628e-03 | 2.01398e-03 | 2.39117e-04 | 1.89740e+00 | 1.01834e-02
 13 | 2.94867e-03 | 5.65422e-04   6.15617e-03   6.24831e-03 | 1.18391e-02 | 1.60356e-03 | 3.51366e-04 | 2.12724e+00 | 1.35479e-02
 14 | 4.95991e-03 | 5.95055e-03   4.78429e-03   1.31553e-02 | 1.19890e-02 | 2.12835e-03 | 5.68631e-04 | 2.34250e+00 | 2.90337e-02
 15 | 0.00000e+00 | 8.46896e-03   1.66052e-04   1.60562e-03 | 7.02940e-03 | 1.60426e-03 | 8.59258e-05 | 2.27547e+00 | 4.67512e-03
 16 | 4.03327e-03 | 4.80506e-03   1.63274e-03   6.23264e-03 | 3.06032e-03 | 1.71757e-03 | 3.14518e-04 | 2.02456e+00 | 7.81434e-01
 17 | 1.51346e-03 | 5.19119e-03   1.81985e-03   1.32099e-02 | 6.19882e-03 | 1.62867e-03 | 2.98946e-04 | 2.16392e+00 | 1.41971e-02
