 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.58782e-02   1.69411e-02   2.60743e-02 | 5.88936e-02 | 1.43847e-01 | 4.56916e-01 | 2.35633e+00 | 1.16875e+01
  2 | 1.70905e-02 | 2.00287e-02   9.06652e-03   4.12020e-03 | 6.84203e-03 | 2.08983e-02 | 7.31037e-03 | 3.17744e+00 | 4.68773e-02
  3 | 3.26282e-02 | 1.17561e-02   1.45493e-04   2.19949e-03 | 9.41112e-03 | 1.12785e-02 | 3.72823e-03 | 1.73239e+00 | 1.81087e-01
  4 | 2.47823e-02 | 1.38296e-03   5.28663e-03   1.32503e-02 | 1.71540e-02 | 8.11797e-03 | 3.00595e-03 | 1.76443e+00 | 1.47771e-01
  5 | 2.32581e-02 | 1.36163e-02   3.92221e-03   6.28750e-03 | 1.12510e-02 | 7.42847e-03 | 2.80244e-03 | 2.10287e+00 | 1.33801e-01
  6 | 1.48544e-02 | 4.68395e-03   9.66293e-04   5.20936e-03 | 4.40884e-04 | 4.94114e-03 | 1.88377e-03 | 1.51777e+00 | 8.80177e-02
  7 | 1.28206e-02 | 4.79449e-03   1.35221e-02   5.74928e-03 | 2.40658e-02 | 4.41255e-03 | 1.60370e-03 | 1.68861e+00 | 8.08360e-02
  8 | 6.57788e-03 | 2.36889e-03   4.54147e-03   4.41796e-03 | 2.49240e-03 | 2.89080e-03 | 8.90118e-04 | 1.28383e+00 | 3.32070e-02
  9 | 7.44746e-03 | 8.49009e-03   6.52014e-03   4.01386e-03 | 2.04391e-03 | 2.65576e-03 | 9.05321e-04 | 2.23665e+00 | 4.75758e-02
 10 | 2.67033e-03 | 1.17436e-02   6.40541e-03   3.72247e-03 | 9.06068e-03 | 1.73606e-03 | 3.96415e-04 | 2.05310e+00 | 1.49160e-02
 11 | 4.42271e-03 | 3.57321e-03   2.41053e-04   7.19978e-03 | 1.10140e-02 | 2.04766e-03 | 5.29976e-04 | 1.23800e+00 | 2.24691e-02
 12 | 1.62801e-03 | 5.48482e-03   5.66533e-03   1.27517e-03 | 1.45569e-03 | 1.54627e-03 | 2.35515e-04 | 1.84434e+00 | 1.01834e-02
 13 | 2.94867e-03 | 4.08936e-03   8.96556e-03   1.59076e-03 | 1.14642e-02 | 1.62689e-03 | 3.56389e-04 | 1.65806e+00 | 1.35479e-02
 14 | 4.95991e-03 | 6.32686e-03   2.83030e-03   2.19043e-03 | 1.30613e-03 | 1.89332e-03 | 5.75657e-04 | 1.53913e+00 | 2.90337e-02
 15 | 0.00000e+00 | 7.63199e-03   2.50048e-03   1.35029e-03 | 8.78219e-03 | 1.40657e-03 | 8.98620e-05 | 1.59283e+00 | 4.67512e-03
 16 | 4.03327e-03 | 2.38392e-03   1.03276e-02   1.32956e-03 | 1.40411e-02 | 4.61261e-03 | 1.69154e-03 | 1.39053e+00 | 7.81434e-01
 17 | 1.51346e-03 | 5.61207e-03   2.83883e-03   4.08492e-03 | 1.25358e-02 | 1.47393e-03 | 1.49416e-04 | 1.96994e+00 | 1.41971e-02
