 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01901 |   -0.20941     -0.21982     -0.20862 |    0.66029      0.68423      0.65569 |           2.00021 | -18031.16656 | -18023.16650      0.00000      0.00000      2.00063
  1 |    0.01901 |   -0.18517     -0.18534     -0.18524 |    0.68457      0.70722      0.67739 |           2.06918 | -18019.47903 | -18023.16650      2.03637      2.41509      2.00063
  2 |    0.00192 |   -0.19165     -0.19325     -0.19111 |    0.68263      0.69958      0.68552 |           2.06773 | -18019.52591 | -18023.16650      2.19533      2.36086      2.00063
  3 |   -0.03070 |   -0.19308     -0.19360     -0.19324 |    0.67858      0.69053      0.67358 |           2.04269 | -18019.70700 | -18023.16650      2.18764      2.31783      2.00063
  4 |   -0.05549 |   -0.19277     -0.19425     -0.19308 |    0.68753      0.69376      0.67100 |           2.05229 | -18019.85477 | -18023.16650      2.16815      2.28400      2.00063
  5 |   -0.07874 |   -0.19339     -0.19377     -0.19281 |    0.67390      0.68004      0.67347 |           2.02741 | -18019.98857 | -18023.16650      2.14462      2.25938      2.00063
  6 |   -0.09360 |   -0.19279     -0.19364     -0.19261 |    0.67505      0.68118      0.67014 |           2.02637 | -18020.07659 | -18023.16650      2.13070      2.23984      2.00063
  7 |   -0.10642 |   -0.19285     -0.19328     -0.19219 |    0.66849      0.67618      0.66705 |           2.01172 | -18020.15742 | -18023.16650      2.11442      2.22598      2.00063
  8 |   -0.11300 |   -0.19254     -0.19317     -0.19252 |    0.66867      0.68060      0.66593 |           2.01520 | -18020.19063 | -18023.16650      2.11117      2.21662      2.00063
  9 |   -0.12044 |   -0.19264     -0.19369     -0.19227 |    0.66486      0.67960      0.65664 |           2.00110 | -18020.23821 | -18023.16650      2.09918      2.20739      2.00063
 10 |   -0.12311 |   -0.19162     -0.19246     -0.19186 |    0.66666      0.67393      0.66520 |           2.00579 | -18020.25312 | -18023.16650      2.09675      2.20707      2.00063
 11 |   -0.12754 |   -0.19250     -0.19303     -0.19175 |    0.66737      0.67936      0.67018 |           2.01692 | -18020.27559 | -18023.16650      2.09323      2.19962      2.00063
 12 |   -0.12917 |   -0.19204     -0.19330     -0.19210 |    0.67095      0.67637      0.65507 |           2.00239 | -18020.28577 | -18023.16650      2.09270      2.19479      2.00063
 13 |   -0.13211 |   -0.19177     -0.19331     -0.19225 |    0.66592      0.67673      0.66867 |           2.01131 | -18020.29932 | -18023.16650      2.09306      2.19314      2.00063
 14 |   -0.13707 |   -0.19174     -0.19232     -0.19163 |    0.66643      0.67344      0.65862 |           1.99849 | -18020.32836 | -18023.16650      2.08480      2.18655      2.00063
 15 |   -0.13707 |   -0.19195     -0.19296     -0.19245 |    0.66388      0.67500      0.65629 |           1.99516 | -18020.33303 | -18023.16650      2.07831      2.18860      2.00063
 16 |   -0.13304 |   -0.19226     -0.19317     -0.19219 |    0.66111      0.67371      0.66299 |           1.99781 | -18019.55160 | -18022.40181      2.08269      2.18788      1.99731
 17 |   -0.13153 |   -0.19142     -0.19290     -0.19145 |    0.66655      0.67116      0.65879 |           1.99650 | -18019.53740 | -18022.40181      2.08756      2.19315      1.99731
