 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01901 |   -0.20946     -0.21986     -0.20867 |    0.66037      0.68431      0.65577 |           2.00045 | -18031.16656 | -18023.16650      0.00000      0.00000      2.00136
  1 |    0.01901 |   -0.18573     -0.18610     -0.18522 |    0.68655      0.69838      0.67803 |           2.06297 | -18019.47903 | -18023.16650      2.03637      2.41383      2.00136
  2 |    0.00192 |   -0.19244     -0.19388     -0.19113 |    0.68365      0.69959      0.67940 |           2.06264 | -18019.52591 | -18023.16650      2.19533      2.36482      2.00136
  3 |   -0.03070 |   -0.19325     -0.19436     -0.19322 |    0.67902      0.69348      0.67891 |           2.05141 | -18019.70700 | -18023.16650      2.18764      2.31887      2.00136
  4 |   -0.05549 |   -0.19350     -0.19416     -0.19314 |    0.68541      0.68217      0.67542 |           2.04300 | -18019.85477 | -18023.16650      2.16815      2.29000      2.00136
  5 |   -0.07874 |   -0.19373     -0.19357     -0.19306 |    0.67411      0.68263      0.67114 |           2.02787 | -18019.98857 | -18023.16650      2.14462      2.26095      2.00136
  6 |   -0.09360 |   -0.19285     -0.19345     -0.19305 |    0.67354      0.68187      0.66905 |           2.02447 | -18020.07659 | -18023.16650      2.13070      2.24040      2.00136
  7 |   -0.10642 |   -0.19286     -0.19364     -0.19262 |    0.67212      0.68338      0.66880 |           2.02430 | -18020.15742 | -18023.16650      2.11442      2.22484      2.00136
  8 |   -0.11300 |   -0.19258     -0.19268     -0.19271 |    0.67244      0.67447      0.66847 |           2.01538 | -18020.19063 | -18023.16650      2.11117      2.21812      2.00136
  9 |   -0.12044 |   -0.19241     -0.19343     -0.19232 |    0.66306      0.67411      0.66434 |           2.00151 | -18020.23821 | -18023.16650      2.09918      2.20658      2.00136
 10 |   -0.12311 |   -0.19289     -0.19266     -0.19253 |    0.66674      0.67428      0.66133 |           2.00234 | -18020.25312 | -18023.16650      2.09675      2.20390      2.00136
 11 |   -0.12754 |   -0.19276     -0.19284     -0.19227 |    0.66484      0.67265      0.65630 |           1.99379 | -18020.27559 | -18023.16650      2.09323      2.20157      2.00136
 12 |   -0.12917 |   -0.19174     -0.19310     -0.19165 |    0.66714      0.67176      0.66418 |           2.00308 | -18020.28577 | -18023.16650      2.09270      2.19999      2.00136
 13 |   -0.13211 |   -0.19226     -0.19300     -0.19214 |    0.66658      0.67791      0.67043 |           2.01492 | -18020.29932 | -18023.16650      2.09306      2.19305      2.00136
 14 |   -0.13707 |   -0.19236     -0.19204     -0.19202 |    0.67253      0.67313      0.65727 |           2.00293 | -18020.32836 | -18023.16650      2.08480      2.19150      2.00136
 15 |   -0.13707 |   -0.19258     -0.19243     -0.19185 |    0.66406      0.67296      0.65888 |           1.99590 | -18020.33303 | -18023.16650      2.07831      2.18785      2.00136
 16 |   -0.13304 |   -0.19184     -0.19254     -0.19198 |    0.66886      0.67133      0.65265 |           1.99284 | -18019.55160 | -18022.40181      2.08269      2.18897      1.99531
 17 |   -0.13153 |   -0.19253     -0.19319     -0.19204 |    0.66367      0.66951      0.66586 |           1.99904 | -18019.53740 | -18022.40181      2.08756      2.18954      1.99531
