 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01901 |   -0.20944     -0.21988     -0.20865 |    0.66019      0.68408      0.65558 |           1.99985 | -18031.16656 | -18023.16650      0.00000      0.00000      1.99956
  1 |    0.01901 |   -0.18559     -0.18577     -0.18559 |    0.68138      0.70479      0.67747 |           2.06365 | -18019.47903 | -18023.16650      2.03637      2.41267      1.99956
  2 |    0.00192 |   -0.19163     -0.19341     -0.19142 |    0.68848      0.69492      0.68180 |           2.06520 | -18019.52591 | -18023.16650      2.19533      2.35961      1.99956
  3 |   -0.03070 |   -0.19286     -0.19379     -0.19321 |    0.68457      0.68133      0.67668 |           2.04257 | -18019.70700 | -18023.16650      2.18764      2.31840      1.99956
  4 |   -0.05549 |   -0.19338     -0.19335     -0.19367 |    0.67222      0.68947      0.67536 |           2.03705 | -18019.85477 | -18023.16650      2.16815      2.28408      1.99956
  5 |   -0.07874 |   -0.19344     -0.19327     -0.19275 |    0.67701      0.68613      0.66870 |           2.03184 | -18019.98857 | -18023.16650      2.14462      2.25777      1.99956
  6 |   -0.09360 |   -0.19290     -0.19381     -0.19220 |    0.67550      0.67907      0.66220 |           2.01677 | -18020.07659 | -18023.16650      2.13070      2.24048      1.99956
  7 |   -0.10642 |   -0.19198     -0.19358     -0.19248 |    0.66603      0.68177      0.66530 |           2.01310 | -18020.15742 | -18023.16650      2.11442      2.22152      1.99956
  8 |   -0.11300 |   -0.19237     -0.19272     -0.19178 |    0.67883      0.67636      0.66204 |           2.01723 | -18020.19063 | -18023.16650      2.11117      2.21643      1.99956
  9 |   -0.12044 |   -0.19254     -0.19309     -0.19257 |    0.66878      0.67858      0.66494 |           2.01230 | -18020.23821 | -18023.16650      2.09918      2.20650      1.99956
 10 |   -0.12311 |   -0.19244     -0.19287     -0.19249 |    0.66548      0.68110      0.65879 |           2.00537 | -18020.25312 | -18023.16650      2.09675      2.20427      1.99956
 11 |   -0.12754 |   -0.19190     -0.19255     -0.19191 |    0.66841      0.67237      0.65610 |           1.99688 | -18020.27559 | -18023.16650      2.09323      2.19706      1.99956
 12 |   -0.12917 |   -0.19232     -0.19270     -0.19183 |    0.66689      0.68077      0.65965 |           2.00730 | -18020.28577 | -18023.16650      2.09270      2.19635      1.99956
 13 |   -0.13211 |   -0.19257     -0.19279     -0.19259 |    0.67260      0.67821      0.66048 |           2.01129 | -18020.29932 | -18023.16650      2.09306      2.19602      1.99956
 14 |   -0.13707 |   -0.19287     -0.19274     -0.19118 |    0.66741      0.67357      0.66404 |           2.00502 | -18020.32836 | -18023.16650      2.08480      2.18734      1.99956
 15 |   -0.13707 |   -0.19174     -0.19307     -0.19185 |    0.66300      0.67420      0.65766 |           1.99486 | -18020.33303 | -18023.16650      2.07831      2.19107      1.99956
 16 |   -0.13304 |   -0.19212     -0.19203     -0.19138 |    0.66740      0.67165      0.65475 |           1.99379 | -18019.55160 | -18022.40181      2.08269      2.18767      1.99684
 17 |   -0.13153 |   -0.19186     -0.19243     -0.19151 |    0.66523      0.67529      0.65578 |           1.99630 | -18019.53740 | -18022.40181      2.08756      2.19028      1.99684
