 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01241 |   -0.09434     -0.09471     -0.11623 |    0.95041      0.95070      0.97336 |           2.87447 | -39807.62565 | -39780.70016      0.00000      0.00000      6.73515
  1 |    0.01241 |   -0.09389     -0.09413     -0.11102 |    0.95856      0.95969      0.98265 |           2.90090 | -39774.96897 | -39780.70016      1.54693      7.78322      6.73515
  2 |   -0.01861 |   -0.09094     -0.09115     -0.10179 |    0.95595      0.95783      0.97203 |           2.88581 | -39775.39263 | -39780.70016      1.56043      7.67579      6.73515
  3 |   -0.05426 |   -0.08992     -0.09012     -0.10077 |    0.95004      0.95225      0.96846 |           2.87075 | -39775.72221 | -39780.70016      1.54391      7.60169      6.73515
  4 |   -0.07905 |   -0.08909     -0.08926     -0.10003 |    0.94800      0.94877      0.96297 |           2.85974 | -39775.94195 | -39780.70016      1.53347      7.55048      6.73515
  5 |   -0.09595 |   -0.08862     -0.08886     -0.09971 |    0.94531      0.94612      0.96131 |           2.85274 | -39776.12068 | -39780.70016      1.52213      7.49444      6.73515
  6 |   -0.10775 |   -0.08823     -0.08850     -0.09950 |    0.94430      0.94623      0.96114 |           2.85168 | -39776.22638 | -39780.70016      1.51579      7.47463      6.73515
  7 |   -0.11554 |   -0.08815     -0.08832     -0.09931 |    0.94379      0.94421      0.95989 |           2.84789 | -39776.29241 | -39780.70016      1.51014      7.46388      6.73515
  8 |   -0.12146 |   -0.08804     -0.08819     -0.09932 |    0.94383      0.94179      0.95864 |           2.84426 | -39776.33146 | -39780.70016      1.51186      7.45249      6.73515
  9 |   -0.12538 |   -0.08789     -0.08820     -0.09916 |    0.94297      0.94253      0.95736 |           2.84286 | -39776.37744 | -39780.70016      1.50992      7.44139      6.73515
 10 |   -0.12797 |   -0.08791     -0.08804     -0.09911 |    0.94074      0.94269      0.95863 |           2.84207 | -39776.41156 | -39780.70016      1.50819      7.42987      6.73515
 11 |   -0.12958 |   -0.08781     -0.08803     -0.09913 |    0.94186      0.94207      0.95723 |           2.84115 | -39776.42254 | -39780.70016      1.50959      7.42605      6.73515
 12 |   -0.13056 |   -0.08773     -0.08798     -0.09911 |    0.94088      0.94268      0.95824 |           2.84179 | -39776.41153 | -39780.70016      1.50785      7.43540      6.73515
 13 |   -0.13126 |   -0.08764     -0.08788     -0.09897 |    0.94169      0.93984      0.95779 |           2.83933 | -39776.41661 | -39780.70016      1.50551      7.43155      6.73515
 14 |   -0.13199 |   -0.08751     -0.08780     -0.09919 |    0.94021      0.94017      0.95995 |           2.84033 | -39776.43386 | -39780.70016      1.50531      7.42360      6.73515
