 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01241 |   -0.09449     -0.09466     -0.11620 |    0.95019      0.95028      0.97287 |           2.87334 | -39807.62565 | -39780.70016      0.00000      0.00000      6.72844
  1 |    0.01241 |   -0.09414     -0.09430     -0.11107 |    0.95863      0.96201      0.98106 |           2.90171 | -39774.96897 | -39780.70016      1.54693      7.77202      6.72844
  2 |   -0.01861 |   -0.09100     -0.09104     -0.10168 |    0.95710      0.95772      0.97204 |           2.88685 | -39775.39263 | -39780.70016      1.56043      7.66032      6.72844
  3 |   -0.05426 |   -0.09001     -0.08994     -0.10055 |    0.95112      0.95090      0.96841 |           2.87043 | -39775.72221 | -39780.70016      1.54391      7.58219      6.72844
  4 |   -0.07905 |   -0.08927     -0.08925     -0.10032 |    0.94856      0.94815      0.96483 |           2.86154 | -39775.94195 | -39780.70016      1.53347      7.53021      6.72844
  5 |   -0.09595 |   -0.08888     -0.08870     -0.09977 |    0.94729      0.94572      0.96264 |           2.85566 | -39776.12068 | -39780.70016      1.52213      7.48918      6.72844
  6 |   -0.10775 |   -0.08851     -0.08843     -0.09948 |    0.94493      0.94351      0.96061 |           2.84904 | -39776.22638 | -39780.70016      1.51579      7.47067      6.72844
  7 |   -0.11554 |   -0.08822     -0.08815     -0.09943 |    0.94222      0.94378      0.95869 |           2.84469 | -39776.29241 | -39780.70016      1.51014      7.45765      6.72844
  8 |   -0.12146 |   -0.08807     -0.08824     -0.09915 |    0.94253      0.94349      0.95905 |           2.84507 | -39776.33146 | -39780.70016      1.51186      7.43916      6.72844
  9 |   -0.12538 |   -0.08803     -0.08802     -0.09898 |    0.94054      0.94188      0.95863 |           2.84105 | -39776.37744 | -39780.70016      1.50992      7.42494      6.72844
 10 |   -0.12797 |   -0.08786     -0.08798     -0.09904 |    0.94103      0.94199      0.95701 |           2.84003 | -39776.41156 | -39780.70016      1.50819      7.42850      6.72844
 11 |   -0.12958 |   -0.08785     -0.08789     -0.09890 |    0.94123      0.94106      0.95492 |           2.83722 | -39776.42254 | -39780.70016      1.50959      7.42025      6.72844
 12 |   -0.13056 |   -0.08778     -0.08781     -0.09910 |    0.94170      0.94167      0.95662 |           2.83998 | -39776.41153 | -39780.70016      1.50785      7.41446      6.72844
 13 |   -0.13126 |   -0.08792     -0.08784     -0.09894 |    0.94241      0.94227      0.95618 |           2.84086 | -39776.41661 | -39780.70016      1.50551      7.42972      6.72844
 14 |   -0.13199 |   -0.08790     -0.08781     -0.09912 |    0.94139      0.94112      0.95817 |           2.84068 | -39776.43386 | -39780.70016      1.50531      7.42780      6.72844
