 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 9.79412e-03   1.13330e-02   9.46520e-03 | 3.05923e-02 | 3.83970e-02 | 2.13305e-01 | 7.52747e-01 | 3.26567e+01
  2 | 3.10268e-02 | 3.75490e-03   5.18141e-03   1.09409e-02 | 1.98772e-02 | 1.09395e-02 | 1.32112e-03 | 1.43681e-01 | 4.23666e-01
  3 | 3.56445e-02 | 4.15889e-03   6.67966e-03   3.25333e-03 | 1.40919e-02 | 7.76121e-03 | 1.05220e-03 | 9.09924e-02 | 3.29574e-01
  4 | 2.47921e-02 | 3.26148e-03   1.22734e-03   4.84311e-03 | 9.33193e-03 | 5.27994e-03 | 7.48256e-04 | 8.21315e-02 | 2.19741e-01
  5 | 1.69005e-02 | 2.97741e-03   2.23811e-03   5.03777e-04 | 5.71931e-03 | 3.62009e-03 | 5.12874e-04 | 9.77829e-02 | 1.78734e-01
  6 | 1.18006e-02 | 2.77327e-03   2.18575e-03   3.83285e-03 | 8.79188e-03 | 2.45227e-03 | 3.57379e-04 | 1.53490e-01 | 1.05699e-01
  7 | 7.78700e-03 | 1.29616e-04   1.39551e-03   1.49962e-03 | 2.33725e-04 | 1.75867e-03 | 2.42376e-04 | 1.48349e-01 | 6.60260e-02
  8 | 5.92561e-03 | 2.12566e-04   3.91775e-04   2.21323e-03 | 2.03402e-03 | 1.28994e-03 | 1.77699e-04 | 1.11591e-01 | 3.90500e-02
  9 | 3.91718e-03 | 8.74888e-04   2.91748e-04   1.12893e-03 | 1.71207e-03 | 8.92777e-04 | 1.22166e-04 | 1.36590e-01 | 4.59856e-02
 10 | 2.59239e-03 | 1.22572e-04   2.46756e-03   8.06180e-04 | 1.53881e-03 | 7.15255e-04 | 8.33245e-05 | 1.27573e-01 | 3.41196e-02
 11 | 1.60620e-03 | 1.46959e-03   1.66529e-03   7.02457e-04 | 5.06757e-04 | 4.72309e-04 | 4.82366e-05 | 1.49235e-01 | 1.09815e-02
 12 | 9.81435e-04 | 3.86313e-04   2.41269e-03   4.22813e-04 | 3.22182e-03 | 4.50073e-04 | 3.11619e-05 | 3.35702e-01 | 1.10156e-02
 13 | 6.99989e-04 | 1.47179e-03   1.92026e-03   5.19417e-04 | 2.87264e-03 | 4.08495e-04 | 2.26648e-05 | 3.01438e-01 | 5.08154e-03
 14 | 7.25952e-04 | 7.12356e-04   1.18399e-03   1.95732e-03 | 6.09778e-05 | 3.77502e-04 | 2.46525e-05 | 1.85163e-01 | 1.72491e-02
