 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01241 |   -0.09434     -0.09473     -0.11622 |    0.95015      0.95041      0.97308 |           2.87364 | -39807.62565 | -39780.70016      0.00000      0.00000      6.73018
  1 |    0.01241 |   -0.09388     -0.09405     -0.11095 |    0.95994      0.96174      0.98254 |           2.90423 | -39774.96897 | -39780.70016      1.54693      7.77319      6.73018
  2 |   -0.01861 |   -0.09081     -0.09108     -0.10184 |    0.95619      0.95656      0.97160 |           2.88435 | -39775.39263 | -39780.70016      1.56043      7.66634      6.73018
  3 |   -0.05426 |   -0.08977     -0.09005     -0.10053 |    0.95203      0.94988      0.96835 |           2.87026 | -39775.72221 | -39780.70016      1.54391      7.58274      6.73018
  4 |   -0.07905 |   -0.08928     -0.08933     -0.10006 |    0.94877      0.94865      0.96351 |           2.86093 | -39775.94195 | -39780.70016      1.53347      7.52611      6.73018
  5 |   -0.09595 |   -0.08863     -0.08884     -0.09963 |    0.94579      0.94641      0.96300 |           2.85521 | -39776.12068 | -39780.70016      1.52213      7.49926      6.73018
  6 |   -0.10775 |   -0.08838     -0.08863     -0.09956 |    0.94302      0.94423      0.95917 |           2.84642 | -39776.22638 | -39780.70016      1.51579      7.46448      6.73018
  7 |   -0.11554 |   -0.08819     -0.08818     -0.09929 |    0.94315      0.94283      0.96067 |           2.84665 | -39776.29241 | -39780.70016      1.51014      7.44692      6.73018
  8 |   -0.12146 |   -0.08779     -0.08813     -0.09923 |    0.94294      0.94322      0.95846 |           2.84462 | -39776.33146 | -39780.70016      1.51186      7.44668      6.73018
  9 |   -0.12538 |   -0.08779     -0.08795     -0.09909 |    0.94206      0.94352      0.95733 |           2.84290 | -39776.37744 | -39780.70016      1.50992      7.43187      6.73018
 10 |   -0.12797 |   -0.08780     -0.08799     -0.09895 |    0.94218      0.94105      0.95813 |           2.84136 | -39776.41156 | -39780.70016      1.50819      7.42842      6.73018
 11 |   -0.12958 |   -0.08764     -0.08803     -0.09894 |    0.94071      0.94271      0.95743 |           2.84086 | -39776.42254 | -39780.70016      1.50959      7.42802      6.73018
 12 |   -0.13056 |   -0.08762     -0.08779     -0.09908 |    0.94033      0.94030      0.95701 |           2.83764 | -39776.41153 | -39780.70016      1.50785      7.42766      6.73018
 13 |   -0.13126 |   -0.08770     -0.08782     -0.09887 |    0.94180      0.94222      0.95649 |           2.84051 | -39776.41661 | -39780.70016      1.50551      7.41950      6.73018
 14 |   -0.13199 |   -0.08755     -0.08778     -0.09905 |    0.94109      0.94104      0.95845 |           2.84057 | -39776.43386 | -39780.70016      1.50531      7.41589      6.73018
