 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 8.15061e-03   8.98876e-03   9.29108e-03 | 2.64305e-02 | 3.83399e-02 | 2.13256e-01 | 7.58957e-01 | 3.26567e+01
  2 | 3.10268e-02 | 2.61034e-03   1.86382e-03   1.06189e-02 | 1.50930e-02 | 1.09859e-02 | 1.32072e-03 | 9.23058e-02 | 4.23666e-01
  3 | 3.56445e-02 | 5.90927e-03   5.57837e-03   3.57013e-03 | 1.50578e-02 | 7.73274e-03 | 1.04828e-03 | 8.94326e-02 | 3.29574e-01
  4 | 2.47921e-02 | 2.03892e-03   3.47405e-03   5.49761e-03 | 1.10106e-02 | 5.26504e-03 | 7.48205e-04 | 6.26721e-02 | 2.19741e-01
  5 | 1.69005e-02 | 2.68954e-03   2.65735e-03   1.65628e-03 | 7.00317e-03 | 3.60661e-03 | 5.13579e-04 | 5.99640e-02 | 1.78734e-01
  6 | 1.18006e-02 | 1.00673e-03   1.17000e-04   1.66235e-04 | 1.05596e-03 | 2.51722e-03 | 3.60025e-04 | 1.43868e-01 | 1.05699e-01
  7 | 7.78700e-03 | 5.09447e-04   2.02046e-03   1.25906e-03 | 3.78897e-03 | 1.66024e-03 | 2.37131e-04 | 1.21935e-01 | 6.60260e-02
  8 | 5.92561e-03 | 3.65277e-05   2.42273e-03   1.24563e-03 | 3.63184e-03 | 1.30412e-03 | 1.81286e-04 | 1.28620e-01 | 3.90500e-02
  9 | 3.91718e-03 | 8.65482e-04   7.39724e-04   1.27659e-03 | 1.40235e-03 | 9.56754e-04 | 1.22508e-04 | 1.65735e-01 | 4.59856e-02
 10 | 2.59239e-03 | 2.22191e-03   1.63343e-04   1.26438e-03 | 7.94178e-04 | 6.42176e-04 | 8.03961e-05 | 1.80329e-01 | 3.41196e-02
 11 | 1.60620e-03 | 1.11312e-03   6.27735e-04   1.39961e-03 | 9.14220e-04 | 4.95593e-04 | 5.02593e-05 | 1.32464e-01 | 1.09815e-02
 12 | 9.81435e-04 | 9.74237e-04   6.09758e-04   1.00777e-03 | 6.43286e-04 | 3.91234e-04 | 3.08622e-05 | 1.02130e-01 | 1.10156e-02
 13 | 6.99989e-04 | 8.11734e-04   2.83140e-03   4.46606e-04 | 2.46627e-03 | 3.85161e-04 | 2.58089e-05 | 1.23152e-01 | 5.08154e-03
 14 | 7.25952e-04 | 1.48056e-03   3.22597e-04   2.16143e-03 | 1.00347e-03 | 4.15283e-04 | 2.17241e-05 | 1.63319e-01 | 1.72491e-02
