 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01241 |   -0.09458     -0.09453     -0.11620 |    0.95071      0.95026      0.97293 |           2.87389 | -39807.62565 | -39780.70016      0.00000      0.00000      6.73172
  1 |    0.01241 |   -0.09415     -0.09407     -0.11094 |    0.95944      0.96101      0.98152 |           2.90197 | -39774.96897 | -39780.70016      1.54693      7.78133      6.73172
  2 |   -0.01861 |   -0.09111     -0.09107     -0.10178 |    0.95656      0.95734      0.97191 |           2.88582 | -39775.39263 | -39780.70016      1.56043      7.67014      6.73172
  3 |   -0.05426 |   -0.08996     -0.08995     -0.10058 |    0.95252      0.95269      0.96732 |           2.87253 | -39775.72221 | -39780.70016      1.54391      7.59291      6.73172
  4 |   -0.07905 |   -0.08930     -0.08916     -0.10010 |    0.94713      0.94782      0.96531 |           2.86025 | -39775.94195 | -39780.70016      1.53347      7.54343      6.73172
  5 |   -0.09595 |   -0.08884     -0.08874     -0.09974 |    0.94578      0.94573      0.96147 |           2.85297 | -39776.12068 | -39780.70016      1.52213      7.49995      6.73172
  6 |   -0.10775 |   -0.08872     -0.08842     -0.09962 |    0.94331      0.94548      0.95898 |           2.84777 | -39776.22638 | -39780.70016      1.51579      7.47371      6.73172
  7 |   -0.11554 |   -0.08833     -0.08830     -0.09915 |    0.94522      0.94409      0.96001 |           2.84932 | -39776.29241 | -39780.70016      1.51014      7.45466      6.73172
  8 |   -0.12146 |   -0.08824     -0.08802     -0.09916 |    0.94356      0.94211      0.95754 |           2.84321 | -39776.33146 | -39780.70016      1.51186      7.44400      6.73172
  9 |   -0.12538 |   -0.08789     -0.08802     -0.09917 |    0.94115      0.94355      0.95850 |           2.84320 | -39776.37744 | -39780.70016      1.50992      7.44008      6.73172
 10 |   -0.12797 |   -0.08802     -0.08783     -0.09885 |    0.94289      0.94080      0.95681 |           2.84050 | -39776.41156 | -39780.70016      1.50819      7.41910      6.73172
 11 |   -0.12958 |   -0.08779     -0.08778     -0.09906 |    0.94243      0.94271      0.95621 |           2.84135 | -39776.42254 | -39780.70016      1.50959      7.41920      6.73172
 12 |   -0.13056 |   -0.08778     -0.08768     -0.09911 |    0.94142      0.94010      0.95866 |           2.84018 | -39776.41153 | -39780.70016      1.50785      7.42874      6.73172
 13 |   -0.13126 |   -0.08782     -0.08783     -0.09894 |    0.94134      0.94153      0.95734 |           2.84022 | -39776.41661 | -39780.70016      1.50551      7.42277      6.73172
 14 |   -0.13199 |   -0.08797     -0.08775     -0.09891 |    0.94095      0.94317      0.95623 |           2.84035 | -39776.43386 | -39780.70016      1.50531      7.41918      6.73172
