 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01233 |   -0.09442     -0.09443     -0.11618 |    0.94998      0.95008      0.97285 |           2.87291 | -39807.57986 | -39780.70029      0.00000      0.00000      6.72588
  1 |    0.01233 |   -0.09415     -0.09388     -0.11102 |    0.95792      0.95931      0.98196 |           2.89918 | -39774.96265 | -39780.70029      1.54852      7.77805      6.72588
  2 |   -0.01809 |   -0.09085     -0.09087     -0.10165 |    0.95597      0.95694      0.97155 |           2.88446 | -39775.40279 | -39780.70029      1.56036      7.65401      6.72588
  3 |   -0.05342 |   -0.08988     -0.08984     -0.10060 |    0.95006      0.95119      0.96870 |           2.86994 | -39775.70572 | -39780.70029      1.54496      7.59168      6.72588
  4 |   -0.07829 |   -0.08922     -0.08919     -0.10002 |    0.94895      0.94678      0.96304 |           2.85877 | -39775.94004 | -39780.70029      1.53531      7.53947      6.72588
  5 |   -0.09506 |   -0.08865     -0.08852     -0.09967 |    0.94508      0.94564      0.96205 |           2.85277 | -39776.09682 | -39780.70029      1.52691      7.49598      6.72588
  6 |   -0.10668 |   -0.08837     -0.08829     -0.09951 |    0.94470      0.94464      0.96104 |           2.85037 | -39776.20807 | -39780.70029      1.51305      7.46738      6.72588
  7 |   -0.11543 |   -0.08819     -0.08828     -0.09924 |    0.94334      0.94384      0.95940 |           2.84659 | -39776.28944 | -39780.70029      1.51270      7.44604      6.72588
  8 |   -0.12105 |   -0.08793     -0.08792     -0.09928 |    0.94252      0.94209      0.95908 |           2.84369 | -39776.32504 | -39780.70029      1.50477      7.44537      6.72588
  9 |   -0.12535 |   -0.08799     -0.08784     -0.09917 |    0.94266      0.94172      0.95647 |           2.84086 | -39776.37806 | -39780.70029      1.50762      7.42667      6.72588
 10 |   -0.12762 |   -0.08769     -0.08768     -0.09895 |    0.94196      0.94122      0.95983 |           2.84301 | -39776.40731 | -39780.70029      1.50356      7.42040      6.72588
 11 |   -0.12977 |   -0.08764     -0.08788     -0.09903 |    0.93969      0.94108      0.95823 |           2.83900 | -39776.42214 | -39780.70029      1.50651      7.41344      6.72588
 12 |   -0.13088 |   -0.08770     -0.08758     -0.09887 |    0.94049      0.94099      0.95673 |           2.83820 | -39776.41147 | -39780.70029      1.50924      7.41975      6.72588
 13 |   -0.13139 |   -0.08764     -0.08768     -0.09887 |    0.94214      0.94210      0.95716 |           2.84140 | -39776.44197 | -39780.70029      1.50573      7.41695      6.72588
 14 |   -0.13205 |   -0.08769     -0.08774     -0.09900 |    0.93929      0.93999      0.95823 |           2.83752 | -39776.42502 | -39780.70029      1.50523      7.42612      6.72588
 15 |   -0.13242 |   -0.08772     -0.08765     -0.09891 |    0.94132      0.94137      0.95646 |           2.83915 | -39776.40788 | -39780.70029      1.50498      7.42184      6.72588
