 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01233 |   -0.09444     -0.09445     -0.11624 |    0.95018      0.94987      0.97246 |           2.87251 | -39807.57986 | -39780.70029      0.00000      0.00000      6.72351
  1 |    0.01233 |   -0.09405     -0.09395     -0.11104 |    0.95867      0.95875      0.98155 |           2.89897 | -39774.96265 | -39780.70029      1.54852      7.78252      6.72351
  2 |   -0.01809 |   -0.09088     -0.09096     -0.10151 |    0.95602      0.95891      0.97103 |           2.88596 | -39775.40279 | -39780.70029      1.56036      7.65444      6.72351
  3 |   -0.05342 |   -0.08987     -0.08997     -0.10065 |    0.95204      0.95101      0.96554 |           2.86858 | -39775.70572 | -39780.70029      1.54496      7.59098      6.72351
  4 |   -0.07829 |   -0.08920     -0.08919     -0.09994 |    0.94668      0.94784      0.96450 |           2.85902 | -39775.94004 | -39780.70029      1.53531      7.52443      6.72351
  5 |   -0.09506 |   -0.08860     -0.08876     -0.09991 |    0.94564      0.94516      0.96168 |           2.85248 | -39776.09682 | -39780.70029      1.52691      7.49660      6.72351
  6 |   -0.10668 |   -0.08815     -0.08828     -0.09942 |    0.94377      0.94459      0.96092 |           2.84928 | -39776.20807 | -39780.70029      1.51305      7.46693      6.72351
  7 |   -0.11543 |   -0.08807     -0.08821     -0.09926 |    0.94225      0.94356      0.95777 |           2.84358 | -39776.28944 | -39780.70029      1.51270      7.44391      6.72351
  8 |   -0.12105 |   -0.08785     -0.08804     -0.09932 |    0.94277      0.94179      0.95768 |           2.84225 | -39776.32504 | -39780.70029      1.50477      7.44101      6.72351
  9 |   -0.12535 |   -0.08788     -0.08797     -0.09933 |    0.94172      0.94126      0.95752 |           2.84051 | -39776.37806 | -39780.70029      1.50762      7.42571      6.72351
 10 |   -0.12762 |   -0.08790     -0.08788     -0.09890 |    0.94240      0.94226      0.95744 |           2.84210 | -39776.40731 | -39780.70029      1.50356      7.42486      6.72351
 11 |   -0.12977 |   -0.08781     -0.08779     -0.09908 |    0.93969      0.94208      0.95723 |           2.83901 | -39776.42214 | -39780.70029      1.50651      7.41593      6.72351
 12 |   -0.13088 |   -0.08781     -0.08775     -0.09887 |    0.94094      0.94103      0.95580 |           2.83777 | -39776.41147 | -39780.70029      1.50924      7.42973      6.72351
 13 |   -0.13139 |   -0.08777     -0.08773     -0.09885 |    0.94017      0.94014      0.95706 |           2.83737 | -39776.44197 | -39780.70029      1.50573      7.40537      6.72351
 14 |   -0.13205 |   -0.08772     -0.08788     -0.09901 |    0.94128      0.94021      0.95587 |           2.83737 | -39776.42502 | -39780.70029      1.50523      7.41348      6.72351
 15 |   -0.13242 |   -0.08767     -0.08761     -0.09891 |    0.94030      0.94018      0.95704 |           2.83751 | -39776.40788 | -39780.70029      1.50498      7.42000      6.72351
