 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 8.48476e-03   8.88314e-03   9.09316e-03 | 2.64611e-02 | 3.81588e-02 | 2.13370e-01 | 7.60365e-01 | 3.26172e+01
  2 | 3.04165e-02 | 2.64674e-03   1.62743e-04   1.05255e-02 | 1.30095e-02 | 1.08434e-02 | 1.31256e-03 | 9.99085e-02 | 4.40141e-01
  3 | 3.53317e-02 | 3.98740e-03   7.90102e-03   5.48887e-03 | 1.73773e-02 | 7.63958e-03 | 1.04108e-03 | 1.71308e-01 | 3.02927e-01
  4 | 2.48654e-02 | 5.35126e-03   3.16621e-03   1.04255e-03 | 9.56001e-03 | 5.21457e-03 | 7.46316e-04 | 1.23237e-01 | 2.34318e-01
  5 | 1.67741e-02 | 1.04413e-03   2.68082e-03   2.81597e-03 | 6.54093e-03 | 3.60752e-03 | 5.12397e-04 | 1.27473e-01 | 1.56785e-01
  6 | 1.16195e-02 | 1.86504e-03   5.70146e-04   7.65098e-04 | 3.20029e-03 | 2.52039e-03 | 3.56941e-04 | 1.18956e-01 | 1.11253e-01
  7 | 8.74900e-03 | 1.52952e-03   1.03248e-03   3.14506e-03 | 5.70706e-03 | 1.81438e-03 | 2.63264e-04 | 1.07104e-01 | 8.13688e-02
  8 | 5.61728e-03 | 5.27032e-04   1.76648e-03   9.08169e-05 | 1.33027e-03 | 1.24449e-03 | 1.73002e-04 | 1.13831e-01 | 3.56006e-02
  9 | 4.30633e-03 | 1.04911e-03   5.30845e-04   1.58646e-04 | 1.73860e-03 | 9.68597e-04 | 1.31683e-04 | 8.70464e-02 | 5.30158e-02
 10 | 2.26428e-03 | 6.75109e-04   9.92185e-04   7.97284e-05 | 1.58757e-03 | 5.46870e-04 | 7.22092e-05 | 9.20496e-02 | 2.92503e-02
 11 | 2.14841e-03 | 2.70382e-03   1.71168e-04   2.06479e-04 | 3.08146e-03 | 5.86527e-04 | 6.65913e-05 | 1.01350e-01 | 1.48319e-02
 12 | 1.11217e-03 | 1.24957e-03   1.05872e-03   1.43289e-03 | 1.24204e-03 | 4.21866e-04 | 3.68461e-05 | 1.17834e-01 | 1.06736e-02
 13 | 5.13466e-04 | 7.78638e-04   8.83268e-04   1.26159e-03 | 4.00318e-04 | 3.91509e-04 | 1.89486e-05 | 7.75531e-02 | 3.05002e-02
 14 | 6.52558e-04 | 1.11928e-03   6.63111e-05   1.19198e-03 | 6.38864e-06 | 4.24073e-04 | 1.83572e-05 | 1.29624e-01 | 1.69482e-02
 15 | 3.77414e-04 | 9.89499e-04   2.94834e-05   1.16396e-03 | 1.44973e-04 | 3.84640e-04 | 1.36245e-05 | 1.07609e-01 | 1.71356e-02
