 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01233 |   -0.09448     -0.09450     -0.11622 |    0.94970      0.94902      0.97256 |           2.87128 | -39807.57986 | -39780.70029      0.00000      0.00000      6.71618
  1 |    0.01233 |   -0.09408     -0.09398     -0.11092 |    0.95896      0.96007      0.97995 |           2.89898 | -39774.96265 | -39780.70029      1.54852      7.75088      6.71618
  2 |   -0.01809 |   -0.09102     -0.09105     -0.10183 |    0.95471      0.95454      0.97244 |           2.88169 | -39775.40279 | -39780.70029      1.56036      7.66302      6.71618
  3 |   -0.05342 |   -0.08990     -0.08989     -0.10047 |    0.95207      0.95032      0.96671 |           2.86910 | -39775.70572 | -39780.70029      1.54496      7.57644      6.71618
  4 |   -0.07829 |   -0.08920     -0.08921     -0.10014 |    0.94693      0.94700      0.96281 |           2.85674 | -39775.94004 | -39780.70029      1.53531      7.52028      6.71618
  5 |   -0.09506 |   -0.08882     -0.08880     -0.09961 |    0.94601      0.94401      0.96026 |           2.85028 | -39776.09682 | -39780.70029      1.52691      7.48576      6.71618
  6 |   -0.10668 |   -0.08832     -0.08851     -0.09934 |    0.94397      0.94318      0.96151 |           2.84866 | -39776.20807 | -39780.70029      1.51305      7.46122      6.71618
  7 |   -0.11543 |   -0.08831     -0.08826     -0.09934 |    0.94212      0.94235      0.95907 |           2.84354 | -39776.28944 | -39780.70029      1.51270      7.44158      6.71618
  8 |   -0.12105 |   -0.08805     -0.08819     -0.09892 |    0.94197      0.94276      0.95969 |           2.84442 | -39776.32504 | -39780.70029      1.50477      7.42836      6.71618
  9 |   -0.12535 |   -0.08796     -0.08795     -0.09919 |    0.94149      0.94102      0.95809 |           2.84059 | -39776.37806 | -39780.70029      1.50762      7.41716      6.71618
 10 |   -0.12762 |   -0.08780     -0.08786     -0.09905 |    0.94040      0.94126      0.95548 |           2.83713 | -39776.40731 | -39780.70029      1.50356      7.42214      6.71618
 11 |   -0.12977 |   -0.08777     -0.08787     -0.09932 |    0.94038      0.93963      0.95783 |           2.83784 | -39776.42214 | -39780.70029      1.50651      7.41406      6.71618
 12 |   -0.13088 |   -0.08780     -0.08794     -0.09898 |    0.94095      0.93945      0.95748 |           2.83789 | -39776.41147 | -39780.70029      1.50924      7.39998      6.71618
 13 |   -0.13139 |   -0.08774     -0.08776     -0.09888 |    0.93994      0.93908      0.95681 |           2.83583 | -39776.44197 | -39780.70029      1.50573      7.40544      6.71618
 14 |   -0.13205 |   -0.08771     -0.08768     -0.09896 |    0.94112      0.94003      0.95817 |           2.83932 | -39776.42502 | -39780.70029      1.50523      7.40380      6.71618
 15 |   -0.13242 |   -0.08765     -0.08778     -0.09898 |    0.94033      0.93937      0.95795 |           2.83765 | -39776.40788 | -39780.70029      1.50498      7.41505      6.71618
