 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 9.26595e-03   1.10442e-02   7.39841e-03 | 2.77086e-02 | 3.82163e-02 | 2.13440e-01 | 7.62144e-01 | 3.26172e+01
  2 | 3.04165e-02 | 4.25142e-03   5.52571e-03   7.51490e-03 | 1.72920e-02 | 1.07851e-02 | 1.30999e-03 | 1.96386e-01 | 4.40141e-01
  3 | 3.53317e-02 | 2.63745e-03   4.22258e-03   5.73063e-03 | 1.25907e-02 | 7.64997e-03 | 1.04594e-03 | 2.00679e-01 | 3.02927e-01
  4 | 2.48654e-02 | 5.14810e-03   3.32115e-03   3.89618e-03 | 1.23654e-02 | 5.29900e-03 | 7.48451e-04 | 1.04831e-01 | 2.34318e-01
  5 | 1.67741e-02 | 9.18856e-04   2.98314e-03   2.55133e-03 | 6.45333e-03 | 3.59566e-03 | 5.10390e-04 | 8.79050e-02 | 1.56785e-01
  6 | 1.16195e-02 | 2.04179e-03   8.30209e-04   1.24727e-03 | 1.62473e-03 | 2.46056e-03 | 3.55158e-04 | 9.02896e-02 | 1.11253e-01
  7 | 8.74900e-03 | 1.84340e-03   8.39258e-04   2.43739e-03 | 5.12005e-03 | 1.86553e-03 | 2.67036e-04 | 1.02746e-01 | 8.13688e-02
  8 | 5.61728e-03 | 1.53991e-04   4.14613e-04   6.23047e-04 | 8.83670e-04 | 1.30428e-03 | 1.73736e-04 | 1.70914e-01 | 3.56006e-02
  9 | 4.30633e-03 | 4.80715e-04   1.74444e-03   1.60294e-03 | 3.82810e-03 | 8.77289e-04 | 1.28745e-04 | 8.44421e-02 | 5.30158e-02
 10 | 2.26428e-03 | 1.08894e-03   2.39680e-04   2.60930e-03 | 3.45857e-03 | 6.92349e-04 | 7.57803e-05 | 1.73204e-01 | 2.92503e-02
 11 | 2.14841e-03 | 1.70891e-05   1.62602e-03   2.35111e-03 | 7.08003e-04 | 6.13786e-04 | 6.39217e-05 | 1.20956e-01 | 1.48319e-02
 12 | 1.11217e-03 | 5.72868e-04   1.79080e-04   3.51185e-04 | 4.26031e-05 | 4.02315e-04 | 3.93909e-05 | 7.61313e-02 | 1.06736e-02
 13 | 5.13466e-04 | 1.01699e-03   3.65191e-04   6.72924e-04 | 2.05511e-03 | 3.17603e-04 | 1.85570e-05 | 5.16101e-02 | 3.05002e-02
 14 | 6.52558e-04 | 1.17927e-03   9.45971e-04   1.35978e-03 | 3.48502e-03 | 3.29574e-04 | 1.94265e-05 | 1.24885e-01 | 1.69482e-02
 15 | 3.77414e-04 | 7.88721e-04   6.57153e-04   2.16899e-04 | 1.66277e-03 | 3.91381e-04 | 1.51163e-05 | 5.41210e-02 | 1.71356e-02
