 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01233 |   -0.09448     -0.09446     -0.11624 |    0.94949      0.94905      0.97237 |           2.87091 | -39807.57986 | -39780.70029      0.00000      0.00000      6.71399
  1 |    0.01233 |   -0.09416     -0.09397     -0.11101 |    0.95878      0.95895      0.98052 |           2.89825 | -39774.96265 | -39780.70029      1.54852      7.75724      6.71399
  2 |   -0.01809 |   -0.09085     -0.09088     -0.10177 |    0.95412      0.95429      0.97141 |           2.87981 | -39775.40279 | -39780.70029      1.56036      7.64524      6.71399
  3 |   -0.05342 |   -0.08990     -0.08979     -0.10061 |    0.94980      0.95122      0.96723 |           2.86824 | -39775.70572 | -39780.70029      1.54496      7.57007      6.71399
  4 |   -0.07829 |   -0.08922     -0.08923     -0.10020 |    0.94737      0.94743      0.96394 |           2.85875 | -39775.94004 | -39780.70029      1.53531      7.52033      6.71399
  5 |   -0.09506 |   -0.08877     -0.08869     -0.09969 |    0.94477      0.94549      0.96076 |           2.85102 | -39776.09682 | -39780.70029      1.52691      7.47779      6.71399
  6 |   -0.10668 |   -0.08835     -0.08831     -0.09944 |    0.94334      0.94362      0.96014 |           2.84711 | -39776.20807 | -39780.70029      1.51305      7.46320      6.71399
  7 |   -0.11543 |   -0.08833     -0.08820     -0.09930 |    0.94244      0.94104      0.96047 |           2.84395 | -39776.28944 | -39780.70029      1.51270      7.44618      6.71399
  8 |   -0.12105 |   -0.08804     -0.08800     -0.09920 |    0.94165      0.94377      0.95699 |           2.84242 | -39776.32504 | -39780.70029      1.50477      7.43529      6.71399
  9 |   -0.12535 |   -0.08792     -0.08807     -0.09911 |    0.94016      0.94117      0.95649 |           2.83783 | -39776.37806 | -39780.70029      1.50762      7.42464      6.71399
 10 |   -0.12762 |   -0.08778     -0.08784     -0.09894 |    0.94039      0.94349      0.95617 |           2.84005 | -39776.40731 | -39780.70029      1.50356      7.40159      6.71399
 11 |   -0.12977 |   -0.08771     -0.08770     -0.09914 |    0.94014      0.94053      0.95785 |           2.83852 | -39776.42214 | -39780.70029      1.50651      7.40776      6.71399
 12 |   -0.13088 |   -0.08783     -0.08765     -0.09882 |    0.94028      0.93912      0.95753 |           2.83693 | -39776.41147 | -39780.70029      1.50924      7.40970      6.71399
 13 |   -0.13139 |   -0.08786     -0.08770     -0.09900 |    0.94111      0.94032      0.95662 |           2.83805 | -39776.44197 | -39780.70029      1.50573      7.40440      6.71399
 14 |   -0.13205 |   -0.08774     -0.08775     -0.09887 |    0.94024      0.94013      0.95664 |           2.83702 | -39776.42502 | -39780.70029      1.50523      7.40620      6.71399
 15 |   -0.13242 |   -0.08771     -0.08777     -0.09868 |    0.94053      0.93956      0.95627 |           2.83635 | -39776.40788 | -39780.70029      1.50498      7.41010      6.71399
