 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 7.94068e-03   9.22233e-03   9.10651e-03 | 2.62695e-02 | 3.82700e-02 | 2.13345e-01 | 7.66082e-01 | 3.26172e+01
  2 | 3.04165e-02 | 1.95001e-03   2.36453e-03   1.04056e-02 | 1.47201e-02 | 1.07303e-02 | 1.30834e-03 | 9.99452e-02 | 4.40141e-01
  3 | 3.53317e-02 | 5.91166e-03   5.75690e-03   2.85149e-03 | 1.45200e-02 | 7.66526e-03 | 1.04303e-03 | 8.97566e-02 | 3.02927e-01
  4 | 2.48654e-02 | 1.10755e-03   4.40475e-03   5.65374e-03 | 1.11660e-02 | 5.31184e-03 | 7.47014e-04 | 9.89454e-02 | 2.34318e-01
  5 | 1.67741e-02 | 3.86443e-03   1.14545e-03   9.95368e-04 | 6.00524e-03 | 3.61675e-03 | 5.12330e-04 | 1.03157e-01 | 1.56785e-01
  6 | 1.16195e-02 | 3.84601e-04   9.99983e-04   1.01392e-03 | 2.39850e-03 | 2.42021e-03 | 3.52365e-04 | 9.20607e-02 | 1.11253e-01
  7 | 8.74900e-03 | 1.35446e-03   7.92638e-04   1.63533e-03 | 3.78243e-03 | 1.87731e-03 | 2.66903e-04 | 1.02307e-01 | 8.13688e-02
  8 | 5.61728e-03 | 8.22555e-04   1.74908e-03   3.21103e-04 | 2.89274e-03 | 1.25277e-03 | 1.73738e-04 | 6.70515e-02 | 3.56006e-02
  9 | 4.30633e-03 | 1.42599e-04   3.71445e-04   2.60645e-03 | 2.83530e-03 | 9.51087e-04 | 1.30187e-04 | 7.68142e-02 | 5.30158e-02
 10 | 2.26428e-03 | 7.07320e-04   5.01035e-04   3.35971e-03 | 2.15136e-03 | 6.22283e-04 | 7.51116e-05 | 1.23279e-01 | 2.92503e-02
 11 | 2.14841e-03 | 2.26271e-03   1.44087e-04   1.59907e-03 | 4.00586e-03 | 5.53406e-04 | 6.43379e-05 | 1.20806e-01 | 1.48319e-02
 12 | 1.11217e-03 | 7.92383e-04   8.71664e-05   1.50516e-03 | 7.99947e-04 | 4.17814e-04 | 3.72023e-05 | 1.11374e-01 | 1.06736e-02
 13 | 5.13466e-04 | 1.65745e-03   1.11021e-03   4.27604e-04 | 3.19526e-03 | 4.24205e-04 | 1.81585e-05 | 1.08125e-01 | 3.05002e-02
 14 | 6.52558e-04 | 2.85248e-03   2.10524e-03   1.07576e-03 | 3.88196e-03 | 3.79453e-04 | 2.13769e-05 | 8.66140e-02 | 1.69482e-02
 15 | 3.77414e-04 | 2.02985e-03   1.37041e-03   1.77123e-03 | 1.62903e-03 | 3.66209e-04 | 1.67136e-05 | 9.84293e-02 | 1.71356e-02
