G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         0.5609986881      0.0000000000      0.5000000000      0.0000000000
M                             201         1.1219973763      0.5000000000      0.5000000000      0.0000000000
G                             342         1.9153693295      0.0000000000      0.0000000000      0.0000000000
Z                             415         2.3233683754      0.0000000000      0.0000000000      0.5000000000
R                             515         2.8843670636      0.0000000000      0.5000000000      0.5000000000
A                             615         3.4453657517      0.5000000000      0.5000000000      0.5000000000
Z                             756         4.2387377050      0.0000000000      0.0000000000      0.5000000000
