 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01091 |   -0.09359     -0.10128     -0.11686 |    0.94517      0.95579      0.97483 |           2.87578 | -39807.60329 | -39780.63078      0.00000      0.00000      6.74293
  1 |    0.01091 |   -0.09455     -0.10011     -0.11070 |    0.95866      0.96575      0.98098 |           2.90539 | -39774.91395 | -39780.63078      1.57284      7.77755      6.74293
  2 |   -0.01996 |   -0.09366     -0.09628     -0.10312 |    0.95594      0.96320      0.96906 |           2.88821 | -39775.34590 | -39780.63078      1.59254      7.66860      6.74293
  3 |   -0.05663 |   -0.09229     -0.09498     -0.10192 |    0.95138      0.95690      0.96655 |           2.87483 | -39775.69871 | -39780.63078      1.56351      7.57505      6.74293
  4 |   -0.08372 |   -0.09149     -0.09449     -0.10113 |    0.94603      0.95413      0.96222 |           2.86238 | -39775.94544 | -39780.63078      1.55970      7.52094      6.74293
  5 |   -0.10137 |   -0.09082     -0.09368     -0.10066 |    0.94390      0.95166      0.95962 |           2.85518 | -39776.10139 | -39780.63078      1.54483      7.48390      6.74293
  6 |   -0.11428 |   -0.09018     -0.09342     -0.10048 |    0.94336      0.94977      0.95855 |           2.85168 | -39776.23134 | -39780.63078      1.53771      7.46579      6.74293
  7 |   -0.12337 |   -0.08997     -0.09320     -0.10038 |    0.94185      0.94818      0.95544 |           2.84547 | -39776.30121 | -39780.63078      1.53742      7.44192      6.74293
  8 |   -0.12928 |   -0.08981     -0.09281     -0.10042 |    0.94024      0.94901      0.95553 |           2.84478 | -39776.37627 | -39780.63078      1.53465      7.41971      6.74293
  9 |   -0.13297 |   -0.08962     -0.09281     -0.10024 |    0.93990      0.94717      0.95556 |           2.84263 | -39776.39899 | -39780.63078      1.53546      7.41423      6.74293
 10 |   -0.13535 |   -0.08939     -0.09269     -0.09997 |    0.94099      0.94777      0.95384 |           2.84260 | -39776.44333 | -39780.63078      1.52532      7.40802      6.74293
 11 |   -0.13785 |   -0.08931     -0.09268     -0.10006 |    0.93906      0.94569      0.95539 |           2.84014 | -39776.43405 | -39780.63078      1.52513      7.41413      6.74293
 12 |   -0.13945 |   -0.08931     -0.09263     -0.09987 |    0.93827      0.94633      0.95467 |           2.83928 | -39776.43668 | -39780.63078      1.52665      7.40458      6.74293
 13 |   -0.14024 |   -0.08938     -0.09268     -0.09989 |    0.93875      0.94609      0.95489 |           2.83973 | -39776.46450 | -39780.63078      1.53096      7.39798      6.74293
 14 |   -0.14091 |   -0.08922     -0.09246     -0.09985 |    0.93791      0.94664      0.95451 |           2.83906 | -39776.46129 | -39780.63078      1.52699      7.40151      6.74293
 15 |   -0.14111 |   -0.08932     -0.09256     -0.09987 |    0.93966      0.94456      0.95346 |           2.83768 | -39776.48736 | -39780.63078      1.52818      7.39482      6.74293
