 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01091 |   -0.09338     -0.10132     -0.11711 |    0.94485      0.95584      0.97427 |           2.87497 | -39807.60329 | -39780.63078      0.00000      0.00000      6.73808
  1 |    0.01091 |   -0.09457     -0.10009     -0.11095 |    0.95762      0.96756      0.97964 |           2.90482 | -39774.91395 | -39780.63078      1.57284      7.76567      6.73808
  2 |   -0.01996 |   -0.09368     -0.09645     -0.10334 |    0.95603      0.96284      0.96831 |           2.88718 | -39775.34590 | -39780.63078      1.59254      7.67010      6.73808
  3 |   -0.05663 |   -0.09237     -0.09487     -0.10194 |    0.95005      0.95870      0.96518 |           2.87393 | -39775.69871 | -39780.63078      1.56351      7.58971      6.73808
  4 |   -0.08372 |   -0.09138     -0.09437     -0.10130 |    0.94692      0.95439      0.96195 |           2.86326 | -39775.94544 | -39780.63078      1.55970      7.52235      6.73808
  5 |   -0.10137 |   -0.09052     -0.09375     -0.10101 |    0.94330      0.95208      0.95943 |           2.85481 | -39776.10139 | -39780.63078      1.54483      7.47936      6.73808
  6 |   -0.11428 |   -0.09030     -0.09346     -0.10074 |    0.94136      0.95048      0.95822 |           2.85006 | -39776.23134 | -39780.63078      1.53771      7.45455      6.73808
  7 |   -0.12337 |   -0.08990     -0.09321     -0.10039 |    0.94091      0.94845      0.95533 |           2.84469 | -39776.30121 | -39780.63078      1.53742      7.44029      6.73808
  8 |   -0.12928 |   -0.08955     -0.09286     -0.10021 |    0.93947      0.94739      0.95472 |           2.84158 | -39776.37627 | -39780.63078      1.53465      7.40996      6.73808
  9 |   -0.13297 |   -0.08936     -0.09281     -0.10002 |    0.93890      0.94608      0.95516 |           2.84014 | -39776.39899 | -39780.63078      1.53546      7.41330      6.73808
 10 |   -0.13535 |   -0.08943     -0.09286     -0.10016 |    0.94188      0.94475      0.95468 |           2.84131 | -39776.44333 | -39780.63078      1.52532      7.39942      6.73808
 11 |   -0.13785 |   -0.08921     -0.09272     -0.10020 |    0.93948      0.94585      0.95485 |           2.84018 | -39776.43405 | -39780.63078      1.52513      7.41444      6.73808
 12 |   -0.13945 |   -0.08915     -0.09283     -0.10013 |    0.93859      0.94589      0.95515 |           2.83963 | -39776.43668 | -39780.63078      1.52665      7.41058      6.73808
 13 |   -0.14024 |   -0.08922     -0.09263     -0.10006 |    0.93838      0.94613      0.95297 |           2.83748 | -39776.46450 | -39780.63078      1.53096      7.40156      6.73808
 14 |   -0.14091 |   -0.08924     -0.09251     -0.10004 |    0.93769      0.94559      0.95500 |           2.83828 | -39776.46129 | -39780.63078      1.52699      7.39445      6.73808
 15 |   -0.14111 |   -0.08932     -0.09242     -0.10002 |    0.93885      0.94530      0.95311 |           2.83725 | -39776.48736 | -39780.63078      1.52818      7.38514      6.73808
