 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01091 |   -0.09392     -0.10093     -0.11695 |    0.94596      0.95546      0.97448 |           2.87590 | -39807.60329 | -39780.63078      0.00000      0.00000      6.74360
  1 |    0.01091 |   -0.09500     -0.09977     -0.11097 |    0.95914      0.96822      0.98068 |           2.90803 | -39774.91395 | -39780.63078      1.57284      7.77815      6.74360
  2 |   -0.01996 |   -0.09403     -0.09637     -0.10321 |    0.95572      0.96271      0.96958 |           2.88801 | -39775.34590 | -39780.63078      1.59254      7.66121      6.74360
  3 |   -0.05663 |   -0.09257     -0.09490     -0.10176 |    0.95261      0.95853      0.96478 |           2.87591 | -39775.69871 | -39780.63078      1.56351      7.58562      6.74360
  4 |   -0.08372 |   -0.09164     -0.09421     -0.10146 |    0.94706      0.95233      0.96020 |           2.85959 | -39775.94544 | -39780.63078      1.55970      7.52612      6.74360
  5 |   -0.10137 |   -0.09073     -0.09356     -0.10072 |    0.94509      0.95175      0.95917 |           2.85601 | -39776.10139 | -39780.63078      1.54483      7.49709      6.74360
  6 |   -0.11428 |   -0.09040     -0.09331     -0.10043 |    0.94363      0.94941      0.95754 |           2.85058 | -39776.23134 | -39780.63078      1.53771      7.45264      6.74360
  7 |   -0.12337 |   -0.09011     -0.09298     -0.10044 |    0.94211      0.94801      0.95900 |           2.84912 | -39776.30121 | -39780.63078      1.53742      7.43874      6.74360
  8 |   -0.12928 |   -0.08981     -0.09275     -0.10024 |    0.94014      0.94703      0.95515 |           2.84232 | -39776.37627 | -39780.63078      1.53465      7.42935      6.74360
  9 |   -0.13297 |   -0.08980     -0.09267     -0.09999 |    0.93844      0.94722      0.95461 |           2.84027 | -39776.39899 | -39780.63078      1.53546      7.41818      6.74360
 10 |   -0.13535 |   -0.08957     -0.09255     -0.09997 |    0.94094      0.94655      0.95447 |           2.84196 | -39776.44333 | -39780.63078      1.52532      7.41740      6.74360
 11 |   -0.13785 |   -0.08962     -0.09258     -0.10015 |    0.94070      0.94594      0.95477 |           2.84141 | -39776.43405 | -39780.63078      1.52513      7.40410      6.74360
 12 |   -0.13945 |   -0.08945     -0.09267     -0.10009 |    0.93990      0.94737      0.95348 |           2.84075 | -39776.43668 | -39780.63078      1.52665      7.41518      6.74360
 13 |   -0.14024 |   -0.08950     -0.09251     -0.09988 |    0.94018      0.94687      0.95424 |           2.84128 | -39776.46450 | -39780.63078      1.53096      7.40123      6.74360
 14 |   -0.14091 |   -0.08934     -0.09252     -0.10003 |    0.93884      0.94589      0.95451 |           2.83924 | -39776.46129 | -39780.63078      1.52699      7.41023      6.74360
 15 |   -0.14111 |   -0.08944     -0.09260     -0.10005 |    0.93944      0.94505      0.95483 |           2.83932 | -39776.48736 | -39780.63078      1.52818      7.40178      6.74360
