 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.28119e-02   9.65065e-03   5.92844e-03 | 2.83910e-02 | 4.23734e-02 | 2.13245e-01 | 7.71209e-01 | 3.26893e+01
  2 | 3.08703e-02 | 1.92231e-03   2.92945e-03   1.12748e-02 | 1.61266e-02 | 1.22111e-02 | 1.32560e-03 | 1.23091e-01 | 4.31952e-01
  3 | 3.66726e-02 | 4.42131e-03   3.48348e-03   3.23055e-03 | 1.11353e-02 | 8.69280e-03 | 1.08057e-03 | 1.37789e-01 | 3.52815e-01
  4 | 2.70856e-02 | 4.50564e-03   5.83411e-03   4.87630e-03 | 1.52161e-02 | 6.17697e-03 | 8.07681e-04 | 1.77903e-01 | 2.46730e-01
  5 | 1.76479e-02 | 3.19332e-03   4.78511e-05   8.25006e-04 | 4.06617e-03 | 4.04328e-03 | 5.39177e-04 | 1.90507e-01 | 1.55944e-01
  6 | 1.29093e-02 | 3.97381e-04   3.56564e-03   2.25355e-03 | 5.42181e-03 | 3.04530e-03 | 3.92020e-04 | 1.31059e-01 | 1.29953e-01
  7 | 9.09316e-03 | 2.44242e-03   3.26920e-04   2.66484e-03 | 5.43418e-03 | 2.06859e-03 | 2.75327e-04 | 1.03943e-01 | 6.98755e-02
  8 | 5.91089e-03 | 1.86966e-03   1.04286e-03   4.71489e-04 | 2.44103e-03 | 1.42728e-03 | 1.85280e-04 | 1.00064e-01 | 7.50601e-02
  9 | 3.68757e-03 | 1.45700e-04   2.67913e-03   3.65710e-04 | 2.16772e-03 | 9.49354e-04 | 1.12910e-04 | 1.72556e-01 | 2.27169e-02
 10 | 2.38593e-03 | 1.05527e-03   2.02458e-03   3.89504e-04 | 1.35882e-03 | 6.49706e-04 | 7.32036e-05 | 1.55247e-01 | 4.43393e-02
 11 | 2.49663e-03 | 1.26052e-03   1.22543e-03   2.73541e-03 | 2.49463e-04 | 6.52102e-04 | 7.43162e-05 | 2.05280e-01 | 9.27875e-03
 12 | 1.60156e-03 | 1.21202e-03   3.36550e-03   4.67371e-04 | 4.11015e-03 | 5.62715e-04 | 5.24136e-05 | 3.74432e-01 | 2.63174e-03
 13 | 7.85542e-04 | 3.37639e-04   1.63557e-03   1.96373e-04 | 1.10156e-03 | 4.63106e-04 | 2.49138e-05 | 1.71966e-01 | 2.78205e-02
 14 | 6.69224e-04 | 8.29152e-04   1.05141e-03   6.26873e-04 | 1.25369e-03 | 5.13637e-04 | 2.11142e-05 | 1.30463e-01 | 3.21124e-03
 15 | 2.04515e-04 | 9.16144e-04   2.44023e-03   7.75859e-04 | 2.58051e-03 | 4.41047e-04 | 9.89440e-06 | 1.31625e-01 | 2.60682e-02
