 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01091 |   -0.09408     -0.10122     -0.11649 |    0.94577      0.95626      0.97459 |           2.87662 | -39807.60329 | -39780.63078      0.00000      0.00000      6.74790
  1 |    0.01091 |   -0.09496     -0.10003     -0.11042 |    0.95858      0.96591      0.98052 |           2.90501 | -39774.91395 | -39780.63078      1.57284      7.79514      6.74790
  2 |   -0.01996 |   -0.09388     -0.09625     -0.10290 |    0.95666      0.96298      0.96925 |           2.88888 | -39775.34590 | -39780.63078      1.59254      7.66495      6.74790
  3 |   -0.05663 |   -0.09263     -0.09492     -0.10154 |    0.95224      0.95949      0.96601 |           2.87775 | -39775.69871 | -39780.63078      1.56351      7.59069      6.74790
  4 |   -0.08372 |   -0.09171     -0.09433     -0.10107 |    0.94773      0.95366      0.96114 |           2.86253 | -39775.94544 | -39780.63078      1.55970      7.52874      6.74790
  5 |   -0.10137 |   -0.09089     -0.09368     -0.10052 |    0.94454      0.95361      0.96031 |           2.85847 | -39776.10139 | -39780.63078      1.54483      7.49673      6.74790
  6 |   -0.11428 |   -0.09066     -0.09325     -0.10040 |    0.94494      0.95005      0.95806 |           2.85304 | -39776.23134 | -39780.63078      1.53771      7.46126      6.74790
  7 |   -0.12337 |   -0.09011     -0.09332     -0.10017 |    0.94250      0.94972      0.95540 |           2.84761 | -39776.30121 | -39780.63078      1.53742      7.44371      6.74790
  8 |   -0.12928 |   -0.08988     -0.09292     -0.09999 |    0.94063      0.94868      0.95587 |           2.84517 | -39776.37627 | -39780.63078      1.53465      7.43335      6.74790
  9 |   -0.13297 |   -0.08992     -0.09292     -0.10002 |    0.94077      0.94600      0.95623 |           2.84300 | -39776.39899 | -39780.63078      1.53546      7.42313      6.74790
 10 |   -0.13535 |   -0.08982     -0.09281     -0.09981 |    0.93972      0.94802      0.95662 |           2.84436 | -39776.44333 | -39780.63078      1.52532      7.40980      6.74790
 11 |   -0.13785 |   -0.08975     -0.09272     -0.09984 |    0.94098      0.94925      0.95389 |           2.84411 | -39776.43405 | -39780.63078      1.52513      7.41143      6.74790
 12 |   -0.13945 |   -0.08952     -0.09257     -0.09984 |    0.93977      0.94588      0.95435 |           2.84000 | -39776.43668 | -39780.63078      1.52665      7.40961      6.74790
 13 |   -0.14024 |   -0.08957     -0.09265     -0.09985 |    0.93943      0.94752      0.95416 |           2.84110 | -39776.46450 | -39780.63078      1.53096      7.40706      6.74790
 14 |   -0.14091 |   -0.08951     -0.09250     -0.09984 |    0.93860      0.94647      0.95478 |           2.83985 | -39776.46129 | -39780.63078      1.52699      7.40883      6.74790
 15 |   -0.14111 |   -0.08934     -0.09251     -0.09965 |    0.93951      0.94891      0.95401 |           2.84243 | -39776.48736 | -39780.63078      1.52818      7.40601      6.74790
