 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.20990e-02   1.03458e-02   6.52467e-03 | 2.89695e-02 | 4.23472e-02 | 2.13337e-01 | 7.53143e-01 | 3.26241e+01
  2 | 3.06318e-02 | 9.03745e-04   3.64887e-03   1.22866e-02 | 1.68392e-02 | 1.22082e-02 | 1.32731e-03 | 1.25457e-01 | 4.04699e-01
  3 | 3.68159e-02 | 5.40940e-03   3.97970e-03   4.65868e-03 | 1.40478e-02 | 8.64841e-03 | 1.08372e-03 | 1.58833e-01 | 3.66509e-01
  4 | 2.63848e-02 | 5.88395e-03   3.59883e-03   2.30802e-03 | 1.17908e-02 | 6.02703e-03 | 7.89993e-04 | 2.20976e-01 | 2.30964e-01
  5 | 1.79133e-02 | 3.83958e-04   4.09537e-03   3.39279e-03 | 7.87212e-03 | 4.18051e-03 | 5.47685e-04 | 2.50612e-01 | 1.80338e-01
  6 | 1.26327e-02 | 1.85152e-03   2.76146e-04   4.23264e-04 | 1.15211e-03 | 2.89411e-03 | 3.82907e-04 | 1.22428e-01 | 7.42381e-02
  7 | 9.18872e-03 | 2.16207e-03   1.66574e-03   2.67693e-03 | 6.50473e-03 | 2.05576e-03 | 2.78497e-04 | 7.82591e-02 | 1.19871e-01
  8 | 5.77181e-03 | 7.83713e-04   2.17218e-03   1.44371e-03 | 4.39960e-03 | 1.39112e-03 | 1.80039e-04 | 1.00425e-01 | 4.37441e-02
  9 | 3.95547e-03 | 1.37226e-04   5.00244e-04   1.72127e-03 | 2.08429e-03 | 9.75537e-04 | 1.22820e-04 | 1.40787e-01 | 2.92372e-02
 10 | 2.81449e-03 | 5.38068e-04   2.00845e-03   1.10564e-03 | 3.65216e-03 | 6.92113e-04 | 8.57699e-05 | 1.19084e-01 | 5.07600e-02
 11 | 2.20907e-03 | 2.28218e-04   6.80958e-04   1.97365e-03 | 1.52091e-03 | 6.47491e-04 | 6.68271e-05 | 1.26217e-01 | 5.08656e-03
 12 | 1.49205e-03 | 8.06294e-04   2.90274e-04   6.48715e-04 | 1.16474e-03 | 5.35278e-04 | 4.61226e-05 | 1.02945e-01 | 1.76667e-02
 13 | 9.97312e-04 | 5.37174e-04   6.90925e-04   4.95027e-04 | 7.33072e-04 | 4.42615e-04 | 3.31979e-05 | 1.18939e-01 | 1.12716e-02
 14 | 8.21018e-04 | 9.49893e-04   2.00644e-03   5.65173e-04 | 4.91369e-04 | 4.44584e-04 | 2.49237e-05 | 1.69796e-01 | 5.83640e-03
 15 | 9.63791e-04 | 7.05211e-04   6.38052e-04   8.80463e-04 | 2.22373e-03 | 4.40372e-04 | 2.98258e-05 | 1.42086e-01 | 8.85087e-03
