 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01091 |   -0.09394     -0.10131     -0.11671 |    0.94479      0.95506      0.97297 |           2.87282 | -39807.55751 | -39780.63078      0.00000      0.00000      6.72534
  1 |    0.01091 |   -0.09481     -0.10018     -0.11064 |    0.95827      0.96467      0.97974 |           2.90268 | -39774.93343 | -39780.63078      1.57441      7.75515      6.72534
  2 |   -0.01972 |   -0.09397     -0.09635     -0.10293 |    0.95537      0.96284      0.96789 |           2.88611 | -39775.33813 | -39780.63078      1.59049      7.64736      6.72534
  3 |   -0.05654 |   -0.09250     -0.09523     -0.10178 |    0.95139      0.95648      0.96370 |           2.87157 | -39775.70464 | -39780.63078      1.57130      7.55808      6.72534
  4 |   -0.08292 |   -0.09152     -0.09435     -0.10121 |    0.94538      0.95408      0.95941 |           2.85888 | -39775.93561 | -39780.63078      1.55785      7.51156      6.72534
  5 |   -0.10084 |   -0.09097     -0.09369     -0.10096 |    0.94565      0.95114      0.95635 |           2.85314 | -39776.11594 | -39780.63078      1.54625      7.46431      6.72534
  6 |   -0.11347 |   -0.09049     -0.09355     -0.10061 |    0.94145      0.94927      0.95528 |           2.84600 | -39776.19018 | -39780.63078      1.53841      7.45680      6.72534
  7 |   -0.12266 |   -0.09021     -0.09312     -0.10031 |    0.94036      0.94864      0.95554 |           2.84454 | -39776.31005 | -39780.63078      1.53813      7.41634      6.72534
  8 |   -0.12843 |   -0.08991     -0.09296     -0.10007 |    0.93949      0.94714      0.95455 |           2.84118 | -39776.35380 | -39780.63078      1.53308      7.40237      6.72534
  9 |   -0.13238 |   -0.08988     -0.09304     -0.10003 |    0.93884      0.94631      0.95319 |           2.83834 | -39776.38303 | -39780.63078      1.53373      7.40176      6.72534
 10 |   -0.13520 |   -0.08956     -0.09269     -0.09989 |    0.93910      0.94677      0.95402 |           2.83989 | -39776.43379 | -39780.63078      1.52901      7.38685      6.72534
 11 |   -0.13741 |   -0.08976     -0.09287     -0.10010 |    0.93871      0.94487      0.95407 |           2.83764 | -39776.43888 | -39780.63078      1.52734      7.38960      6.72534
 12 |   -0.13890 |   -0.08958     -0.09277     -0.10011 |    0.93922      0.94649      0.95236 |           2.83807 | -39776.45655 | -39780.63078      1.52658      7.38498      6.72534
 13 |   -0.13990 |   -0.08957     -0.09277     -0.09983 |    0.93932      0.94628      0.95225 |           2.83785 | -39776.46782 | -39780.63078      1.52925      7.38547      6.72534
 14 |   -0.14072 |   -0.08946     -0.09268     -0.09975 |    0.93849      0.94644      0.95251 |           2.83744 | -39776.47366 | -39780.63078      1.52468      7.38213      6.72534
 15 |   -0.14168 |   -0.08932     -0.09267     -0.09967 |    0.93984      0.94652      0.95149 |           2.83785 | -39776.48251 | -39780.63078      1.52675      7.38091      6.72534
